text,source_party,label,source,reliability,bias
"Even before he became a clown he wore loud shirts in crazy colors, unusual ties and wild hats, his daughter the Rev.",Lean Left,1,san-diego-union-tribune,45.68,-1.76
"The price range last season was $250 to $1,500 in those same areas.",Lean Left,0,san-diego-union-tribune,45.68,-1.76
"Store in an airtight container in the refrigerator, then enjoy cold.",Lean Left,0,san-diego-union-tribune,45.68,-1.76
In lieu of the canned soup is a homemade white sauce that takes 10 minutes to prepare.,Lean Left,0,san-diego-union-tribune,45.68,-1.76
Client is responsible for the accuracy and truthfulness of all Client Material.,Lean Left,0,san-diego-union-tribune,45.68,-1.76
Publisher is not responsible for errors on copy received after deadline.,Lean Left,0,san-diego-union-tribune,45.68,-1.76
"Years later, family members participating in genetic testing found they had a genetic mutation that increases the family’s risk of frontotemporal dementia.",Lean Left,0,san-diego-union-tribune,45.68,-1.76
Children receive free Magic Glasses to view the light show in assorted colors.,Lean Left,0,san-diego-union-tribune,45.68,-1.76
"But nothing ever became law and in the time since, Washington’s center of gravity on immigration has shifted demonstrably to the right, with the debate now focused on measures meant to keep migrants out as Republicans sense they have the political upper hand.",Lean Left,1,san-diego-union-tribune,45.68,-1.76
"Doctors and other medical professionals who generally work on inpatient units came to him for specialty consults, blood work, medical imaging and other services.",Lean Left,0,san-diego-union-tribune,45.68,-1.76
They are large white spheres attached to a wooden pole and decorated with bright colors and a banner announcing the name of the town where festivities will be held.,Lean Left,0,san-diego-union-tribune,45.68,-1.76
"For Gail Jennings and her family, the Thanksgiving menu is never written in ink.",Lean Left,0,san-diego-union-tribune,45.68,-1.76
"He was like, ‘You don’t understand English, do you?’ My name on the cast list went from A to C cast, only because my English skills was not there.",Lean Left,1,san-diego-union-tribune,45.68,-1.76
Advertisement The proposed changes to Complete Communities Housing Solutions are a bad deal for San Diego.,Lean Left,1,san-diego-union-tribune,45.68,-1.76
"Now, if there are not playoff implications, bowls are glorified exhibitions where fans chug umbrella drinks.",Lean Left,1,san-diego-union-tribune,45.68,-1.76
Tickets are $40-$60 for Dec. 1; $30 for Dec. 2 - more at sanluisrey.org.,Lean Left,0,san-diego-union-tribune,45.68,-1.76
New coach Sean Lewis has signed up to solve a Rubik’s Cube on steroids.,Lean Left,1,san-diego-union-tribune,45.68,-1.76
"She toyed around with ingredients and what stuck was combining softened cream cheese, powdered sugar, canned pumpkin, pumpkin pie spice, vanilla and the graham cracker crumbs.",Lean Left,0,san-diego-union-tribune,45.68,-1.76
"Court records show that Lyle and Linda Cocking, who own the playhouse property, filed a commercial eviction action against the Connards in March 2022.",Lean Left,0,san-diego-union-tribune,45.68,-1.76
"Bergmann said his department is already working on implementation of CA Bridge, a statewide program launched in 2018 that seeks to expand medication availability for addiction treatment to emergency departments.",Lean Left,0,san-diego-union-tribune,45.68,-1.76
"And that the deaths of our spies, the Saudi-driven explosion in oil prices when Biden came into office, Putin’s decision to attack Ukraine, and even Xi’s cranking up his aggression against Taiwan were all just the echoes of Trump’s failed plan?",Left,1,alternet,32.71,-14.76
"To try and tackle these issues, Lomax says federal government should pass on the process for approving funding for rail transit programmes to local authorities, with funding decisions more closely linked to zoning, housing, commercial land use and school districting policies.",Left,0,alternet,32.71,-14.76
His Bibliographical Essay is a testimony to his superb command of the material of the period; it could stand alone as one of the finest available guides to primary and secondary sources on the modern South.,Left,0,alternet,32.71,-14.76
"Small, poor communities and neglected urban areas are sometimes left to fend for themselves with little help from state and federal governments.",Left,0,alternet,32.71,-14.76
Only 40% of Black households owned their homes compared to 85% of White households.,Left,0,alternet,32.71,-14.76
"More than six years later, Trump’s clemency record offers critical insights into how he might wield one of the presidency’s most unfettered powers if he is elected to a second term - potentially to undo the work of a Justice Department he scorns, to eliminate the threat of criminal prosecution against him and his allies, and to continue to build an army of indebted supporters he can call on as needed to back him.",Left,1,alternet,32.71,-14.76
Wisconsin Republican Senator Ron Johnson echoed this double standard last year when he said on a radio talk show that he never really felt threatened by the mostly White mob that stormed the Capitol on January 6.,Left,1,alternet,32.71,-14.76
And the emergence of even more two-tier wages: Put this all together and what do you get?,Left,0,alternet,32.71,-14.76
"Almost four decades ago, the same happened with the neo-Nazi skinhead scene.",Left,1,alternet,32.71,-14.76
"Also, the claim that proposed cuts to for-profit charter school funding would apply to all charter schools seems way overblown-given NAPCS's own analysis.",Left,1,alternet,32.71,-14.76
"While PFOS has been measured at low levels in fish statewide, higher levels have been found some areas.",Left,0,alternet,32.71,-14.76
"What kind of second term would he have, and who on earth would volunteer to work for him?",Left,1,alternet,32.71,-14.76
