text,source_party,label,source,reliability,bias
"Called Senate Bill 43, the new law, set to take effect Jan. 1, will be the subject of a county hearing Tuesday at which supervisors will debate delaying its implementation for one year.",Lean Left,0,san-diego-union-tribune,45.68,-1.76
"Some people living with the condition become apathetic, start missing work deadlines, drastically change their eating habits or make extravagant purchases.",Lean Left,0,san-diego-union-tribune,45.68,-1.76
"Again, the youngsters, like Jessica Reyes, 11, and Eric Lopez, 14, showed intense interest in the stories and the art of their forebears.",Lean Left,0,san-diego-union-tribune,45.68,-1.76
Rookie Quentin Johnston had a big catch getting his guys out of horrible field position and then had another ridiculous drop.,Lean Left,1,san-diego-union-tribune,45.68,-1.76
"Donald Parham dropped a huge, easy catch that could have ended things.",Lean Left,0,san-diego-union-tribune,45.68,-1.76
"Once sugar is completely melted, immediately stir in the butter until melted and combined.",Lean Left,0,san-diego-union-tribune,45.68,-1.76
"Rob Douglas, current president and chief operating officer, who has been with ResMed since 2001, will retire in the new year and transition to advising the CEO until the end of 2024.",Lean Left,0,san-diego-union-tribune,45.68,-1.76
Israel says it makes every effort to spare civilians and accuses Hamas of using them as human shields.,Lean Left,0,san-diego-union-tribune,45.68,-1.76
"It continues all the way to the Green Valley Truck Trail, which hikers will follow back to the Blue Sky Ecological Reserve entrance.",Lean Left,0,san-diego-union-tribune,45.68,-1.76
"We also found that food banks, food pantries and similar emergency services helped reduce food insufficiency, especially for middle-income Americans, by the end of 2020.",Left,0,alternet,32.71,-14.76
"LINCOLN - On the windswept plains of South Dakota lies a lonely, century-old historical monument holding a literary mystery and wrapped up in a legal conundrum.",Left,0,alternet,32.71,-14.76
"203, and (some) kids spend their entire school life in these structured English immersion settings,"" Salazar said.",Left,0,alternet,32.71,-14.76
"Though it sounds alarmist, such happenings are certainly not unprecedented in the global arena; the United States frequently interferes with the Democratic process in other countries, and often undermines it in order to provoke a coup or make a citizenry lose faith in a governing party, as US interests did in Bolivia last year .",Left,1,alternet,32.71,-14.76
"That, in turn, only added to the mistrust of the U.S.-backed government by ordinary citizens.",Left,1,alternet,32.71,-14.76
"Nyhan said he can imagine future circumstances in which Democrats at some point challenge the legitimacy of a presidential race, such as the election coming down to a Republican-controlled state that has restricted voting rights.",Left,0,alternet,32.71,-14.76
One rationale for this was a ludicrous theory that the Soviet move into Afghanistan was an initial step toward Moscow’s ultimate goal: conquering the oil-rich Persian Gulf.,Left,1,alternet,32.71,-14.76
"That’s what took place at Venice’s four Ospedali Grandi , which were charitable institutions that took in the needy - including orphaned and foundling girls - from the 16th century to the turn of the 19th century.",Left,0,alternet,32.71,-14.76
"That being said, there is nothing like sitting on the beach, sticking your feet in the sand, taking a deep breath and enjoying the beautiful place we are blessed to call home.",Left,0,alternet,32.71,-14.76
"Sparked by another hot start, the Celtics crushed the Pacers - who were without All-Star guard Tyrese Haliburton - with a comically dominant 155-104 victory at TD Garden that was never in doubt from the opening tip.",Lean Right,1,boston-herald,36.31,9.68
Revenue from the millionaire’s surtax - which by law must be spent on transportation and education costs - is expected to eventually bring in double the cash estimated by budget writers before the law went into effect.,Lean Right,0,boston-herald,36.31,9.68
"It was an inspiration that my neighbors were living independently, aging with grace, strength and dignity.",Lean Right,0,boston-herald,36.31,9.68
"And their offense, averaging a measly four yards per play - four!",Lean Right,1,boston-herald,36.31,9.68
"President Biden’s non-response to this entire incident, alas, is also a reflection of his character.",Lean Right,1,boston-herald,36.31,9.68
"Yet, with all these Wonder Woman-sized missions of self-fulfillment on the go, there’s still more to do.",Lean Right,1,boston-herald,36.31,9.68
"That matters because the European parliament must approve all the EU’s net zero climate and energy legislation, and the right is already trying to water it down.",Lean Left,1,the-guardian,40.67,-7.97
