text,source_party,label,source,reliability,bias
Valencia’s paella hints at the centuries of Moorish rule that introduced rice to southern Spain.,Lean Left,0,the-guardian,40.67,-7.97
"It’s an old conspiracy’ for COMPLOT, from 16 mentioned at least once.",Lean Left,1,the-guardian,40.67,-7.97
They have partnered with brands including New Balance and Mulberry to pilot their idea.,Lean Left,0,the-guardian,40.67,-7.97
Joyous crowds took to the streets of Managua for the first time since mass protests in 2018 that were put down with lethal force.,Lean Left,0,the-guardian,40.67,-7.97
"Those that were left didn’t last long, their sweet-saltiness almost addictive.",Lean Left,0,the-guardian,40.67,-7.97
"There he finds lifelong companionship with another emigrant, and they join the army on its brutal journey west, laying waste to Indian settlements.",Lean Left,1,the-guardian,40.67,-7.97
"Central London is befuddling, but there is some wonky sanity at play here.",Lean Left,0,the-guardian,40.67,-7.97
The way he was dispossessed by Karim Benzema in the Champions League last year highlighted his deficiencies.,Lean Left,0,the-guardian,40.67,-7.97
"Lets be frank, his himbo energy means that this blind confidence only makes him more lovable.",Lean Left,1,the-guardian,40.67,-7.97
"Cystic fibrosis is a distressing disease, clogging the lungs of children who have to fight to breathe, and shortening lives.",Lean Left,0,the-guardian,40.67,-7.97
"Was he conning his patients, his colleagues and the scientific community?",Lean Left,1,the-guardian,40.67,-7.97
Just the thought of universal credit gives me anxiety and stress.,Lean Left,1,the-guardian,40.67,-7.97
It’s just shame it lacks the 5x optical zoom camera of the Pro Max.,Lean Left,1,the-guardian,40.67,-7.97
Hancock’s fellow campmates were so appalled by his appearance that some threatened to leave.,Lean Left,1,the-guardian,40.67,-7.97
"Anthony Martial, a perennial disappointment, is still hanging around on big wages.",Lean Left,1,the-guardian,40.67,-7.97
"Whisked again to Graceland, all plush carpets and sinister white furniture, she grows frustrated and bored.",Lean Left,1,the-guardian,40.67,-7.97
"After setting out draconian new limits on legal migration on Monday, home secretary James Cleverly yesterday turned to irregular migration and the small boats crisis.",Lean Left,1,the-guardian,40.67,-7.97
"Here as elsewhere, the PDD gang play characters named after themselves, childhood best friends and roommates living cartoonishly stunted lives in a mountain town.",Lean Left,1,the-guardian,40.67,-7.97
"Laxmi’s fame has provided a useful platform in the battle to achieve equality, dignity and inclusion for India’s third gender.",Lean Left,0,the-guardian,40.67,-7.97
"Fourteen US cities will play host to the Copa América next summer, with the semi-finals in East Rutherford, New Jersey, and Charlotte ahead of the 14 July championship in Miami.",Lean Left,0,the-guardian,40.67,-7.97
"Rather, it’s the kind of relentless branding that turns every logo into a roll call of past triumphs.",Lean Left,1,the-guardian,40.67,-7.97
"We have long pioneered this approach - giving our reporting on the living world more space, prominence and resources than any other media organisation.",Lean Left,1,the-guardian,40.67,-7.97
Ultra-Processed People by Chris van Tulleken What happens if you eat a diet made up of 80% ultra-processed food - pre-packaged snacks and meals with long chemical names among the ingredients - for a whole month?,Lean Left,0,the-guardian,40.67,-7.97
"If you’re lucky enough to have a charcoal grill, preheat it until hot.",Lean Left,0,the-guardian,40.67,-7.97
"Its narrow, winding and rough- cobbled route hits a gradient of 20% in places, which sends back wheels spinning, desperate for grip on the greasy surface.",Lean Left,0,the-guardian,40.67,-7.97
"But most of the world, particularly the so-called global north, is looking the other way.",Lean Left,1,the-guardian,40.67,-7.97
"How people find each other, torture each other, flirt with each other, get together, break up, get back together against the wishes of all their friends and family etc etc.",Lean Left,1,the-guardian,40.67,-7.97
"There’s the botched nostalgia, for one; the film starts with a full-throated announcement that this is the class of 2006 at Oxford - ripe, then, for the ascendant mid-aughts nostalgia for millennials - and then plays fast and loose with the time period.",Lean Left,1,the-guardian,40.67,-7.97
"People just love a good story She has the unenviable task of performing Don’t Rain on My Parade by Jewish pop culture’s ultimate icon, Barbra Streisand.",Lean Left,1,the-guardian,40.67,-7.97
"Moreover, the album has clearly warped and changed dramatically over time.",Lean Left,0,the-guardian,40.67,-7.97
"And in Gaza, Palestinians are facing deadly levels of water shortage.",Lean Left,0,the-guardian,40.67,-7.97
It might range from Nietzsche to newts to the weather in northern France (where she had a house) to the splitting migraine she’d had since Tuesday and why some writer was completely misguided about something or other.,Lean Left,0,the-guardian,40.67,-7.97
A delectably festive YA romcom from the author of Love in Winter Wonderland.,Lean Left,0,the-guardian,40.67,-7.97
"The remainder of the show leans on the more swaggering side of the band’s catalogue: hits North Country Boy and One to Another, 1995 album track Toothache and more recent single Let the Good Times Be Never Ending.",Lean Left,1,the-guardian,40.67,-7.97
"As the wedding draws closer and friends and ex-lovers complicate things further, Dolan plays with narrative form and expectations in a deliciously tart comedy studded with one-liners.",Lean Left,0,the-guardian,40.67,-7.97
"This allegation, along with more atmospheric charges of racism, has always been the smoking gun of the self-exiled pair.",Lean Left,1,the-guardian,40.67,-7.97
"The guys wide-eye each other, do a silly little dance and hit the road.",Lean Left,0,the-guardian,40.67,-7.97
"At the peak of the UK’s Covid pandemic, Sir Chris Whitty, who should have reasonably been the most harried man in England, was seen treating patients at a London hospital.",Lean Left,0,the-guardian,40.67,-7.97
"None of the diarists of ages and administrations past have ever given anything close to this impression of rats fighting in a sack, and being so very bad at it.",Lean Left,1,the-guardian,40.67,-7.97
"Updated at 04.40 GMT 5h ago 04.34 GMT For those who weren’t watching the press conference earlier, here is the moment where the attorney general, Mark Dreyfus, responded to a question about whether or not the government should apologise to Australians who had allegedly been subjected to misdeeds by some of the detainees released under last month’s high court decision: 'Your question is an absurd one!",Lean Left,1,the-guardian,40.67,-7.97
"The modern music documentary is an increasingly strange beast, a meticulously staged PR move dressed up as a searing exposé.",Lean Left,1,the-guardian,40.67,-7.97
The Guardian spoke to several of the report’s sources who confirmed their quotes but did not wish to be named.,Lean Left,0,the-guardian,40.67,-7.97
Arsenal had previously conceded only three away goals in the Premier League all season.,Lean Left,0,the-guardian,40.67,-7.97
On top of that are all the other things we need.,Lean Left,0,the-guardian,40.67,-7.97
"Even in the middle ages, the soaring spiritual aspirations of cathedrals climbing towards heaven were contaminated by gargoyles and other grotesques carved on choir stalls, the irrational and infernal finding a place in the church.",Lean Left,1,the-guardian,40.67,-7.97
"Godfather Death by Sally Nicholls, illustrated by Júlia Sardà, Andersen, £12.99 A poor fisherman seeks an honest man to be godfather to his infant son - but the only honest man he can find is Death ... This gloriously gothic Grimm retelling is illustrated by Sardà in shades of forest green, pumpkin orange and black, with unsettling motifs and sharp-featured characters.",Lean Left,0,the-guardian,40.67,-7.97
