text,source_party,label,source,reliability,bias
"The 70- to 85-petaled blooms are produced in large clusters on long stems and have a strong, fruity fragrance.",Lean Left,0,san-diego-union-tribune,45.68,-1.76
"Again, the youngsters, like Jessica Reyes, 11, and Eric Lopez, 14, showed intense interest in the stories and the art of their forebears.",Lean Left,0,san-diego-union-tribune,45.68,-1.76
Yehya Sinwar is considered the mastermind of the Oct. 7 Hamas attack on Israel.,Lean Left,0,san-diego-union-tribune,45.68,-1.76
Proceeds benefit children and adults with disabilities at The Arc of San Diego.,Lean Left,0,san-diego-union-tribune,45.68,-1.76
"Youngblood, one of two speakeasies hidden inside CH Projects’ Neighborhood gastropub, is a 16-seat cocktail bar where visitors can reserve a 90-minute, three-course guided tasting for $67.",Lean Left,0,san-diego-union-tribune,45.68,-1.76
"On a trip to Egypt, he wore his red clown nose in a crowd.",Lean Left,0,san-diego-union-tribune,45.68,-1.76
"Publisher shall have no liability for, and no credit shall be issued to Advertiser for, errors that do not materially affect the value of the advertisement, branded content, or advertising insert or where Advertiser is responsible for the error or omission.",Lean Left,0,san-diego-union-tribune,45.68,-1.76
Israel says it makes every effort to spare civilians and accuses Hamas of using them as human shields.,Lean Left,0,san-diego-union-tribune,45.68,-1.76
Visit CCA Supporting Colorado Agriculture Donation Form to show your support!,Left,0,alternet,32.71,-14.76
"Jenna Ryan, a real estate agent from Dallas who has been charged with illegally entering the building, appeared on local television Friday to beg Trump for clemency.",Left,0,alternet,32.71,-14.76
"Across all animals, the difference was not significant (p = 0.2309), possibly because of the influence of temperate marine and freshwater species (see below).",Left,0,alternet,32.71,-14.76
"Six years later, in 2018, when the House was about to vote on a nonbinding carbon tax resolution, Ellender-the Koch Industries lobbyist-took the same tack.",Left,1,alternet,32.71,-14.76
"After the violence, Trump released a video acknowledging that a new administration would take over, but he did not explicitly concede.",Left,0,alternet,32.71,-14.76
"The West Virginia Democrat, an essential swing vote who has been dragging out and sabotaging negotiations for more than a year, claimed Friday that he wants to wait until after July inflation figures are released next month to decide whether to back legislation that includes new climate funding.",Left,1,alternet,32.71,-14.76
Trump’s Obama preoccupation is likely to grow harder to let go of.,Left,1,alternet,32.71,-14.76
It bears repeating: Foreigners who show up at our borders to request asylum are following American and international law .,Left,0,alternet,32.71,-14.76
Will corporate executives endanger the interests of their shareholders just because they or their spouses hate Trump?,Left,1,alternet,32.71,-14.76
"Water conflicts In the fall of 2020, crisis erupted in the Rio Grande Valley after years of rising tensions and sustained drought that endanger crops and livestock in both the U.S. and Mexico.",Left,0,alternet,32.71,-14.76
"These clemency recipients have boosted Trump in the media - in interviews, podcasts, social media, books and music.",Left,1,alternet,32.71,-14.76
"And that place is Libya, where fortunes are made sending immigrants from Africa and the Mideast who have flocked there seeking sea passage to Italy.",Lean Right,0,boston-herald,36.31,9.68
Has workplace culture become so impersonal that people no longer have or employ basic social skills?,Lean Right,0,boston-herald,36.31,9.68
"This is the life they've known for weeks, and the life they will lead until a competent quarterback and set of pass-catchers emerge.",Lean Right,1,boston-herald,36.31,9.68
Here are five Red Sox storylines to follow as the action heats up in Nashville.,Lean Right,0,boston-herald,36.31,9.68
"The Democrats’ attempts to deny the results of elections date back at least to when George W. Bush became president, then continued when Trump won in 2016.",Lean Right,1,boston-herald,36.31,9.68
Burns hit a short baseline jumper to give the Wolfpack a 56-51 lead into the third media timeout.,Lean Right,0,boston-herald,36.31,9.68
"Boston, MA- An enormous 501 pound pumpkin pie is cut and served by (from L to R) Chef Jason Gorman, Mayor Michelle Wu, Liz Joacobs Glen Thornborough, TD Garden prep., and Charlie Joacobs, CEO of the Bruins, at the 27th Annual Table of Friends Event Benefits More than 1,000 Of Boston’s Unhoused held at Boston Garden on November 21.",Lean Right,0,boston-herald,36.31,9.68
While Democrats launch their latest attack on Donald Trump - calling him a dictator who will refuse to leave office - the real question is will Democrats accept Trump as president?,Lean Right,1,boston-herald,36.31,9.68
"Harvey Silverglate Cambridge Slamming Court In the wake of the Supreme Court’s affirmative action ruling striking down race-based admissions at colleges and universities, President Biden, his fellow Democrats and their coat holders in the liberal media immediately began attacking the Court and even individual justices.",Lean Right,1,boston-herald,36.31,9.68
