text,source_party,label,source,reliability,bias
"Q: This is the time of year when a lot of people are focused on the story of Thanksgiving - a myth, really, that imagines a largely benign interaction between the Wampanoag people and the early English settlers in 1621.",Lean Left,1,san-diego-union-tribune,45.68,-1.76
"Holiday Festival: The free event with holiday crafts, magic show and visit with Santa is from 5 to 7 p.m. Dec. 2 at Piazza Carmel shopping center, 3810-3890 Valley Centre Drive.",Lean Left,0,san-diego-union-tribune,45.68,-1.76
"Toy bins will be set up throughout the city for folks to drop off new, unwrapped toys.",Lean Left,0,san-diego-union-tribune,45.68,-1.76
Client Responsibility for Approving Services; Compliance of Content with Applicable Law (a) Generally.,Lean Left,0,san-diego-union-tribune,45.68,-1.76
Tickets are $40-$60 for Dec. 1; $30 for Dec. 2 - more at sanluisrey.org.,Lean Left,0,san-diego-union-tribune,45.68,-1.76
"Holiday Lights concert: The North Coast Symphony puts on its Holiday Lights concert 2:30 p.m. Dec. 9 at the Encinitas Community Center, 1140 Oakcrest Park Drive.",Lean Left,0,san-diego-union-tribune,45.68,-1.76
"Our border is, in the end, a region facing a challenging collision of two forces - one sees borders as inherently unstable, and thus in need of walls and hyper-security; the other views borders as bridges connecting friendly neighbors, cultures, economies.",Lean Left,1,san-diego-union-tribune,45.68,-1.76
"But nothing ever became law and in the time since, Washington’s center of gravity on immigration has shifted demonstrably to the right, with the debate now focused on measures meant to keep migrants out as Republicans sense they have the political upper hand.",Lean Left,1,san-diego-union-tribune,45.68,-1.76
"Former Prime Minister Boris Johnson, who led Britain through the coronavirus pandemic before being ousted by scandal, is set to defend his record on Wednesday at a public inquiry into the country’s handling of COVID-19.",Lean Left,0,san-diego-union-tribune,45.68,-1.76
"Lewis had his play-calling duties ripped away by Sanders late in the season, but it’s impossible to know how much Deion’s son playing quarterback entered into a complicated relationship.",Lean Left,1,san-diego-union-tribune,45.68,-1.76
"Whatever the source of an addiction, the result is a chronic, relapsing brain disorder.",Lean Left,0,san-diego-union-tribune,45.68,-1.76
"Moreover, the fact that these ideas have gained so much traction in the past month - accelerating after another brutal murder of Americans by cartels - illustrates some profoundly important things about the state of the Republican party.",Left,1,alternet,32.71,-14.76
"In their first event, they helped 60 families and ran out of food in an hour.",Left,0,alternet,32.71,-14.76
He’s going to show up at the right times and he’s been doing that his whole career.,Lean Right,0,boston-herald,36.31,9.68
"For the posterity minded If you’re thinking lovingly-inscribed keepsake, it’s hard to beat Library of America or the U.K.-based Folio Society.",Lean Right,1,boston-herald,36.31,9.68
Revenue from the millionaire’s surtax - which by law must be spent on transportation and education costs - is expected to eventually bring in double the cash estimated by budget writers before the law went into effect.,Lean Right,0,boston-herald,36.31,9.68
"They can take accountability, and we’ve all got (expletive) (expletive) we all messed up on.",Lean Right,1,boston-herald,36.31,9.68
Hundreds of thousands of people took to the streets when Trump won the election.,Lean Right,0,boston-herald,36.31,9.68
"When that happens, Breslow said the Red Sox will be ready.",Lean Right,0,boston-herald,36.31,9.68
"But reconstructing how a large operation handles its animals, grazing and birthing is easier said than done - and often comes with other consequences, Deal said.",Lean Right,0,boston-herald,36.31,9.68
"In a playoff-like atmosphere, the C’s couldn’t get the job done on Monday night in Indiana.",Lean Right,0,boston-herald,36.31,9.68
"Even when they built big leads, they lost focus and lost them.",Lean Right,1,boston-herald,36.31,9.68
The controversial Meloni plan allows Italy to dodge EU regulations that states that the first country in which migrants arrive must care for them and process their cases.,Lean Right,1,boston-herald,36.31,9.68
"Too often last season, they were guilty of letting go of the rope against inferior teams.",Lean Right,1,boston-herald,36.31,9.68
"While the European illegal immigration problem is serious, it pales in significance to what is happening in the U.S. Where Europe talks of thousands of illegal immigrants knocking down the doors, the U.S. talks of millions.",Lean Right,1,boston-herald,36.31,9.68
"Yet, you just delegate this to VP Harris - again, why she needs to go - while mayors and governors beg for millions to bail you out.",Lean Right,1,boston-herald,36.31,9.68
Our state’s end-of-year supplemental budget was held up for a few days by heroic Republicans who want better controls on the migrant mess.,Lean Right,1,boston-herald,36.31,9.68
"The Alabama Crimson Tide who lost to Texas were chosen because, well let’s be honest the TV networks pressured the selection committee to choose Alabama because they are historically a much better known team than Florida State University.",Lean Right,1,boston-herald,36.31,9.68
Lady Elspeth (Rosamund Pike) is so vacuous that she doesn’t know where Liverpool is.,Lean Left,1,the-guardian,40.67,-7.97
"Doubling as a kind of unspoken canonisation, it was a star-studded musical celebration in the company of everyone from Bono and Nick Cave to Sinéad O’Connor and Irish president Michael Higgins.",Lean Left,1,the-guardian,40.67,-7.97
He does so not by slavishly following Priestley’s footsteps but by making his own sprightly Megabus tour of English hotspots.,Lean Left,0,the-guardian,40.67,-7.97
"Manchester City (137), Real Madrid (119), Bayern Münich (111) and Bayer Leverkusen (110) are also on the list.",Lean Left,0,the-guardian,40.67,-7.97
"The playing field may be level between the sexes, but it’s more level for some than others.",Lean Left,1,the-guardian,40.67,-7.97
"When Bezos took his first flight in his Blue Origin space vehicle (demonstrating little more than the fact that a private individual could now afford to do what we had accomplished collectively more than 50 years ago), he acted as if the mission had public virtue.",Lean Left,1,the-guardian,40.67,-7.97
"Men from Downing Street to the football terraces now look smaller, pinched - look to Browne’s tight grey cardigan recently worn by the former Bournemouth manager Scott Parker, or to the short-short trousers that have recently landed Rishi Sunak in sartorial hot water.",Lean Left,1,the-guardian,40.67,-7.97
"It was the era of Jean-Claude Van Damme in Street Fighter, of the fascinatingly terrible 1993 Super Mario cyberpunk nightmare starring Bob Hoskins, of Uwe Boll.",Lean Left,1,the-guardian,40.67,-7.97
"Eventually, with her colleagues split down the middle, she voted to stop the recount, overturning the Florida judgment, and in effect awarding the election to Bush.",Lean Left,1,the-guardian,40.67,-7.97
"Labour’s London mayor, Sadiq Khan, has been campaigning for rent regulation for years, but the ruling Conservatives have a vested interest in keeping renters’ rights weak, as a higher proportion of Tory MPs are private landlords than in other political parties.",Lean Left,1,the-guardian,40.67,-7.97
"End users of the Client Services may use the Services for their own personal, non-commercial use only.",Lean Left,0,the-guardian,40.67,-7.97
"Legendary UK bandleader Mike Westbrook’s 1972 Solid Gold Cadillac quintet, with the Ayleresque sometime-People Show actor/saxophonist George Khan, reappears 50 years after being the innovative Cadillac label’s debut (Live 1972), still as a gripping collusion of raucously sax-led free jazz, Cream/Stones-era guitar R&B and dreamily atmospheric themes, notably on an ethereal account of Westbrook’s famous Metropolis.",Lean Left,0,the-guardian,40.67,-7.97
"But Leandro and his new allies’ plans to bust their loved ones out of Pocatelan requires stealth, ingenuity and some very nuanced moral calibration.",Lean Left,0,the-guardian,40.67,-7.97
"Take Wild Waters, where over 45 minutes we are introduced to the boundary-pushing French kayaker Nouria Newman.",Lean Left,0,the-guardian,40.67,-7.97
"But Xuanzong fell under the spell of the beautiful Yang Guifei, who persuaded him to give jobs and vast amounts of money to her ravenous gang of relatives; and by 755 a leading general, An Lushan, staged an eight-year rebellion during which, according to the official census, up to 13 million out of a population of 50 million people died.",Lean Left,1,the-guardian,40.67,-7.97
"Cystic fibrosis is a distressing disease, clogging the lungs of children who have to fight to breathe, and shortening lives.",Lean Left,0,the-guardian,40.67,-7.97
"If Lagerfeld had modelled a show on Villa Noailles, the set would have featured a full-sized swimming pool and squash court, but such extravagance is not Viard’s style.",Lean Left,1,the-guardian,40.67,-7.97
"McKenzie is brilliant at spotlighting moments of love, romance and charming detail, in even the strangest, most difficult life.",Lean Left,1,the-guardian,40.67,-7.97
The morning after ... Photograph: urbazon/Getty Images Pop a pair of sunglasses over hydrating eye patches.,Lean Left,0,the-guardian,40.67,-7.97
"It gives it that much-needed richness and a depth, with occasional pops of tangy blue cheese, that make you come back for more.",Lean Left,1,the-guardian,40.67,-7.97
"He sent the script, by Tom Stoppard, to me: even unfinished, it was the best I’d ever read.",Lean Left,1,the-guardian,40.67,-7.97
"But so many aspects of our education system belong to the past, not least the soulless treadmill of GCSEs that were invented as a final qualification for an era in which the compulsory school leaving age for many children was 16.",Lean Left,1,the-guardian,40.67,-7.97
"Here, the Booker prize winner has it all cooking: two careworn constabulary figures, now older and nicely repurposed from his previous policiers; a murdered Trinity College lady professor; settings stretching from the warn-torn Bavarian Alps to the cold, shadowy, secret-keeping purlieus of 1950s Dublin.",Lean Left,0,the-guardian,40.67,-7.97
"Even with all of these disastrous policy outcomes, whether foreign or domestic, to my knowledge, Biden has not fired a single cabinet member, nor has he changed a single one of his policies.",Right,1,american-greatness,18.93,22.45
"A Trump/Carson ticket, however, comes as close to perfect as you can get.",Right,1,american-greatness,18.93,22.45
"At a time when we have a president who is non compos mentis and suffers from historic disapproval ratings, it’s no surprise that Levin’s book is now No.",Right,1,american-greatness,18.93,22.45
Even a long life-what good is that when the torments and indignities of old age pile up and rob life of its zest?,Right,1,american-greatness,18.93,22.45
"He should also deploy his national guard to protect President Trump’s assets within the state of Florida from any unconstitutional interference by federal intelligence agencies or the Department of Justice, and use them to seal off Florida’s coasts from invasive migrants - and offer assistance to adjacent states, like Georgia and Alabama, who so desperately need it.",Right,1,american-greatness,18.93,22.45
A coastal culture of globally rich elites began passing some of the most stringent environmental and zoning regulations in the nation.,Right,1,american-greatness,18.93,22.45
"It is believed that at the top of the pyramid, all movements are orchestrated from an organization called the Thirteen Families, a council that consists of 13 of the most influential families on earth.",Right,1,american-greatness,18.93,22.45
"All of this begs the question: who is running the world, and the related questions, who or what is motivating them, and what is their goal?",Right,0,american-greatness,18.93,22.45
Fully 77% of Latinos in Arizona do not believe the American Dream is achievable.,Right,0,american-greatness,18.93,22.45
"Between October 27th and November 20, Trump led in 16 of 21 surveys, Biden only led in three and two were tied.",Right,0,newsmax,28.9,13.54
Use hummus to fight sugar cravings by spreading it in sandwiches instead of mayonnaise or as a dip with vegetables.,Right,0,newsmax,28.9,13.54
Gambling for real money shouldn't be treated as a job and should only be looked upon as a fun hobby or something to pass the time.,Right,1,newsmax,28.9,13.54
"The fair promise of thy Lord was fulfilled for the Children of Israel, because they had patience and constancy,"" Ch.",Right,0,newsmax,28.9,13.54
"She has appeared at several events with MyPillow CEO Mike Lindell, a Trump ally who has also claimed rigged elections in 2020.",Right,0,newsmax,28.9,13.54
Players are spoiled for choice when it comes to online casino deposit methods.,Right,0,newsmax,28.9,13.54
"Bush a one-term president, due primarily to the boost Clinton received from third-party candidate Ross Perot, who took nearly 20 million votes away from Bush.",Right,1,newsmax,28.9,13.54
Disney has been subject of a boycott itself since tangling with Florida Gov.,Right,0,newsmax,28.9,13.54
It is no secret that Social Media is a young person's enterprise.,Right,1,newsmax,28.9,13.54
"After a single mother moves into a townhouse in the Georgetowm section of Washington, D,C., she begins noticing strange behavior in her daughter.",Right,0,newsmax,28.9,13.54
"Segueing into real-life international events, an expert takes the reader through the events and personalities that led to Russian President Vladimir Putin’s invasion of Ukraine nearly 18 months ago, while more positively is the examination of the life of an amazing athlete who repeatedly succeeded despite a huge handicap.",Right,1,newsmax,28.9,13.54
"Yet by doing so, Hamas has placed itself, all Palestinians, and all Muslims - into a very difficult and complex situation with respect to the Quran.",Right,1,newsmax,28.9,13.54
A few minutes later we saw him serving salads at another table.,Right,0,newsmax,28.9,13.54
"The sheer savagery and darkness of the Oct. 7, 2023 Hamas terrorist attacks against Israel still shock the conscience.",Right,1,newsmax,28.9,13.54
"Shares of Gilead were down marginally, while Legend's stock fell 4.2% in afternoon trading.",Right,0,newsmax,28.9,13.54
"That includes Proud Patriots, a merchandise company that produces must-have collectible items including bobbleheads of key conservative figures, rare currencies featuring iconic American symbols like the Statue of Liberty and the Founding Fathers, as well as pins that can be displayed for people to tout their patriotic credentials.",Right,1,newsmax,28.9,13.54
Thanksgiving could be thought of as the holiday that made the other American holidays possible.,Right,0,newsmax,28.9,13.54
"In politics, there's no endeavor more worthy than providing equal protection under the law.",Right,1,newsmax,28.9,13.54
"Given that the same FDA scientists and leadership are overseeing Amylyx, approval is widely expected.",Right,1,newsmax,28.9,13.54
"We owe a principled stance for our people to ensure the next 3,000 years to come.",Right,1,newsmax,28.9,13.54
The researchers said that their experiment sheds some doubt on the hypothesis that exercise boosts CP because it sends more oxygen into the brain.,Right,0,newsmax,28.9,13.54
It was as if someone on her staff had set her up for this stupid stumble.,Right,1,newsmax,28.9,13.54
"HR 2, or the Secure the Border Act of 2023, passed the House in May and makes various changes to immigration law, including putting limits on asylum eligibility and mandating employers use an electronic system to verify the employment eligibility of new employees.",Right,0,newsmax,28.9,13.54
"Due to continuous Hamas terrorism, Israel constructed a security fence, established military bases, and developed the Iron Dome defense system.",Right,0,newsmax,28.9,13.54
"And after his reanimation, he acquires the power to instantly read and alter the data from any chip-driven device, from cellphones all the way up to supercomputers.",Right,0,newsmax,28.9,13.54
"The company spreads its global donation efforts in a wide swath of programs, including education in STEM (science, technology, engineering mathematics), global health initiatives, women’s economic opportunity, and malaria prevention.",Right,0,newsmax,28.9,13.54
Same goes for similar demonstrations around the U.S. Perish the thought that the White House might declare a national strategy to investigate something like this.,Right,1,newsmax,28.9,13.54
"Although there is no precise legal definition of ethnic cleansing under international law, the term was used to describe the abhorrent conduct that occurred in the conflict that ensued among the constituent nations that emerged in the aftermath of the dissolution of Yugoslavia.",Right,0,newsmax,28.9,13.54
"Two days later, White House spokeswoman Karine Jean-Pierre, asked about antisemitism in the U.S., instantly pivots to Islamophobia: ""Muslims and those perceived to be Muslim have endured a disproportionate number of hate-fueled attacks.",Right,1,newsmax,28.9,13.54
"While investigators are still trying to determine the scope of the sexual assaults, Israel's government is accusing the international community, particularly the United Nations, of ignoring the pain of Israeli victims.",Right,0,newsmax,28.9,13.54
"Even Sen. Elizabeth Warren, D-Mass., who hails from the state that laid the foundation for former President Barack Obama's signature healthcare law, is no longer a fan of it, Trump continued.",Right,1,newsmax,28.9,13.54
"The exact process they carry out each time to find, rate, and review today's best PA online casinos is explained in a nutshell right here.",Right,0,newsmax,28.9,13.54
"And as modernity comes into the region, it also seeks to take something out.",Lean Left,1,the-economist,42.4,-1.43
"There are many reasons to delay: continuing talks to free the array of hostages held by Hamas, the militant Islamist group that runs Gaza; American pressure, motivated by fears of a regional war; the dire conditions inside Gaza; and the chronic dithering of Binyamin Netanyahu, Israel’s long-serving prime minister.",Lean Left,1,the-economist,42.4,-1.43
"Demography, geography and the policies of Israel and its neighbours have all conspired to sink the plan.",Lean Left,0,the-economist,42.4,-1.43
"It also cost a great deal for the initial capture and development, and editing was slow and tedious.",Lean Left,0,the-economist,42.4,-1.43
"The party prioritised infiltrating departments like the police, customs and immigration to ensure it had control over the city, says Mr Ching.",Lean Left,1,the-economist,42.4,-1.43
"Passive aggression is the surreptitious, indirect and often insidious means by which we express antagonism or noncompliance while ensuring the plausible deniability of any such intentions Passive aggression is the surreptitious, indirect and often insidious means by which we express antagonism or noncompliance while ensuring the plausible deniability of any such intentions.",Lean Left,1,the-economist,42.4,-1.43
"On November 22nd Israel’s cabinet agreed to a as a horrific attack on October 7th-when Hamas militants crossed from Gaza into Israel and murdered an estimated 1,200 people, most of them civilians-has become a war.",Lean Left,1,the-economist,42.4,-1.43
