text,source_party,label,source,reliability,bias
The most frightening part is how a program like San Diego State tries to trade punches with the big boys.,Lean Left,1,san-diego-union-tribune,45.68,-1.76
"Free family event with entertainment, performers and vendors from different cultures.",Lean Left,0,san-diego-union-tribune,45.68,-1.76
It meant something for a Big Ten team to play in the glow of the sunset painting the San Gabriel Mountains at the Rose Bowl or for a traditional southern power to play in the heart of Texas at the Cotton Bowl.,Lean Left,0,san-diego-union-tribune,45.68,-1.76
"Rob Douglas, current president and chief operating officer, who has been with ResMed since 2001, will retire in the new year and transition to advising the CEO until the end of 2024.",Lean Left,0,san-diego-union-tribune,45.68,-1.76
"Advertisement In western Mexico, forests are being razed at a breakneck pace and while deforestation in places such as the Amazon rainforest or Borneo is driven by cattle ranching, gold mining and palm oil farms, in this hot spot, it is fueled by the voracious appetite in the United States for avocados.",Lean Left,1,san-diego-union-tribune,45.68,-1.76
"Years later, family members participating in genetic testing found they had a genetic mutation that increases the family’s risk of frontotemporal dementia.",Lean Left,0,san-diego-union-tribune,45.68,-1.76
New coach Sean Lewis has signed up to solve a Rubik’s Cube on steroids.,Lean Left,1,san-diego-union-tribune,45.68,-1.76
"Transfer pan to a wire rack to cool for 5 minutes, then brush the rolls with the remaining butter mixture.",Lean Left,0,san-diego-union-tribune,45.68,-1.76
"In exchange for the perks they received from Flores over the years, Soriano and Parker allegedly rated Flores and his company highly during evaluations, falsified evaluation documents to benefit IntelliPeak, recommended IntelliPeak for various projects and gave Flores insider information that helped him submit the most attractive proposals.",Lean Left,0,san-diego-union-tribune,45.68,-1.76
"Even though researchers may not have all of the answers, they’re working to find them.",Lean Left,0,san-diego-union-tribune,45.68,-1.76
"The White House decision to lump additional funding for the border in with Ukraine assistance has given lawmakers, Republicans say, an implicit nod to negotiate policy changes that would otherwise make Democrats feel uncomfortable.",Lean Left,1,san-diego-union-tribune,45.68,-1.76
"Lewis had his play-calling duties ripped away by Sanders late in the season, but it’s impossible to know how much Deion’s son playing quarterback entered into a complicated relationship.",Lean Left,1,san-diego-union-tribune,45.68,-1.76
"This year, the world’s farms will churn out about 72 million tons of beef.",Left,0,alternet,32.71,-14.76
"In January, El Paso District Attorney Bill Hicks said a trial date will not be set until after sentencing in the federal case, CNN affiliate KFOX reported.",Left,0,alternet,32.71,-14.76
"Those include shifting procurement toward plant-based purchases, creating food-policy councils, ending subsidies and bailouts that encourage overproduction of animal products, and incorporating sustainability into federal nutrition recommendations.",Left,0,alternet,32.71,-14.76
"Mainstream Dems really, really want the Fed to be their friend.",Left,1,alternet,32.71,-14.76
"He has chosen as his front line a part of the Bronx, specifically a stretch along Walton Avenue in the Mount Hope neighborhood, which - for now - is free from goofy bars, twee crochet sculptures and overpriced cafes.",Left,1,alternet,32.71,-14.76
"This mythology of emotional detachment has become the lore for chickens, cows, turkeys and other farmed animals.",Left,1,alternet,32.71,-14.76
"But 13 years after his death, his toxic influence on fundamentalist Christianity and politics remains - and that includes his son as well as President Donald Trump.",Left,1,alternet,32.71,-14.76
"In contrast to past presidents with likely personality disorders, she believes, Trump has a psychological profile that is common among violent offenders.",Left,1,alternet,32.71,-14.76
"And in the new Washington governed by President Barack Obama and a Democratic Congress, K Streeters with Democratic credentials are poised to exploit their party ties more than ever.",Left,1,alternet,32.71,-14.76
"Millions of violations every year Nationwide, the fraction of all water systems in compliance with health standards has hovered between 90% and 93% since 2013.",Left,0,alternet,32.71,-14.76
Much has been written about House Speaker Mike Johnson's (R-Louisiana) far-right Christian nationalist views.,Left,1,alternet,32.71,-14.76
"Reproduced by Taschen in a large, portfolio-like size are the calling-card books he created for friends and clients: faux cookbooks, shoe catalogs, adult alphabet books.",Lean Right,0,boston-herald,36.31,9.68
That or they understood early on that books were easier to tailor than silk dresses.,Lean Right,1,boston-herald,36.31,9.68
This progressive bit of ratemaking is brought to you via unassuming little paragraphs in a bill passed (with precious little public comment or debate) by the Legislature and signed by the governor last year: Assembly Bill 205.,Lean Right,1,boston-herald,36.31,9.68
"He hit Buddy Hield for a 3-pointer, then his feed to Nesmith with 44 seconds left sealed it.",Lean Right,0,boston-herald,36.31,9.68
This absurdity also exposes the problems that have come from the Supreme Court allowing Congress to ignore constitutional limits on its authority and then delegate its power to bureaucrats.,Lean Right,1,boston-herald,36.31,9.68
"President Biden’s non-response to this entire incident, alas, is also a reflection of his character.",Lean Right,1,boston-herald,36.31,9.68
"For the posterity minded If you’re thinking lovingly-inscribed keepsake, it’s hard to beat Library of America or the U.K.-based Folio Society.",Lean Right,1,boston-herald,36.31,9.68
Terrorists have taken over Nakatomi Plaza and if McClane hopes to ever see his wife again he’s gonna have to deal with bad guy Hans Gruber first.,Lean Right,0,boston-herald,36.31,9.68
"Instead, they’ll return home for a regular season game on Friday night against the loser of Tuesday’s Bucks-Knicks tournament quarterfinal.",Lean Right,0,boston-herald,36.31,9.68
That she would use the children to hurt a blameless child is appalling.,Lean Right,1,boston-herald,36.31,9.68
"Justin Turner was arguably Boston’s most valuable player last season, greatly exceeding expectations at the plate while immediately establishing himself as an indispensable clubhouse leader.",Lean Right,1,boston-herald,36.31,9.68
"Boston, MA- An enormous 501 pound pumpkin pie is cut and served by (from L to R) Chef Jason Gorman, Mayor Michelle Wu, Liz Joacobs Glen Thornborough, TD Garden prep., and Charlie Joacobs, CEO of the Bruins, at the 27th Annual Table of Friends Event Benefits More than 1,000 Of Boston’s Unhoused held at Boston Garden on November 21.",Lean Right,0,boston-herald,36.31,9.68
"It’s an unexpected blast: An engineer who saved Apollo 13, the doctor who discovered cystic fibrosis, Chicago street artist Lee Godie but also, no joke, Ida B.",Lean Right,0,boston-herald,36.31,9.68
"Or is the point that, actually, we should root for middle-class underdogs in their murderous quest to become upper class?",Lean Left,1,the-guardian,40.67,-7.97
"McKenzie is brilliant at spotlighting moments of love, romance and charming detail, in even the strangest, most difficult life.",Lean Left,1,the-guardian,40.67,-7.97
"Elito excitedly announces an upcoming track featuring a duo with Newham backgrounds, Ajax’s Chuba Akpom and Fulham’s Alex Iwobi.",Lean Left,0,the-guardian,40.67,-7.97
It is a completely random and incoherent setup which cannot be left as it is.,Lean Left,1,the-guardian,40.67,-7.97
"Hendry breezed through to the last-16 stage, picking up a cheque for £2,000 for the highest break in the pre-television stage along the way.",Lean Left,0,the-guardian,40.67,-7.97
"Verdict With any recent set of Bose headphones you can bank on top-class noise cancelling and good, clean sound.",Lean Left,0,the-guardian,40.67,-7.97
"The astonishing disclosure and its potential effects have been consistently covered up by senior staff at the vast nuclear waste and decommissioning site, the investigation has found.",Lean Left,1,the-guardian,40.67,-7.97
"With his lacquered-cased, embossed-bullet luxury lip colour, Ford had crashed through the £25 threshold and, fabulous though it was (and remains), the price tag was all anyone in the beauty world could talk about.",Lean Left,1,the-guardian,40.67,-7.97
"Then make a bed of yoghurt, ripple through the deep-red dressing and top with your roast vegetables.",Lean Left,0,the-guardian,40.67,-7.97
‘I’d prefer to be some sort of gun-toting baddie’ ... Jane Horrocks.,Lean Left,0,the-guardian,40.67,-7.97
"Lorraine, Bournemouth Top Boy, series four (Netflix) Exhausting but exhilarating ... Top Boy.",Lean Left,0,the-guardian,40.67,-7.97
"We never slice it, preferring to tear the bread into wide, jagged pieces with our fingers.",Lean Left,0,the-guardian,40.67,-7.97
Satire depends on some palpable distance between common reality and the thing satirized.,Right,0,american-greatness,18.93,22.45
"For example, middle income Hispanics struggle to deal with persistent, punishing inflation.",Right,1,american-greatness,18.93,22.45
"In the introduction to his excellent translation of the Satires (Penguin, 1974), Peter Green notes that Juvenal is among the most elusive of classical writers.",Right,0,american-greatness,18.93,22.45
"The common theme of these absurdities is how contrary to human nature, impractical, and destructive is utopian wokism, whether in matters of energy, race, crime, or illegal immigration.",Right,1,american-greatness,18.93,22.45
"Biden, like the Obama administration before, has inexplicably funded the hostile Iranian regime, which in turn funds the very terrorists that seek the annihilation of both Israel and the U.S.",Right,1,american-greatness,18.93,22.45
"While this charade is bound to fail, much like every other attempt to oust Trump from national politics, the important lesson is that, forever should be dispelled any doubts about DeSantis’ true loyalties being with the Swamp.",Right,1,american-greatness,18.93,22.45
"Tragically, America has already endured painful consequences from the similarly wrongheaded settlement of masses of Afghans resulting from Biden’s botched withdrawal.",Right,1,american-greatness,18.93,22.45
"Former CDC director Robert Redfield found evidence of a laboratory origin, he got death threats.",Right,1,american-greatness,18.93,22.45
"Even the Democrats seem to grasp this glaring weakness, which explains Biden’s total reversal on a border wall.",Right,1,american-greatness,18.93,22.45
"It is an ETF (exchange traded fund) basket of Chinese stocks: Source: CQG So, what gives?",Right,0,american-greatness,18.93,22.45
"If, when you finish reading River City One (Knox Press; November 7, 2023) by John Waters, Herman Melville’s Moby Dick comes to mind, then you are in touch with a genuine continuity of insight.",Right,0,american-greatness,18.93,22.45
This means hospitals couldn’t charge patients more for services based on where they receive them.,Right,0,townhall,24.95,19.79
October 7 should have been an open-and-shut case of moral condemnation.,Right,1,townhall,24.95,19.79
Carlos Machado was 15 years old in 1963 when the bullets from the firing squad shattered his body.,Right,0,townhall,24.95,19.79
"That’s when Congress voted to withhold highway funding from states that did not aggressively enforce a 55-mile per hour speed limit, and similar practices have been happening long before and since the American gas crisis of 50 years ago.",Right,0,townhall,24.95,19.79
It will be another two years before the other seats are contested.,Right,0,townhall,24.95,19.79
"Within the Arab world, innocent Palestinian Arabs: see the United Arab Emirates playing the most negative role (96%), see Saudi Arabia playing the second most negative role (95.5%), see Egypt playing the third most negative role (84.6%) see Jordan playing the fourth negative role (75.6%).",Right,1,townhall,24.95,19.79
Hamas oppresses its people by using foreign aid to back its genocidal ideology rather than pay for services or properly distribute basic resources.,Right,1,townhall,24.95,19.79
he unleashed the cops and the Guard on dirty hippies and college punks.,Right,1,townhall,24.95,19.79
She's raised speculation even before she lost her primary to now Rep. Harriet Hageman in August of last year by close to 40 points.,Right,0,townhall,24.95,19.79
