text,source_party,label,source,reliability,bias
Miracle Babies Toy Drive: Local nonprofit Miracle Babies holds a toy drive to serve families with hospitalized infants through Dec. 20.,Lean Left,0,san-diego-union-tribune,45.68,-1.76
"General Admission: $25, $20 for seniors and military; $10 for students at sacraprofana.org.",Lean Left,0,san-diego-union-tribune,45.68,-1.76
"Enjoy a game truck, bounce house, arts and crafts, rock climbing and live music.",Lean Left,0,san-diego-union-tribune,45.68,-1.76
Publisher is not responsible for errors on copy received after deadline.,Lean Left,0,san-diego-union-tribune,45.68,-1.76
Opinion: American union workers are tapping into their power and fighting back. It’s paying off.,Lean Left,1,san-diego-union-tribune,45.68,-1.76
"Strained tomatoes, such as from Pomi, are a similar, excellent option.",Lean Left,0,san-diego-union-tribune,45.68,-1.76
"In exchange for the perks they received from Flores over the years, Soriano and Parker allegedly rated Flores and his company highly during evaluations, falsified evaluation documents to benefit IntelliPeak, recommended IntelliPeak for various projects and gave Flores insider information that helped him submit the most attractive proposals.",Lean Left,0,san-diego-union-tribune,45.68,-1.76
"Doctors and other medical professionals who generally work on inpatient units came to him for specialty consults, blood work, medical imaging and other services.",Lean Left,0,san-diego-union-tribune,45.68,-1.76
"Highlights include choristers Christmas carols, St. Nicholas, All Souls’ Christmas Mouse (a long time tradition) and crafts, cookies and spiced tea along with gift shopping.",Lean Left,0,san-diego-union-tribune,45.68,-1.76
"If Client rejects a deliverable and explains to Union-Tribune how it does not meet the specifications, Union-Tribune will revise it and redeliver.",Lean Left,0,san-diego-union-tribune,45.68,-1.76
"Q: This is the time of year when a lot of people are focused on the story of Thanksgiving - a myth, really, that imagines a largely benign interaction between the Wampanoag people and the early English settlers in 1621.",Lean Left,1,san-diego-union-tribune,45.68,-1.76
Tickets are $40-$60 for Dec. 1; $30 for Dec. 2 - more at sanluisrey.org.,Lean Left,0,san-diego-union-tribune,45.68,-1.76
Client is responsible for ensuring that its payment information is up to date at all times.,Lean Left,0,san-diego-union-tribune,45.68,-1.76
"Even before he became a clown he wore loud shirts in crazy colors, unusual ties and wild hats, his daughter the Rev.",Lean Left,1,san-diego-union-tribune,45.68,-1.76
"Rob Douglas, current president and chief operating officer, who has been with ResMed since 2001, will retire in the new year and transition to advising the CEO until the end of 2024.",Lean Left,0,san-diego-union-tribune,45.68,-1.76
"ESCONDIDO Hanukkah Party and Latke Contest Congregation B’nai Tikvah will hold its annual Hanukkah Party and Latke Contest at 6:30 p.m. Dec. 8 at the Masonic Center, 1331 S. Escondido Blvd.",Lean Left,0,san-diego-union-tribune,45.68,-1.76
"Preller said, even as he acknowledged the alignment is yet to be determined.",Lean Left,0,san-diego-union-tribune,45.68,-1.76
This year’s grants represent the highest amount of grants ever issued by the state agency.,Lean Left,0,san-diego-union-tribune,45.68,-1.76
"For Gail Jennings and her family, the Thanksgiving menu is never written in ink.",Lean Left,0,san-diego-union-tribune,45.68,-1.76
"The price range last season was $250 to $1,500 in those same areas.",Lean Left,0,san-diego-union-tribune,45.68,-1.76
"ArtReach received $74,501 in combined grants for its programs, which use visual art in schools and the community to promote the advancement of social, racial, and economic equity.",Lean Left,0,san-diego-union-tribune,45.68,-1.76
