text,source_party,label,source,reliability,bias
"Colleagues who voted against his re-election said he sometimes prevents input from the public, is openly hostile to City Attorney Mara Elliott and acts punitively toward the four council members outside his alliance.",Lean Left,0,san-diego-union-tribune,45.68,-1.76
"Jingle Belle Cruise: One-hour family-friendly cruise Dec. 21-25 with carolers strolling throughout the ship, meet and greet and photos with Santa Claus, and interactive activities for the family, including cookie decorating, a balloon artist and face painter.",Lean Left,0,san-diego-union-tribune,45.68,-1.76
"During that same period, fentanyl seizures nearly doubled, from 6,829 pounds in 2021 to 12,778 in 2023.",Lean Left,0,san-diego-union-tribune,45.68,-1.76
"Demand is high for the limited number of appointments offered each day, users say the app is riddled with flaws and it’s only available in English, Spanish and Haitian Creole.",Lean Left,0,san-diego-union-tribune,45.68,-1.76
"Add 2 cups water and bring to a simmer, scraping up the browned bits.",Lean Left,0,san-diego-union-tribune,45.68,-1.76
SPRING VALLEY Enchanted Village: Noah Homes hosts its Enchanted Village from 5 to 8 p.m. Dec. 15 through Dec. 22 at 12526 Campo Road.,Lean Left,0,san-diego-union-tribune,45.68,-1.76
Rookie Quentin Johnston had a big catch getting his guys out of horrible field position and then had another ridiculous drop.,Lean Left,1,san-diego-union-tribune,45.68,-1.76
My classmates were unique in their approaches and their observations about the art we studied.,Lean Left,0,san-diego-union-tribune,45.68,-1.76
"Publisher shall have no liability for, and no credit shall be issued to Advertiser for, errors that do not materially affect the value of the advertisement, branded content, or advertising insert or where Advertiser is responsible for the error or omission.",Lean Left,0,san-diego-union-tribune,45.68,-1.76
"That later became Bekker’s Bar BQ and was run by her father, and now her mother and brother operate the business as Bekker’s Catering.",Lean Left,0,san-diego-union-tribune,45.68,-1.76
Opinion: American union workers are tapping into their power and fighting back. It’s paying off.,Lean Left,1,san-diego-union-tribune,45.68,-1.76
"Q: This is the time of year when a lot of people are focused on the story of Thanksgiving - a myth, really, that imagines a largely benign interaction between the Wampanoag people and the early English settlers in 1621.",Lean Left,1,san-diego-union-tribune,45.68,-1.76
"Rob Douglas, current president and chief operating officer, who has been with ResMed since 2001, will retire in the new year and transition to advising the CEO until the end of 2024.",Lean Left,0,san-diego-union-tribune,45.68,-1.76
"The price range last season was $250 to $1,500 in those same areas.",Lean Left,0,san-diego-union-tribune,45.68,-1.76
New coach Sean Lewis has signed up to solve a Rubik’s Cube on steroids.,Lean Left,1,san-diego-union-tribune,45.68,-1.76
It meant something for a Big Ten team to play in the glow of the sunset painting the San Gabriel Mountains at the Rose Bowl or for a traditional southern power to play in the heart of Texas at the Cotton Bowl.,Lean Left,0,san-diego-union-tribune,45.68,-1.76
"Youngblood, one of two speakeasies hidden inside CH Projects’ Neighborhood gastropub, is a 16-seat cocktail bar where visitors can reserve a 90-minute, three-course guided tasting for $67.",Lean Left,0,san-diego-union-tribune,45.68,-1.76
The chasm between the haves and have-nots is about to become more profound than any time in the history of the sport.,Lean Left,1,san-diego-union-tribune,45.68,-1.76
"Add the milk to the hot butter; the mixture should be warm to the touch (if it’s hot, let cool until warm to the touch).",Lean Left,0,san-diego-union-tribune,45.68,-1.76
"My aim wasn’t to improve the original, but to honor its careful calibration of flavors by replicating them from scratch.",Lean Left,0,san-diego-union-tribune,45.68,-1.76
"For evidence that the United States was founded as a secular nation, look no further than the 1797 Treaty of Tripoli, an agreement the US negotiated with a country in present-day Libya to end the practice of pirates attacking American ships.",Left,1,alternet,32.71,-14.76
"Instead, tribes are competing with each other for funding that is a mere fraction of what the U.S. was willing to pay for their possible eradication.",Left,1,alternet,32.71,-14.76
"Before there was farming, Trampe says, there wasn't much of a ground water supply in his part of the valley north of Gunnison.",Left,0,alternet,32.71,-14.76
"I-Dosing Gullible teenagers looking for a high are a ripe market, but substances tend to draw the ire of their elders.",Left,1,alternet,32.71,-14.76
"Moreover, the fact that these ideas have gained so much traction in the past month - accelerating after another brutal murder of Americans by cartels - illustrates some profoundly important things about the state of the Republican party.",Left,1,alternet,32.71,-14.76
"On Sept. 14, two chartered planes carrying about 50 migrants arrived on Martha's Vineyard, an island enclave off the coast of Massachusetts that is famed for its seasonal visitors like the Obamas.",Left,0,alternet,32.71,-14.76
"But those tenths would add up and the extreme temperatures would rise even faster, and while Peter's big mammal body could handle 100 degrees, sort of, 110 drove him crazy.",Left,1,alternet,32.71,-14.76
