text,source_party,label,source,reliability,bias
"The free community event includes holiday vendors, photos with Santa, story time with elves, crafts for kids, and a petting zoo.",Lean Left,0,san-diego-union-tribune,45.68,-1.76
Opinion: American union workers are tapping into their power and fighting back. It’s paying off.,Lean Left,1,san-diego-union-tribune,45.68,-1.76
"Jingle Belle Cruise: One-hour family-friendly cruise Dec. 21-25 with carolers strolling throughout the ship, meet and greet and photos with Santa Claus, and interactive activities for the family, including cookie decorating, a balloon artist and face painter.",Lean Left,0,san-diego-union-tribune,45.68,-1.76
The newsrooms or editorial departments of the Union-Tribune are not involved in the production of this content.,Lean Left,0,san-diego-union-tribune,45.68,-1.76
Public comments on the notice of preparation for a draft environmental impact report for East Harbor Island redevelopment and the Topgolf project are due by Dec. 18.,Lean Left,0,san-diego-union-tribune,45.68,-1.76
"In exchange for the perks they received from Flores over the years, Soriano and Parker allegedly rated Flores and his company highly during evaluations, falsified evaluation documents to benefit IntelliPeak, recommended IntelliPeak for various projects and gave Flores insider information that helped him submit the most attractive proposals.",Lean Left,0,san-diego-union-tribune,45.68,-1.76
It only takes one more shock - like COVID-19 - to push them over the edge.,Left,1,alternet,32.71,-14.76
"However, we need more investment if we want to maintain our economic edge in today’s global economy.",Left,0,alternet,32.71,-14.76
"Despite years of international climate negotiations and lofty pledges from many countries and companies, greenhouse gas emissions continue to go up.",Left,1,alternet,32.71,-14.76
"Between the two world wars, when fascist leaders came to power across Europe, many Conservatives succumbed to fascism’s core conspiracy: that Jews and communists were in cahoots against the west.",Left,1,alternet,32.71,-14.76
"It only makes them more dangerous, especially for the poor + marginalized.",Left,1,alternet,32.71,-14.76
"Alarmingly, the trigger for the drying and warming cycle has been changing.",Left,1,alternet,32.71,-14.76
"Here are the snapshots he took during the wild ride, of fans taking his pictures, snow shovelers, welcoming committees, rehearsals - it’s like street photography from someone who couldn’t walk down the street.",Lean Right,0,boston-herald,36.31,9.68
They held a seven-point lead at halftime despite shooting poorly from deep because of their defense.,Lean Right,0,boston-herald,36.31,9.68
"In a statement shared by the Essex DA, Kenney’s family said they are focused on his wife and children as they process his sudden loss.",Lean Right,0,boston-herald,36.31,9.68
He’s hauled a few goose-neck trailers with it and some cows for a friend.,Lean Right,0,boston-herald,36.31,9.68
"Adrienne Shelley, who is no longer with us, was a huge part of our creative conversations and continued the legacy of this beautiful story and film that she made.",Lean Right,0,boston-herald,36.31,9.68
"For the average viewer, there likely isn’t a strong sense that, say, Universal Pictures and Peacock share a parent company (or possibly even that Peacock exists at all).",Lean Left,0,the-guardian,40.67,-7.97
"I’d like to be some sort of baddie, which would be a bit of a shocker, but I’m not sure what my specialist skill would be.",Lean Left,0,the-guardian,40.67,-7.97
"If there were ever an area where doggedly pursuing what’s not in the commercial interest of others should be front and centre of the BBC’s remit, it is news.",Lean Left,1,the-guardian,40.67,-7.97
"It’s been panned by US audiences but the silly, witchy intrigue is undeniable.",Lean Left,1,the-guardian,40.67,-7.97
"In turn, the quality of American high school education should become better.",Right,0,american-greatness,18.93,22.45
There is no doubt these BLAFIWHIMP DAs have transformed their communities into living hells.,Right,1,american-greatness,18.93,22.45
"There is no incentive for him to fire anyone, because all of his smug underlings have executed Biden’s progressive wish list to the fullest extent-regardless of what the disastrous circumstances on the ground are.",Right,1,american-greatness,18.93,22.45
"The situation in Georgia exemplifies the power of these unions, because even there, while unions are not able to bargain, they still are still permitted to recruit members and collect dues.",Right,1,american-greatness,18.93,22.45
"Advertisement Initially, the conference attracted only 5,000 attendees; however, 70,000 will attend this event.",Right,0,townhall,24.95,19.79
But what’s not debatable is that some intelligent and reasonable people who are not involved in Trump’s campaign and who have no dog in the fight have changed their minds about Trump’s ability to win in November.,Right,1,townhall,24.95,19.79
"Without fossil fuels, there is simply no way we could maintain the standard of living that we have become accustomed to.",Right,1,townhall,24.95,19.79
No Democrat could ever accept such a record in a candidate for national office.,Right,1,townhall,24.95,19.79
Use hummus to fight sugar cravings by spreading it in sandwiches instead of mayonnaise or as a dip with vegetables.,Right,0,newsmax,28.9,13.54
"Following his resignation, he took the title of pope emeritus and continued to live in the Vatican, alongside his successor Francis.",Right,0,newsmax,28.9,13.54
"Because there are many circumstances where killing happens, such as capital punishment and self-defense.",Right,1,newsmax,28.9,13.54
"And if we the people are to govern ourselves, we must have these rights, even if they are misused by a minority.""",Right,0,newsmax,28.9,13.54
It wasn't impressive or insightful in any way other than what you might see in the news.,Right,1,infowars,15.78,23.58
"As the New York Times scribe points out, mortgages can be prepaid with no penalty.",Right,0,infowars,15.78,23.58
"Seven months after launching an invasion - one that western officials thought would be over in days with an overrun Ukrainian capital - Russia controls roughly three thousand square kilometers less land than it did in the first five days of the war, CNN found.",Right,0,infowars,15.78,23.58
"Instead, injured troops are often thrown into any vehicle available or leave the front on foot.",Right,1,infowars,15.78,23.58
Monumental misfortune Yet the story of the past two decades has been one of conflict and despair.,Lean Left,1,the-economist,42.4,-1.43
By the time he was born they were living in tin shacks on the sand clustered around streams of raw sewage.,Lean Left,1,the-economist,42.4,-1.43
Suddenly it seemed as though there were heavily armed fighters everywhere Arab gunmen were intent on wiping out male Masalit of any age - countless babies and children have been murdered.,Lean Left,1,the-economist,42.4,-1.43
"In China the reverse happens, says Mark Williams of Capital Economics, a research firm.",Lean Left,0,the-economist,42.4,-1.43
"Its single utterance, by itself, is more than sufficient to establish a hostile work environment by race and color.",Lean Right,1,reason,36.26,4.84
"Long-term financing means that a needed megaproject can be procured now, rather than 10 or 20 years in the future, or building it in bits and pieces over several decades, based on annual appropriations.",Lean Right,0,reason,36.26,4.84
"Court considering applications for pendente lite child support may, in their discretion, apply the CSSA standards and guidelines, but they are not required to do so.",Lean Right,0,reason,36.26,4.84
"It might be that we're also choosing our relationships in ways that make them more fruitful and important to us, and we adapt them to our individual lives.",Lean Right,0,reason,36.26,4.84
"The International Association of Machinists and Aerospace Workers (IAM), echoed similar sentiments.",Lean Left,0,washington-post,38.8,-6.85
"Some deans blame U.S. News, in part, for the fact that a lot of law schools, in order to boost their rankings, focus more on giving financial aid to students with high test scores than they do on helping those from low-income backgrounds.",Lean Left,1,washington-post,38.8,-6.85
"Ukrainian officials argued that they needed to sustain a robust fight in the Bakhmut area because otherwise Russia would try to reoccupy parts of the Kharkiv region and advance in Donetsk - a key objective for Putin, who wants to seize that whole region.",Lean Left,0,washington-post,38.8,-6.85
"Endowed with a name that was GOP royalty, she surely knew what the consequences would be for telling the truth about Donald Trump and the insurrection that led to an attack on the U.S. Capitol.",Lean Left,1,washington-post,38.8,-6.85
"In fact, many investors expect the central bank to begin cutting rates in the middle of next year amid signs the economy is cooling.",Lean Right,0,fox-business,38.81,9.11
"Additionally, the ripples of the Great Recession didn’t spare boomers who remained in the workforce.",Lean Right,0,fox-business,38.81,9.11
"The activewear market is extremely competitive, Riccobono added, saying Greatness Wins stands out by combining good-looking products with performance, while producing something that doesn't yet exist in its own way.",Lean Right,1,fox-business,38.81,9.11
"Rates on 5-year personal loans averaged 25.00%, up from 24.87% in October.",Lean Right,0,fox-business,38.81,9.11
Jeff Semple gets an inside look at how a volunteer team of high-tech experts are helping track down the hostages.,Lean Left,0,global-news,44.54,-4.26
"The NIA found that while most older Canadians report they have a network of family and friends they can count on, more than four in 10 are considered to be socially isolated.",Lean Left,0,global-news,44.54,-4.26
Story continues below advertisement He said emergency rooms are seeing an influx of patients due to viruses and health-care professionals have been part of rotating public sector walkouts.,Lean Left,0,global-news,44.54,-4.26
"Story continues below advertisement On Saturday, a woman in Mexico was found dead after an apparent shark attack in Melaque Bay.",Lean Left,0,global-news,44.54,-4.26
"They are just sitting there in the darkness, dwelling in the shadow of death.",Lean Right,1,the-christian-post,36.41,10.31
It is an opportunity for us to shift our gaze back into the loving eyes of our Creator.,Lean Right,1,the-christian-post,36.41,10.31
"It's like these transgenders going in and racing against women in sports now, boxing matches.",Lean Right,1,the-christian-post,36.41,10.31
"However, it is no surprise that while Russia is now engrossed in its battle with Ukraine, its troops are no longer monitoring this region.",Lean Right,0,the-christian-post,36.41,10.31
"Those deaths, from poverty and disease and hunger, are less likely to make headlines, but they’re just as important.",Left,0,vox,39.59,-10.05
"Those efforts require effort and time - but to anyone who cares about the US health care system and the people working within it, they’re well worth knowing about.",Left,0,vox,39.59,-10.05
"Lachlan was already CEO of Fox Corporation, and he’ll become the sole chair of News Corp. (Longtime Murdoch lieutenant Robert Thomson remains CEO of News Corp.) Okay, but who’s really going to run the Murdoch media empire now?",Left,1,vox,39.59,-10.05
But it doesn’t help that reviewers who’ve been less than charitable about the film have been deluged with harassment from people calling them pedophiles and groomers.,Left,1,vox,39.59,-10.05
FAST AND FURIOUS Mearsheimer and Rosato acknowledge that people can be irrational and can be guided by psychological biases.,Center,0,foreign-affairs,44.56,-6.55
"To many observers, Russia’s decision to invade Ukraine was, obviously, irrational.",Center,1,foreign-affairs,44.56,-6.55
"Their position is in contrast to Israel, which, under the leadership of Prime Minister Benjamin Netanyahu, appears recklessly willing to accept regional escalation.",Center,1,foreign-affairs,44.56,-6.55
The Biden administration inherited a massive gap between ambition and reality when it comes to carbon mitigation.,Center,0,foreign-affairs,44.56,-6.55
Below are the worst examples of censorship from the month of November.,Right,0,newsbusters,19.99,20.48
Then comes Christmas when gratitude to God for His ultimate Gift seems to be increasingly diminished by the secular.,Right,1,newsbusters,19.99,20.48
"To progressives like Obama and those now championing Palestinian terrorists as victims of colonization, a world dominated by the United States is an oppressed world where some are oppressors, and some are oppressed.",Right,1,newsbusters,19.99,20.48
We’re talking about values that are as central and crucial to the future of our own country as they are for Israel.,Right,1,newsbusters,19.99,20.48
"Last the longest without accidentally picking a loser, and you could collect some serious cash.",Lean Left,1,usa-today,40.78,-4.12
"Apart from that, how they are leading their states is diametrically opposed.",Lean Left,1,usa-today,40.78,-4.12
"Reviewers also swear by their tanks and hoodies for all-day comfort, too.",Lean Left,0,usa-today,40.78,-4.12
Mr. Combs' decision to settle the lawsuit does not in any way undermine his flat-out denial of the claims.,Lean Left,0,usa-today,40.78,-4.12
"For some, however, it was a time of suppression, racial injustice, and undiluted bigotry, a time when the KKK could pull the strings of local police departments and threaten Jews, Catholics, and especially African Americans without consequence.",Lean Right,1,christianity-today,41.75,5.39
"Article continues below The current pandemic is dark and menacing for many of us, and it is easy to wonder whether there is a good and sovereign God in heaven or not.",Lean Right,1,christianity-today,41.75,5.39
"It is mostly just non-descript Bible education that's meant to be funny and enjoyable, or at least a little more lightweight.",Lean Right,1,christianity-today,41.75,5.39
"It was a religious family, with Pentecostal preachers going back generations.",Lean Right,0,christianity-today,41.75,5.39
"Troll This gleefully entertaining giant-monster movie eschews tearing up the likes of New York or Tokyo in favor of director Roar Uthaug’s (Tomb Raider 2018) native Norway, with a titanic troll stomping its way toward Oslo after being roused by a drilling operation.",Center,1,wired,36.77,-7.24
"As cleverly written and meticulously constructed as its predecessor, and featuring the kind of all-star cast-Edward Norton!",Center,1,wired,36.77,-7.24
"Raine is a phenomenally commanding lead throughout, while Capaldi's sinister performance is one of the most chilling you’ll see on screen.",Center,0,wired,36.77,-7.24
"A tense, 10-episode journey, think of Pending Train as a Japanese twist on Lost, but one with tighter pacing and showrunners who actually have a clue where they want the story to go.",Center,1,wired,36.77,-7.24
Find one you like and then get smart about how to introduce that.,Lean Left,0,cbs-news,41.76,-2.84
He spoke exclusively with CBS News Texas Friday afternoon at the Texas Capitol.,Lean Left,0,cbs-news,41.76,-2.84
Is the turbulent Twitter buyout just the next chapter in Elon Musk’s odds-defying story?,Lean Left,0,cbs-news,41.76,-2.84
"Hours later, Nick was transported to the St. Paul Police Department.",Lean Left,0,cbs-news,41.76,-2.84
"In the coming months, the company will add Gemini across its other apps, including search, Google Ads, and the Chrome browser.",Center,0,quartz,43.87,-4.77
"Offering a new route to white-collar work, like with an apprentice program, doesn’t just help companies hire more easily-but also more inclusively.",Center,1,quartz,43.87,-4.77
"Lengthy commitment periods, like the three or more years specified in the contracts reviewed by Quartz and Type Investigations, undermine the free movement of labor and deny workers one of their strongest bargaining chips: the ability to quit their jobs if the conditions of employment don’t suit them.",Center,1,quartz,43.87,-4.77
"If only he knew who he was scared of, she said, her fuzzy slippers kicked off at the foot of the sofa.",Center,0,quartz,43.87,-4.77
Enforcement of such may be impracticable as many consumers may turn to VPNs to circumvent these restrictions if they desire to access popular products still available in other states.,Lean Right,0,washington-examiner,34.07,11.3
"Musk has made his love for video games no secret, and his recently released biography, written by Walter Isaacson, revealed that he chose to play video games until 5:30 a.m. on the night he decided to buy Twitter in 2022.",Lean Right,1,washington-examiner,34.07,11.3
What they are showing the press is a wire from a law firm.,Lean Right,0,washington-examiner,34.07,11.3
"CLICK HERE TO READ MORE FROM THE WASHINGTON EXAMINER The Fed has been hiking interest rates since March 2022, although there have been recent indications and remarks from Fed officials that the rate increases might be done for this tightening cycle.",Lean Right,0,washington-examiner,34.07,11.3
WHAT IS AN ADVENT WREATH AND WHAT DO ITS CANDLES MEAN DURING THIS HOLY SEASON?,Right,0,fox-news,35.44,11.06
"And here are some mini-breaks throughout the year, so that if you want to take some time off, let's do it then and not miss school during scheduled school.""",Right,0,fox-news,35.44,11.06
"Those include eating well, getting proper sleep, being physically active and spending time outdoors in the sunlight, as well as engaging in positive social interactions .",Right,0,fox-news,35.44,11.06
"CLICK HERE FOR MORE SPORTS COVERAGE ON FOXNEWS.COM Pikiell has done a fantastic job recruiting for his Scarlet Knights squad, which just missed out on an NCAA Tournament berth last season.",Right,0,fox-news,35.44,11.06
"This event is historic by all measures, exceeding even the storied chronicles of Ellis Island, and portends the same permanent change for the nation.",Right,1,wnd,13.06,21.0
Beyond a deeply insightful dive into why leftists are surging toward radical Islam - which hates and dreams of raping and butchering them - this Whistleblower issue includes fantastic articles by everyone from top Israeli analyst (and former Israel Defense Forces officer) Caroline Glick to Harvest Christian Fellowship's Pastor Greg Laurie on the current war in Israel and biblical prophecies regarding the End Times ... which he says are now upon us.,Right,1,wnd,13.06,21.0
Do you think John Kerry floated an air biscuit in this case?,Right,1,wnd,13.06,21.0
Americans never voted for their experiment or the irrevocable consequences that immediately waylaid a surprised nation.,Right,1,wnd,13.06,21.0
"Nassau County Democratic Chair Jay Jacobs previously told ABC News that a handful of candidates were being considered for their pick -- including former Rep. Tom Suozzi, 2022 Democratic nominee Robert Zimmerman and former state Sen. Anna Kaplan, among some others.",Lean Left,0,abc-news,45.25,-2.91
