text,source_party,label,source,reliability,bias
A 10-9 Colorado victory provided the Buffaloes with a share of the championship.,Lean Left,1,san-diego-union-tribune,45.68,-1.76
"Rob Douglas, current president and chief operating officer, who has been with ResMed since 2001, will retire in the new year and transition to advising the CEO until the end of 2024.",Lean Left,0,san-diego-union-tribune,45.68,-1.76
"But given Trump’s rampant tradition-busting, there’s more than a little reason to worry that he’ll continue to reassert baseless claims that there was election fraud via mail-in ballots or foreign election interference favoring the Democrats, even after he has failed to persuade lawfully constituted authorities of such fantasies.",Left,1,alternet,32.71,-14.76
"After the hearing resumed, Casiano agreed with her lawyer’s assessment that she'd had a physical reaction to the emotional trauma she experienced during pregnancy.",Left,0,alternet,32.71,-14.76
"REGEV: If you like, I’ll speak to Ofir about it, if you like.",Left,0,alternet,32.71,-14.76
"The court has not said when it will hear oral arguments, but they are most likely to take place in the fall, just as Americans are preparing to go to the polls in November.",Left,0,alternet,32.71,-14.76
"Republican State Senator Rick Brattin, who represents a district on the western border of Missouri south of Kansas City, proposed the legislation.",Left,0,alternet,32.71,-14.76
"And of the total number of violations, 12,000, traced to water providers serving 27 million people, were health-related (rather than monitoring and reporting infractions).",Left,0,alternet,32.71,-14.76
"Once in Italy, a gateway to the rest of Europe, the illegal immigrants, under European Union regulations, are safe from immediate deportation and are allowed to apply for asylum.",Lean Right,1,boston-herald,36.31,9.68
But this excellent new survey of Chicago sculptor Simone Leigh feels both very overdue and right on time.,Lean Right,1,boston-herald,36.31,9.68
"Managed pubs, restaurants and bars had reported 13 consecutive months of like-for-like growth as of October.",Lean Left,0,the-guardian,40.67,-7.97
"If, as part of that objective, democracy and good government are spread abroad, so much the better.",Right,1,american-greatness,18.93,22.45
"Before Israel even retaliated, the mass murdering of Jews earned praise from the Middle East, the international hard left, and especially the faculty and students of elite Western campuses.",Right,1,american-greatness,18.93,22.45
"The upside is that time spent waiting will be time spent feeling noble, proud and generous for doing so much good while concurrently atoning for the sins of ancestors.",Right,1,american-greatness,18.93,22.45
"Ilion is the city where Remington, the oldest gun manufacturer in America, was first founded back in 1816.",Right,0,american-greatness,18.93,22.45
"In a nutshell (pun intended), the Communications Revolution has enormously contributed to the belief that politics is more awful than ever due to its impact upon the public, the media, the politicians, and the country.",Right,1,american-greatness,18.93,22.45
"The House had passed such a standalone aid bill weeks before, with bipartisan support.",Right,0,townhall,24.95,19.79
"Because when Syrian civilians were being slaughtered by the Assad government or Uyghurs were being abused by Chinese authorities, they said nothing.",Right,1,townhall,24.95,19.79
"Legalized Press-titution - POLITICO If this were from anyone in another profession, it would be deeply inappropriate.",Right,1,townhall,24.95,19.79
"Neighbors also said that Yoo covered his windows with aluminum foil (via Fox News): Although his LinkedIn profile appears to have been disabled, Yoo preserved some of his posts on a YouTube page along with silent videos showing court filings from some of his failed lawsuits.",Right,0,townhall,24.95,19.79
The verifiable consumer request must: Provide sufficient information that allows us to reasonably verify you are the person about whom we collected personal information or an authorized representative.,Right,0,townhall,24.95,19.79
It’s in our overwhelming national interest and international interest of all our friends.,Right,0,townhall,24.95,19.79
"Senate Republicans dealt another blow to getting more aid to Ukraine, vowing Wednesday to quash any bill for Ukraine aid that does not address the southern U.S. border.",Right,0,newsmax,28.9,13.54
Israel goal is to destroy Hamas and to bring back the hostages.,Right,1,newsmax,28.9,13.54
But some groups say Israel isn't making it easy to investigate.,Right,0,newsmax,28.9,13.54
There is also an examination of the leaders of the pro-life movement in light of the Supreme Court’s Dobbs ruling that overturned Roe vs. Wade and a strategy for how the GOP can turn its game into a winning season.,Right,0,newsmax,28.9,13.54
Dozens of lawsuits citing the provision to keep Trump from running again for president have been filed across the country this year.,Right,0,newsmax,28.9,13.54
"Less than two hours to go before the opening salvo, the media room, which is normally the practice hall for the University of Alabama’s Million Dollar Band, was barely half full.",Right,0,newsmax,28.9,13.54
It has deteriorated our justice system and allowed crime to flourish.,Right,1,newsmax,28.9,13.54
"Cameras were rolling Tuesday when the mayor of Montreal, Canada, Valérie Plante, dramatically collapsed during a press conference.",Right,0,infowars,15.78,23.58
Hamas’s rhetoric about being concerned about the residents of Gaza is as empty as that from Vladimir Putin about concern for civilians in Ukraine.,Lean Left,1,the-economist,42.4,-1.43
"The head of the central bank, in turn, is appointed by the prime minister.",Lean Left,0,the-economist,42.4,-1.43
"It also cost a great deal for the initial capture and development, and editing was slow and tedious.",Lean Left,0,the-economist,42.4,-1.43
"They met in Omaha in 1959, not long after Mr Buffett, then owner of a fledgling investment firm, had been told by a potential client that he resembled the erudite Mr Munger, who was six years his senior.",Lean Left,0,the-economist,42.4,-1.43
After 1914 the antagonisms and ambitions of European nation-states with colonies on almost every continent twice dragged the whole world into war.,Lean Left,0,the-economist,42.4,-1.43
"Before shaking up the cocktails on this Repeal Day, today's tobacco and nicotine prohibitionists may do well to take a few moments to contemplate what lessons they might take from their anti-alcohol predecessors.",Lean Right,1,reason,36.26,4.84
Another accelerator supposedly in the decline of lifestyle or standards of living in the United States has to do with China.,Lean Right,1,reason,36.26,4.84
"The share of 16-year-olds with a license fell between 1983 and 2018, from 46% to 26%, but the decline for older people was less precipitous.",Lean Right,0,reason,36.26,4.84
"In an astonishing tale of redemption, Florida has learned from its mistakes and now ranks among the nation's speediest and most competent vote counters.",Lean Right,1,reason,36.26,4.84
"If the pure numerical adrenaline isn't quite enticement enough, allow me to introduce you, via the magic of self-curated social media threads, to the terrific work of Reason staffers Billy Binion, Emma Camp, C.J.",Lean Right,1,reason,36.26,4.84
"And yes, these films might create a surrogate live music experience that feels surprisingly intimate and freshly communal - while still allowing these hyper-exposed celebrities to encroach on new precincts of the cultural mindshare.",Lean Left,1,washington-post,38.8,-6.85
"Share this article Share When Blue’s upheld fist emerged, the crowd was ecstatic.",Lean Left,0,washington-post,38.8,-6.85
"The rain will probably last six hours give or take in most locales, culminating in a final band of downpours along the actual cold front.",Lean Left,0,washington-post,38.8,-6.85
A rare dual-color and dual-sex lobster has become a curiosity and a sensation since being captured this month off the coast of Maine.,Lean Left,0,washington-post,38.8,-6.85
"The campaign’s inconclusive and discouraging early months pose sobering questions for Kyiv’s Western backers about the future, as Zelensky - supported by an overwhelming majority of Ukrainians - vows to fight until Ukraine restores the borders established in its 1991 independence from the Soviet Union.",Lean Left,0,washington-post,38.8,-6.85
"A lot of people, they just wanted to switch over to LEDs, and were trying to get rid of their own stock.",Lean Right,0,fox-business,38.81,9.11
CLICK HERE FOR MORE SPORTS COVERAGE ON FOXBUSINESS.COM Adelson said in a Las Vegas Sands filing earlier Tuesday she would sell $2 billion in stock to buy a majority stake in a sports franchise.,Lean Right,0,fox-business,38.81,9.11
"Additionally, the interest rate on a 15-year fixed-rate mortgage is 6.500%, which is 0.510 percentage points higher than yesterday.",Lean Right,0,fox-business,38.81,9.11
Greer and Mikael Backlund created unforgettable moments for the young fans undergoing treatment.,Lean Left,0,global-news,44.54,-4.26
Jeff Semple gets an inside look at how a volunteer team of high-tech experts are helping track down the hostages.,Lean Left,0,global-news,44.54,-4.26
"Story continues below advertisement City council played with the idea of adjusting the property tax ratio in Saskatoon during deliberations, with Coun.",Lean Left,0,global-news,44.54,-4.26
McLean said survivors often require services like housing and mental health or addictions services.,Lean Left,0,global-news,44.54,-4.26
"She said she was trafficked for a year before she was able to escape, though she said she also returned a few times afterwards because of the coercion and manipulation her trafficker exerted on her.",Lean Left,0,global-news,44.54,-4.26
Our training allows for indigenous Bible translation teams to be able to use best practices when they are translating the Bible for themselves.,Lean Right,0,the-christian-post,36.41,10.31
"Some of them spread nasty diseases like dengue fever, including the costly one above.",Left,1,vox,39.59,-10.05
"But the first, and arguably most important, is that Israel must change its approach to the West Bank.",Left,1,vox,39.59,-10.05
"The worst effects of heat aren’t always in the hottest places: While absolute temperatures may rise higher in already warm areas like the southwestern US, heat waves can have their deadliest impacts in cooler regions, where high temperatures are less common.",Left,0,vox,39.59,-10.05
Kissinger sometimes failed to live up to his moral virtues of character and courage.,Center,1,foreign-affairs,44.56,-6.55
It has been pictured by many as perversely stubborn because of its haggling over the status of the NLF.,Center,1,foreign-affairs,44.56,-6.55
"In his final chapter, Kissinger spells out a general theory of lesser evils that may be read as a kind of credo: It would be comforting if we could confine our actions to situations in which our moral, legal and military positions are completely in harmony and where legitimacy is most in accord with the requirements of survival.",Center,0,foreign-affairs,44.56,-6.55
"Once the tide had turned, Kissinger sought to impose a structure on Israel and its neighbors that would bind them all to Washington and pry them away from Moscow.",Center,1,foreign-affairs,44.56,-6.55
Working across Venezuela’s political divide to resolve the country’s crisis may be distasteful to the opposition hard-liners in Caracas and foreign policy hawks in Washington who see the maximalist goal of ousting Maduro as the only way forward.,Center,0,foreign-affairs,44.56,-6.55
He in turn feels tricked by the very intensity and suddenness of the pressure while we are outraged to learn of objections heretofore not made explicit.,Center,1,foreign-affairs,44.56,-6.55
"ZAMANILLO: Well, right now, it's crucial for us to get a site selected.",Right,0,newsbusters,19.99,20.48
MRC Free Speech America is tracking and documenting Big Tech election interference with presidential candidate accounts and candidate messaging.,Right,0,newsbusters,19.99,20.48
Amazon is not the only Big Tech company with an apparent anti-Semitism problem.,Right,0,newsbusters,19.99,20.48
"Glenn Youngkin which is, ironically, doing the same thing he accuses conservative Evangelicals of doing: confusing his own policy preferences for Christianity.",Right,1,newsbusters,19.99,20.48
"It doesn't matter who you, on a personal level, agree or disagree with.",Right,0,newsbusters,19.99,20.48
"Alex then oversaw at least $32,648,000 spent during the midterm elections to support leftist candidates.",Right,1,newsbusters,19.99,20.48
"Plus, the post came six days after the worst terrorist attack in recent memory.",Right,1,newsbusters,19.99,20.48
"Syracuse Who's out: Dino Babers won 10 games in 2018, but overall was 41-55 during his tenure and slumped too many times late in the season to warrant returning.",Lean Left,1,usa-today,40.78,-4.12
