text,source_party,label,source,reliability,bias
"Client’s failure to timely provide material that Union-Tribune requires to move forward with a project, such as a Client login, an image that only Client is able to provide, or any other element essential to project completion, shall cause such campaign or project to be deemed inactive and cause Union-Tribune to stop work.",Lean Left,0,san-diego-union-tribune,45.68,-1.76
"Client also represents, warrants and covenants that the Client Trademarks (defined in Section 23) and all website links (including privacy policies and terms of use) that Client requests that the Union-Tribune include on a website or a distribution platform or in other Services or Content developed under this Agreement, including, but not limited to, existing URL, name, contact email address, street address and telephone number furnished by Client, are accurate and complete, and comply with all applicable laws, rules, and regulations.",Lean Left,0,san-diego-union-tribune,45.68,-1.76
"The White House decision to lump additional funding for the border in with Ukraine assistance has given lawmakers, Republicans say, an implicit nod to negotiate policy changes that would otherwise make Democrats feel uncomfortable.",Lean Left,1,san-diego-union-tribune,45.68,-1.76
"Some people living with the condition become apathetic, start missing work deadlines, drastically change their eating habits or make extravagant purchases.",Lean Left,0,san-diego-union-tribune,45.68,-1.76
Prosecutors offered some of the first clues about the shape of their case in court papers.,Left,0,alternet,32.71,-14.76
State legislatures and courthouses in Republican-controlled states have largely led the charge.,Left,0,alternet,32.71,-14.76
It's not like we have the power to bludgeon the backward right into accepting our diversity standards just because they’re urgent.,Left,1,alternet,32.71,-14.76
"Though Iger may be handsomely rewarded, he will be taking a pay cut.",Left,0,alternet,32.71,-14.76
"Yang would have to block off another half day to visit Huron again, but she had three dozen other cases to deal with.",Left,0,alternet,32.71,-14.76
Smith has serious reservations about allowing others to drive his truck.,Lean Right,0,boston-herald,36.31,9.68
"Burns countered with a jumper on the baseline, but Zackery answered with a drive to make it 68-68 with 1:02 remaining.",Lean Right,0,boston-herald,36.31,9.68
"Almost three decades later, Tim Smith is still completely satisfied with his tough, dependable Dodge Ram.",Lean Right,0,boston-herald,36.31,9.68
"Justin Turner was arguably Boston’s most valuable player last season, greatly exceeding expectations at the plate while immediately establishing himself as an indispensable clubhouse leader.",Lean Right,1,boston-herald,36.31,9.68
"In a statement shared by the Essex DA, Kenney’s family said they are focused on his wife and children as they process his sudden loss.",Lean Right,0,boston-herald,36.31,9.68
"The council’s Committee on Government Operations is set to hear feedback from animal welfare leaders and advocates on Monday regarding the proposal, filed by Councilor Liz Breadon this past March.",Lean Right,0,boston-herald,36.31,9.68
"If extraterrestrials are here, and are influencing the future of humanity without interfering through overt conquest, who would they approach?",Right,0,american-greatness,18.93,22.45
Moralists have inveighed against luxury ever since there was luxury to tempt us.,Right,0,american-greatness,18.93,22.45
The name that has been floated the most among picks of the fairer sex is South Dakota Governor Kristi Noem (R-S.D.,Right,1,american-greatness,18.93,22.45
Let’s pray this isn’t predictive of what will come from the current swaps.,Right,1,american-greatness,18.93,22.45
"Appointed to the Supreme Court by Biden specifically for being black and female, Jackson may be the most prominent BLAFIWHIMP and like most BLAFIWHIMPs, she hails from a privileged and wealthy family who was educated at the Marxist-dominated Harvard Law School.",Right,1,american-greatness,18.93,22.45
"Control over the use of artificial intelligence was the most hard-fought issue in the long, methodical negotiations, and became the main driver of dissent during the voting.",Right,0,newsmax,28.9,13.54
"France is also renowned for its labor strikes, which often bring millions of protesters onto the streets.",Right,0,newsmax,28.9,13.54
All of our featured Pennsylvania online casinos are currently offering each new player from PA some kind of guaranteed welcome bonus.,Right,0,newsmax,28.9,13.54
It's time to protect what matters most - your property and the people within it.,Right,1,newsmax,28.9,13.54
Excessive force refers to making certain that the types of weapons used are appropriate to accomplish the mission.,Right,0,newsmax,28.9,13.54
