text,source_party,label,source,reliability,bias
"The TRANSPAC is one of the world's most prestigious open-ocean sailing competitions, and runs from Los Angeles to Honolulu.",Right,0,newsmax,28.9,13.54
The survey also found that 33% of voters either somewhat disagree (20%) or strongly disagree (13%) with President Reagan's statement.,Right,0,newsmax,28.9,13.54
"At the D.C. rally two weeks ago, historian Deborah Lipstadt, the Biden’s administration’s antisemitism envoy, quoted from President George Washington’s pivotal 1790 letter to the congregants of the Touro Synagogue in Newport, Rhode Island, built in 1763.",Right,0,newsmax,28.9,13.54
"The Colorado case was filed by a liberal group, Citizens for Ethics and Responsibility in Washington, with significant legal resources.",Right,1,newsmax,28.9,13.54
"If you want to get well looked after for your efforts, the amazing rewards Borgata has to offer its most loyal members are simply fantastic.",Right,1,newsmax,28.9,13.54
A killer is obsessed with Detective Bennett’s daughter; Bennett is just as obsessed with keeping his family safe.,Right,0,newsmax,28.9,13.54
"According to podcaster and media mogul Glenn Beck, the Trump slogan says let’s return America to its former glory; Biden says let’s turn it into something different, allegedly better.",Right,1,newsmax,28.9,13.54
With July being the month that two of the most prestigious fresh water yacht races are held - the Chicago-Mac Race and the Port Huron-Mac race - this is as good a time as any to check out a great sailing movie.,Right,0,newsmax,28.9,13.54
"Although the residents are initially taken aback by a Black sheriff, they eventually accept him and his perpetually drunk gunfighter sidekick (Gene Wilder) after realizing that they’re the only defense they have against a gang of thugs sent to drive the people out of town to make way for a new railroad.",Right,1,newsmax,28.9,13.54
"Stable angina can be managed with cardiac medications such as nitroglycerin, which temporarily widens coronary arteries, lowering blood pressure and relieving the need for the heart to work so hard.",Right,0,newsmax,28.9,13.54
Inspector Holmes showed Oswald that his wife Marina was listed as being able to receive mail at a New Orleans post office box.,Right,0,newsmax,28.9,13.54
"That is, they are chasing and spending money on a cause - changing the planet's temperature - that they can have almost no impact on.",Right,1,newsmax,28.9,13.54
"Permanent Resident Card, self-introduction scripts for the phony identity, common job interview questions and answers, and more to help threat actors carry out the scam.",Right,0,newsmax,28.9,13.54
He's with the Department of Diagnostic and Interventional Neuroradiology at University Hospital Rechts der Isar in Munich.,Right,0,newsmax,28.9,13.54
"How, and why, did the nation's premier law enforcement agency become radicalized, portraying ordinary Catholics as the enemy?",Right,1,newsmax,28.9,13.54
Let’s look at this from a historical perspective and in light of Erdogan’s recent actions.,Right,1,newsmax,28.9,13.54
"Yet, the Warren Commission, tasked with uncovering the truth of the Kennedy assassination, never called for Landis’ testimony.",Right,0,newsmax,28.9,13.54
President Joe Biden claimed his family didn't receive money from China: This was a lie.,Right,1,newsmax,28.9,13.54
"The main goal is enhancing defense industries' cooperation for a substantial increase in weapon production in Ukraine, the U.S. and also in other NATO member countries.",Right,0,newsmax,28.9,13.54
"But amidst this festive mood, a less cheerful threat looms in the form of cybercriminals.",Right,0,newsmax,28.9,13.54
"Fearlessly embracing risks, he carved a path that defied expectations, his pragmatic and forward-thinking approach yielding remarkable financial growth.",Right,1,newsmax,28.9,13.54
"To understand Johnson and his power, one must understand a little bit of the study of the nature of Being.",Right,1,newsmax,28.9,13.54
"Aiding this achievement, Lee released the song's official music video and actively promoted it on social media.",Right,0,newsmax,28.9,13.54
It quickly morphed into a broader movement against economic inequality and the cost of living.,Right,1,newsmax,28.9,13.54
Government officials using their authority to silence American citizens is a blatant violation of the First Amendment.,Right,1,newsmax,28.9,13.54
Bank of America (BOA): Pretty much everyone dislikes big banks - we understand that.,Right,1,newsmax,28.9,13.54
"One reason is that two parents share the stress of parenting - the sleep deprivation, the appointments, the scheduling conflicts, the missed work, the terrible twos - the lot.",Right,0,newsmax,28.9,13.54
"However, over six months people in the meditation group saw their adherence to the DASH diet improve significantly, and they became more tuned in to how their body feels when they treat it well - and when they don't.",Right,0,newsmax,28.9,13.54
That prompted a running joke: who was the first person to land on the moon?,Right,0,newsmax,28.9,13.54
Did you tell BLM that you and or your company would not be blackmailed with phony charges of racism?,Right,1,newsmax,28.9,13.54
"The film was produced by the legendary Gregory Peck and co-stars Deborah Raffin, as his girlfriend who follows and meets him at each port.",Right,0,newsmax,28.9,13.54
Putin's attacks were clearly intended to test our defenses while spreading terror.,Right,1,newsmax,28.9,13.54
Former Ukrainian MP Andriy Derkach is one whistleblower with the credibility to cut through this fog.,Right,1,newsmax,28.9,13.54
"The lower chamber advanced a resolution to censure Rep. Jamaal Bowman, D-N.Y., on Wednesday, potentially setting up a final floor vote this week.",Right,0,newsmax,28.9,13.54
"Formally, the United States is not telling Israel what to do, which of course it is, to be more surgical, let in more aid, exchange more hostages, keep the cease-fire going.",Right,1,newsmax,28.9,13.54
"Its political climate also supports innovation, technology and economic growth which could be a great benefit for companies that choose Delaware as a location for their LLCs.",Right,0,newsmax,28.9,13.54
"The good news is that loneliness, rather than a fixed, permanent condition, is an emotional state that is subject to change.",Right,0,newsmax,28.9,13.54
"In 2001, he and a partner purchased an original copy of the U.S.",Right,0,newsmax,28.9,13.54
"Additionally, the state has a number of tax incentives and credits that are available to businesses, which can help them save money on taxes and increase their bottom line.",Right,0,newsmax,28.9,13.54
"After the meager Thanksgiving harvest, the second season of collective farming and distribution proved equally disappointing.",Right,0,newsmax,28.9,13.54
"This same teacher, Suzy told me, regularly makes Christian-Conservative students cry.",Right,1,newsmax,28.9,13.54
A few Democrats broke ranks on Rep. Rashida Tlaib's pro-terrorist remarks.,Right,1,newsmax,28.9,13.54
Find Newsmax channel in your home via cable and satellite systems - More Info Here Watch Newsmax+ on your home TV app or smartphone and watch it anywhere!,Right,0,newsmax,28.9,13.54
It is a fixed and predictable monetary supply that will only ever be 21 million.,Right,0,newsmax,28.9,13.54
"And it is all funded by the federal government through grants from Homeland Security, the Justice Department, the State Department, and other agencies.",Right,0,newsmax,28.9,13.54
The time we have with our students - from the classroom to our homes - is foundational to developing citizens who positively influence and contribute to society.,Right,0,newsmax,28.9,13.54
"So he learns how to survive on his own, using whatever is available on the island, where he remains for years.",Right,0,newsmax,28.9,13.54
Banking and Security You never have to worry about the safety of your funds when playing at Slots Empire.,Right,0,newsmax,28.9,13.54
"These malware provide remote access to the infected device, retrieves and decrypts login data while stealing the victim's login credentials.",Right,0,newsmax,28.9,13.54
"When Smith uncovers his mentor’s latest crooked scheme, he takes his case to the Senate floor and filibusters against his former friend and his cronies.",Right,0,newsmax,28.9,13.54
"The letter, first obtained by NBC News, is supported by more than 40 interns who work in the White House and other executive branch offices, according to the text.",Right,0,newsmax,28.9,13.54
"And we have to win, otherwise this disease will spread, and it will consume civilization.""",Right,1,newsmax,28.9,13.54
"Rather than get frustrated by our failures, he suggests we have to learn from them and go on.",Right,0,newsmax,28.9,13.54
"Rajabpour-Miyandoab was born in 1997 in Neuilly-Sur-Seine, outside Paris, to a family with no religious affiliation.",Right,0,newsmax,28.9,13.54
"Hot Springs, Arkansas: As the name implies, Hot Springs is known for its network of natural mineral hot waters, which many people have believed possess healing and rejuvenation powers since the time when Native Americans ruled the Ouachita Mountain area.",Right,0,newsmax,28.9,13.54
"The single trait that distinguishes both the city of Savannah and its people is charm, and charm can soothe even the most savage of beasts.",Right,1,newsmax,28.9,13.54
It also offers free advertising space for non-profits and assists veterans who are transition back into civilian life by providing them tech training free of charge.,Right,0,newsmax,28.9,13.54
Mice fed fisetin for seven months experienced no loss of motor function or cognition.,Right,0,newsmax,28.9,13.54
The Biden administration is banking on proposed student loan bailouts to curry favor with younger voters but is losing sight of one important fact.,Right,1,newsmax,28.9,13.54
"In 2021, Elon Musk, one of the world’s richest men, directed his company Tesla to offer free supercharging stations during the holidays for customers during off-peak hours - a welcomed gift for Tesla owners driving to visit family and friends during the holiday season.",Right,0,newsmax,28.9,13.54
"In addition, Jane receives information from her investigator-partner that her client may have murdered before.",Right,0,newsmax,28.9,13.54
The Idaho Democrat warned America nearly a half-century ago that U.S. intelligence agencies were able to abuse their power and impose tyranny upon America.,Right,1,newsmax,28.9,13.54
It also teaches us to be gracious winners and good losers.,Right,1,newsmax,28.9,13.54
"China does not still, and that is a real frustration and a cause for concern.""",Right,1,newsmax,28.9,13.54
"So far, SSL has raised and allocated more than $1 million in gifts.",Right,0,newsmax,28.9,13.54
The argument can be well-made that Joe Biden is not someone you’d follow into battle.,Right,1,newsmax,28.9,13.54
The Guardian reported that close to 99% of the charges brought against Black Lives Matter rioters in 2020 were dropped by local prosecutors.,Right,0,newsmax,28.9,13.54
"Putin has sought to boost Russia's profile as a power broker in the conflict in the Middle East and challenge Washington, casting the war as a failure of U.S. diplomacy.",Right,0,newsmax,28.9,13.54
Just remember to select which new player welcome bonus you would rather claim during the sign-up process.,Right,0,newsmax,28.9,13.54
