text,source,label,reliability,bias
"Cesar Sayoc, 56, of South Florida was taken into custody on Friday, FBI Director Chris Wray confirmed at a press conference.",huffpost,0,37.82,-10.75
"""It is going to be a very good year.",huffpost,0,37.82,-10.75
“This president has gone longer in his tenure in the White House than just about any other president in modern history before facing the prospect of having his veto overridden.”,huffpost,0,37.82,-10.75
"""We know about the secret wiretaps, we know about the secret military tribunals, the secret White House email accounts,"" she said.",huffpost,0,37.82,-10.75
"“I don’t think I can guarantee a House outcome but I think the stronger the bill, in terms of the strength of the bipartisanship in the bill ― the odds go up in the House,” Sen. Tim Kaine (D-Va.) told HuffPost on Monday.",huffpost,0,37.82,-10.75
Bloomberg ― who rivals Trump in unwavering self-assurance ― favorably compared his own achievements in business and politics with Trump’s.,huffpost,0,37.82,-10.75
The business community has said that a ruling for the women would lead to a flood of class-action lawsuits based on vague evidence.,huffpost,0,37.82,-10.75
"Will we see what happened with the large stimulus happen here, which is once the stimulus is over the economy returns to slow growth? That's the danger.",huffpost,0,37.82,-10.75
Interior Secretary Ryan Zinke said in a statement on Twitter that he and Trump “believe that conservation & healthy herds are critical.”,huffpost,0,37.82,-10.75
"DANVILLE, Ky. –- Joe Biden did everything President Barack Obama did not last week, and a good bit more.",huffpost,0,37.82,-10.75
"In January, Trump asserted that he had “the absolute right to declare a national emergency,” according to CNN.",huffpost,1,37.82,-10.75
"""Everybody knows we need to look at a package of different changes to Social Security to make it strong for the long term,"" he said.",huffpost,0,37.82,-10.75
"Earlier this month, Clinton said she had a private email account because she “thought it would be easier to carry just one device for my work and for my personal emails instead of two.”",huffpost,0,37.82,-10.75
"Buying a car, by contrast he said, is ""designed to meet the needs of a customer.",huffpost,0,37.82,-10.75
Brown's office did not respond to The Huffington Post's request for comment.,huffpost,0,37.82,-10.75
"FBI agents arrested him at his home in Fort Lauderdale, Florida, and he appeared in court later Friday.",huffpost,0,37.82,-10.75
"A grand jury in San Diego indicted the Hunters on charges of filing false campaign finance records, saying the couple misused more than $250,000 after a two-year investigation.",huffpost,0,37.82,-10.75
"Since the 2010 midterm tea party wave election, the House GOP has contained a bloc of members who have opposed the establishment leadership time and time again.",huffpost,0,37.82,-10.75
"To justify the wall, Trump repeatedly insisted criminals, gang members and drug traffickers were pouring over the border and that only a wall could stop them.",huffpost,1,37.82,-10.75
"WASHINGTON -- The U.S. Department of the Treasury announced Thursday that when it comes to taxes, it will recognize same-sex couples' marriages even if they live in a state that does not.",huffpost,0,37.82,-10.75
Press Secretary Robert Gibbs declined repeated attempts for comment before relaying to reporters that he and White House lawyers had looked into the matter and found it legally permissible.,huffpost,0,37.82,-10.75
"Some of the more experienced Republicans tried to resist talking about Biden’s behavior, knowing it would come across as complaining.",huffpost,0,37.82,-10.75
Bush paid an effective tax rate of roughly 36 percent over those three decades.,huffpost,0,37.82,-10.75
