text,source,label,reliability,bias
There is always a chance that grassroots fervor in support of Labrador could gain a level of intensity that Boehner and McCarthy did not anticipate.,huffpost,0,37.82,-10.75
Christie has also faced criticism for reversinghis position recently on Common Core education standards.,huffpost,0,37.82,-10.75
"On another, WikiLeaks wrote it was happy to see the elder Trump mentioning the group on the campaign trail.",huffpost,0,37.82,-10.75
"How come in the hospital itself, okay? This is one of the...in the hospital itself, there's no records of his birth.",huffpost,0,37.82,-10.75
"""The principles aren't combined, written out yet, but in my personal belief I think it'll go with legal status that will allow you to work and pay your taxes,"" McCarthy told KBFX Eyewitnesses News.",huffpost,0,37.82,-10.75
"""The House interim report found that 'senior State Department officials requested the talking points be changed to avoid criticism for ignoring the threat environment in Benghazi' and that those changes were ultimately made,"" said Buck.",huffpost,0,37.82,-10.75
House Democrats have also lost nearly 60 seats over the past six years.,huffpost,0,37.82,-10.75
"An incredulous Bob Schieffer began his interview with Santorum Sunday by asking, ""What in the world were you talking about?""",huffpost,0,37.82,-10.75
"""Today, his fellow Missourians urged him to step aside, and I think he should accept their counsel and exit the Senate race.""",huffpost,0,37.82,-10.75
"""We know about the secret wiretaps, we know about the secret military tribunals, the secret White House email accounts,"" she said.",huffpost,0,37.82,-10.75
"When Sestak began making overtures that he would run, the White House looked for ways to follow through on its promise.",huffpost,0,37.82,-10.75
"Timothy Geithner, the treasury secretary, and Rob Nabors, director of the White House Office of Legislative Affairs, joined Obama, a White House aide confirmed.",huffpost,0,37.82,-10.75
"“That could be further evidence of an attempt to interfere with the investigation,” Schiff said of Trump’s reported request to Coats and Rogers.",huffpost,0,37.82,-10.75
Cowan will hold the seat in an interim capacity until an election in June.,huffpost,0,37.82,-10.75
Trump’s efforts to win over Democratic support on the bill ― which will require at least 60 votes to pass in the Senate ― hit even more trouble on Tuesday after the Supreme Court once again did not act on the administration’s effort to end DACA.,huffpost,0,37.82,-10.75
"Asked for her reaction to Tlaib’s “colorful language” ― the new Democratic congresswoman vowed to “impeach that motherfucker,” referring to Trump ― Pelosi said it was a free speech issue.",huffpost,0,37.82,-10.75
