text,source,label,reliability,bias
That the administration wavered over its public declarations of the cause of the assault -- repeatedly citing the video before eventually confirming that it was clearly an act of terrorism -- was widely interpreted among critics as evidence of a desire to suppress or conceal the truth.,huffpost,0,37.82,-10.75
"""I think it's important to recognize that you can't have 100 percent security, and also then have 100 percent privacy and zero inconvenience.",huffpost,0,37.82,-10.75
“I was stunned when Eric Cantor lost his primary election earlier this week.,huffpost,0,37.82,-10.75
A group called the St. Louis Tea Party issued its own resolution Tuesday calling on the NAACP to withdraw the proposal.,huffpost,0,37.82,-10.75
"“This is pretty much close to a miraculous occurrence,” Cornyn said before the vote.",huffpost,0,37.82,-10.75
"Hutchinson's report and his press conference were both met with scathing criticism from the American Federation of Teachers, which supports broader gun control measures and strongly opposes arming educators.",huffpost,1,37.82,-10.75
"Sen. Marco Rubio (R-Fla.) expressed “great admiration” for the former senator, Sen. John Cornyn (R-Texas) speculated that Lieberman could get 100 confirmation votes, and Sen. John McCain (R-Ariz.), said he would be “overjoyed” if Lieberman, who is a friend of his, were picked.",huffpost,0,37.82,-10.75
“I think he’s made his commitments so publicly and so unequivocally.”,huffpost,0,37.82,-10.75
"He ran for the GOP presidential nomination in 2008, capturing strong support from evangelical Christians and winning the Iowa caucuses.",huffpost,0,37.82,-10.75
"To date, 23 states and the District of Columbia have legalized marijuana for medical purposes.",huffpost,0,37.82,-10.75
"One-hundred candidates, including those who won their 2018 races, signed a letter to Pelosi and other congressional leaders demanding the reforms be the first order of business.",huffpost,0,37.82,-10.75
Bloomberg ― who rivals Trump in unwavering self-assurance ― favorably compared his own achievements in business and politics with Trump’s.,huffpost,0,37.82,-10.75
"In a follow-up statement on Saturday, a BuzzFeed spokesman told The New York Times that the news site had “re-confirmed” its reporting and seen “no indication that any specific aspect of our story is inaccurate.”",huffpost,0,37.82,-10.75
"Ryan seemed focused more on winning over moderate and independent voters who are still making up their minds, less than a month before the election.",huffpost,0,37.82,-10.75
He faces up to 48 years in prison.,huffpost,0,37.82,-10.75
Other recusals were related to stock ownership and family ties to judges or lawyers who participated in earlier stages of the cases.,huffpost,0,37.82,-10.75
The lawmaker is running for re-election in November against Democrat Ammar Campa-Najjar.,huffpost,0,37.82,-10.75
"On Wednesday, the House voted 396-9 on a bill that reaffirmed the motto and encouraged its display in all public schools and government buildings.",huffpost,0,37.82,-10.75
"At the base of this argument was a simple question that has been dogging Democrats ever since the infamous Bush v. Gore decision on the 2000 presidential election: Is the Supreme Court rigged to benefit corporations, the wealthy and, well, Republicans?",huffpost,1,37.82,-10.75
"If funding for his border wall is not secured by the end of the negotiation period, Trump said he is prepared to shut down the government again or issue a national emergency declaration in order to get funding ― a plan that would strip funding from disaster recovery efforts.",huffpost,0,37.82,-10.75
"Nominees have, in turn, generally refused to answer any question directly, in an appparent fear of revealing any bias about a potential future case they may hear.",huffpost,0,37.82,-10.75
"WASHINGTON -- President Barack Obama on Friday forcefully defended revelations that the National Security Agency is collecting phone records and electronic communications, saying that Congress was fully briefed and the programs are limited in scope.",huffpost,1,37.82,-10.75
"Cowan will become the second black senator from Massachusetts, after Edward Brooke, who served from 1967 to 1979.",huffpost,0,37.82,-10.75
"But as the federal authorities investigated Gov. Rod R. Blagojevich of Illinois over his efforts to sell the Senate seat that President Obama vacated in 2008, they uncovered evidence that one of Mr. Jackson’s friends had offered to make a contribution to Mr. Blagojevich’s campaign in exchange for the seat.",the-new-york-times,0,40.94,-7.94
Mr. Assange said on Twitter that he could not confirm whether the group had corresponded with Mr. Trump.,the-new-york-times,0,40.94,-7.94
"The statement by Mr. Carr, the special counsel’s spokesman, was unusual because it appeared to be the first time he had publicly challenged the facts of a news media account that had generated significant attention for its revelations about the president.",the-new-york-times,0,40.94,-7.94
"The president’s proposal “strikes a fair compromise by incorporating priorities from both sides of the aisle,” Mr. McConnell said in a statement after Mr. Trump’s speech.",the-new-york-times,0,40.94,-7.94
"PHOENIX — As the Arizona Legislature sent a bill to her desk Monday that would grant business owners the right to invoke religion to refuse service to gays and others, Gov. Jan Brewer, a Republican, faced pressure from many corners to veto the measure, which has cast unwanted national attention on Arizona.",the-new-york-times,0,40.94,-7.94
"Though a colorful, hard-charging advocate of aggressive offensive action, Mr. Mattis viewed a tough American posture overseas as a way to deter war, not to start them, with potential foes like Iran.",the-new-york-times,0,40.94,-7.94
"Adam S. Lee, the well-regarded special agent in charge of the bureau’s Richmond, Va., field office, was interviewed, as were Richard A. McFeely, a former senior official at the F.B.I., and Andrew G. McCabe, the acting director.",the-new-york-times,0,40.94,-7.94
"Hillary Rodham Clinton on Friday released her most recent eight years of tax returns, showing that she and former President Bill Clinton earned $139 million in adjusted gross income from 2007 to 2014.",the-new-york-times,0,40.94,-7.94
“We will be more proactive and not back down.”,the-new-york-times,0,40.94,-7.94
"But Senator Richard J. Durbin of Illinois, the Senate’s No. 2 Democrat, draws a distinction between the holding of such briefings and the informed consent of Congress.",the-new-york-times,0,40.94,-7.94
"Ms. Pelosi and senior Democrats said they were determined not to take the bait for now and risk generating a backlash from Mr. Trump’s supporters, who would most likely see impeachment as the overreaction of out-of-control Democrats.",the-new-york-times,0,40.94,-7.94
"The bill, which has been approved by committees of the House and Senate, allows great latitude to the secretary of state in denying a presidential candidate a spot on the ballot, saying that the secretary can do so if he or she believes that the documents do not prove citizenship.",the-new-york-times,0,40.94,-7.94
"To counter condemnations from some Democrats in Congress, the White House circulated a series of e-mails quoting endorsements from private-sector economic forecasters, liberal as well as conservative analysts, and Democratic officeholders, including an obscure freshman House member, Representative Gary Peters of Michigan.",the-new-york-times,1,40.94,-7.94
Ms. Lerner then left the hearing room with her lawyer to a whir of camera shutters.,the-new-york-times,0,40.94,-7.94
"He has vowed to “open up” the nation’s libel laws, even though those statutes are in fact state, not federal, laws.",the-new-york-times,0,40.94,-7.94
"“To be clear, she remains ready to appear at a hearing open to the American public.”",the-new-york-times,0,40.94,-7.94
"Safari Club International, a trophy-hunting organization that sued the Obama administration in 2014 in an effort to challenge the ban and was the first to report the policy change on Tuesday, lashed out against the news media and “anti-hunters” for swaying the Trump administration to lift the trophy ban.",the-new-york-times,0,40.94,-7.94
"For an evening, at least, Washington delivered.",the-new-york-times,0,40.94,-7.94
"“But at least for now, the healthy competition will bring us together.”",the-new-york-times,0,40.94,-7.94
"“The principles they lay out I’m sure won’t satisfy everybody,” Michael R. Bloomberg, former mayor of New York City, said at an immigration forum on Friday.",the-new-york-times,0,40.94,-7.94
"Instead, he laid out a protectionist agenda, saying his rule will be “buy American and hire American.”",the-new-york-times,0,40.94,-7.94
"He noted, though, that she was an early predictor of his election victory.",the-new-york-times,0,40.94,-7.94
"The overall result could be zero growth next year, not the 2.1 percent growth rate projected by the I.M.F.",the-new-york-times,0,40.94,-7.94
Top administration officials have hinted more openly of their displeasure in recent days.,the-new-york-times,0,40.94,-7.94
"“And as they changed, he tried to stand by his new views.”",the-new-york-times,0,40.94,-7.94
"Representative Jackie Speier, Democrat of California, said Vice President Biden had informed lawmakers during a two-hour briefing on Monday that there are “19 independent steps that the president can take by executive order.”",the-new-york-times,0,40.94,-7.94
“Let us do better by this generation of men and women.”,the-new-york-times,0,40.94,-7.94
But he but did not apologize for statements he made last week that linked trafficking in the drug to blacks and Hispanics.,the-new-york-times,0,40.94,-7.94
"After a few seconds, the congressman grabs the camera and the young man.",the-new-york-times,0,40.94,-7.94
"In the last year, Catholic bishops have emerged as vocal critics of the Obama administration over what they regard as violations of religious freedom, in particular the mandate that even religious employers must provide health insurance that covers birth control.",the-new-york-times,0,40.94,-7.94
"At one point during the hearing, the judge stopped his questioning of Mr. Jackson, who was crying, so that he could be given a tissue.",the-new-york-times,0,40.94,-7.94
"While officially a Republican, he has taken on leaders of both parties and, with no prior political career of his own, made clear that he saw himself as the ultimate outsider not beholden to the current system.",the-new-york-times,0,40.94,-7.94
"Ms. Klobuchar, however, illustrates why the Democratic base may find it difficult to inflict payback: She is broadly popular with liberals in Minnesota, and the shutdown fight has come late enough in the congressional calendar to leave any would-be challenger with little time to prepare.",the-new-york-times,0,40.94,-7.94
"She gave three speeches to Goldman Sachs in 2013 and was paid a total of $675,000 for them; her husband was paid $200,000 by Goldman Sachs for a speech in New York, two days after Mrs. Clinton spoke to the bank in South Carolina, according to an accompanying list of his 2013 speaking fees.",the-new-york-times,0,40.94,-7.94
"During a short concession speech late Tuesday, Mr. Cantor did not try to analyze his defeat or cast blame, saying only that he knew he had disappointed his supporters.",the-new-york-times,0,40.94,-7.94
‘Total contrived media garbage’,the-new-york-times,0,40.94,-7.94
They are so busy and crowded that a search was begun for more space.,the-new-york-times,0,40.94,-7.94
A person briefed on the matter said the prosecutors had also issued subpoenas to some of the 20 people and entities — including potential witnesses and people who have come under scrutiny in the inquiry — that received subpoenas last week from a New Jersey legislative committee whose investigation largely parallels the federal one.,the-new-york-times,0,40.94,-7.94
"Rahm Emanuel, the mayor of Chicago and Mr. Obama’s former chief of staff, joined the debate on Monday and said that the president should “clear the table” by doing whatever he can administratively so small issues do not get in the way of the bigger legislative fights over access to guns.",the-new-york-times,0,40.94,-7.94
"Mr. Williams, a coach on the team, trudged out on crutches after injuring his foot in the Wednesday morning fray as well.",the-new-york-times,0,40.94,-7.94
"Dozens of faculty members at Notre Dame, also a Catholic university, sent a letter to the president and chairman of the board of trustees last Friday asking them to rebuke Bishop Jenky’s comments and seek his resignation from the board.",the-new-york-times,0,40.94,-7.94
It was clear from the day that there would be no grace period either for or by the new president.,the-new-york-times,0,40.94,-7.94
"Mr. Ryan compared the idea of doing so to Barack Obama’s 2012 action to grant work permits and deportation reprieves to some undocumented immigrants brought to the United States as children, which Republicans, including Mr. Trump, vociferously protested as a naked abuse of presidential power.",the-new-york-times,0,40.94,-7.94
He has complained that marijuana arrests have strained his jail budget.,the-new-york-times,1,40.94,-7.94
She said she had asked the photographer to pull the images.,the-new-york-times,0,40.94,-7.94
Mr. Moore told The Post that the allegations were “completely false and are a desperate political attack by the National Democrat Party and the Washington Post on this campaign.”,the-new-york-times,1,40.94,-7.94
"Before the reading began, Jay Inslee, Democrat of Washington, asked Republicans to illuminate exactly what part of the Constitution would be read, what parts would be deleted and who would decide how things would unfold.",the-new-york-times,0,40.94,-7.94
"Since the disclosure that Mrs. Clinton used the private account, a spokeswoman for the State Department has described the request from Mrs. Clinton as part of the department’s larger efforts to improve its record-keeping.",the-new-york-times,0,40.94,-7.94
"Though Tea Party activists provided the energy and votes for Mr. Cantor’s ouster, the elections might be more of a plea for a place at the leadership table.",the-new-york-times,0,40.94,-7.94
"Mr. Stone has changed his story as investigators closed in, saying that he was not actually speaking to Mr. Assange and that he had no direct knowledge that Russians were responsible for the Democratic hacking.",the-new-york-times,0,40.94,-7.94
"In earlier interviews, some local law-enforcement officers along Colorado’s borders said that they had not seen an increase in marijuana coming from Colorado.",the-new-york-times,0,40.94,-7.94
Washington flourished but the people did not share in the wealth.”,the-new-york-times,0,40.94,-7.94
He also praised the campaign that Mr. Sanders ran.,the-new-york-times,0,40.94,-7.94
"But it was also clearly meant as a nod to the Tea Party, a loosely organized political movement whose members cite the Constitution as the basis for much of their political theory concerning federal powers and the rights and responsibilities of Congress.",the-new-york-times,0,40.94,-7.94
"Dress like you deserve respect, not a spot at a bar.”",the-new-york-times,0,40.94,-7.94
"Their calls were echoed by three Republican state senators — Adam Driggs, Steve Pierce and Bob Worsley, all members of the party’s conservative camp — who had helped pass the legislation in the first place.",the-new-york-times,0,40.94,-7.94
"According to the indictment, between June and July 2016, Mr. Stone told “senior Trump campaign officials” about the stolen emails in WikiLeaks’ possession that could be damaging to Mrs. Clinton.",the-new-york-times,0,40.94,-7.94
"According to a report in Fox News, the sailor had hoped to receive a pardon from the president, but has not.",the-new-york-times,0,40.94,-7.94
"But the justifications for the delay were “unpersuasive” and had “far-reaching consequences,” the inspector general said. ",the-new-york-times,0,40.94,-7.94
"One candidate, Scott Smith, the mayor of Mesa, who is a Mormon, said that the bill “gives carte blanche for anybody to discriminate under the guise of religion.”",the-new-york-times,0,40.94,-7.94
"In a statement, Mrs. Clinton highlighted the millions of dollars she said she and her husband had paid in taxes and given to charity, while lamenting what she called a lopsided tax code that favors wealthy people like them.",the-new-york-times,0,40.94,-7.94
