text,source,label,reliability,bias
House Democrats have also lost nearly 60 seats over the past six years.,huffpost,0,37.82,-10.75
"The vote broke down on party lines, with Republicans in hardened opposition.",huffpost,1,37.82,-10.75
"“We have far more people trying to get into our country today than probably ever before,” Trump said.",huffpost,0,37.82,-10.75
"Added Gibbs: ""I think you would really have to ask somebody who says... lets have some eight week fight and on February the 15th come in and say, alright, now we are ready to make a compromise, who on earth, who on earth thinks that that is somehow going to be a fundamentally better agreement than the one we are looking at right now?",huffpost,0,37.82,-10.75
"Last week, Gowdy said Clinton did not respond to any of the subpoenas requesting documents in the case, and her lawyer had informed the committee that the server used for emails during her tenure had been wiped clean.",huffpost,0,37.82,-10.75
Some Republicans ― including Ryan ― quickly shot down Trump’s idea.,huffpost,0,37.82,-10.75
"See the Bachmann cover below, and tell us whether you think it crosses a line.",huffpost,0,37.82,-10.75
It is also critical that all documents related to the Special Counsel’s investigation be preserved and made available to the appropriate Congressional committees.,huffpost,0,37.82,-10.75
"Among the suggested recommendations on the gun-policy front, only the ban on high-capacity magazines could have had a tangible impact on the shooting in Newtown, and it's unclear what, exactly, the effect would have been.",huffpost,0,37.82,-10.75
"Hutchinson said Tuesday that the idea of armed volunteers was scrapped after it was met with ""great reluctance"" from school employees.",huffpost,0,37.82,-10.75
"Citing the Fifth Amendment right against self-incrimination, Flynn’s lawyer said on Monday that Flynn would not comply with subpoenas from the Senate intelligence committee, which is conducting its own parallel investigation into Russia’s interference in the election and whether it colluded with President Donald Trump’s associates.",huffpost,0,37.82,-10.75
Immigration activists have targeted McCarthy specifically due to his high rank in the House GOP.,huffpost,0,37.82,-10.75
"At the community college, Holder said that they were starting “a good dialogue” but that it was “not enough.”",huffpost,0,37.82,-10.75
It's a reference to the fact that Labrador is generally respected by both the House leadership and back-bench tea party legislators.,huffpost,0,37.82,-10.75
"Reid, after all, only issued the above statement after his Republican opponents began hitting him for going silent on the matter.",huffpost,0,37.82,-10.75
"“President Obama has said that he’s determined to prevent Iran from getting nuclear weapons and I appreciate that and I respect that,” Netanyahu said on NBC’s “Meet the Press.”",huffpost,0,37.82,-10.75
"WASHINGTON ― FBI Special Agent Peter Strzok, who was taken off special counsel Robert Mueller’s team after Justice Department investigators discovered his texts disparaging President Donald Trump, has been fired from the bureau despite the recommendations of a career FBI official.",huffpost,0,37.82,-10.75
"""What has happened over the last several weeks, by virtue of the invitation that was issued by the Speaker [John Boehner] and the acceptance of it by Prime Minister Netanyahu two weeks in advance of his election, is that on both sides, there has now been injected a degree of partisanship, which is not only unfortunate, I think it's destructive of the fabric of the relationship,"" Rice told PBS' Charlie Rose.",huffpost,0,37.82,-10.75
"Whitehouse asked about the court’s controversial Citizens United decision, “What could be more involved in politics than to open this ocean of dark money that’s flooded into our politics?”",huffpost,1,37.82,-10.75
"All we've heard, the Fox News host complained, is ""we need a big tent. We need a big tent. Can we get a bigger tent? How can we get a big tent?",huffpost,1,37.82,-10.75
"“The FBI director should be drawn from the ranks of career law enforcement‎, prosecutors or the FBI itself ― not politicians,” Durbin told HuffPost later.",huffpost,0,37.82,-10.75
Pressing this question did not knock Gorsuch off his steady stream of non-answers.,huffpost,0,37.82,-10.75
"Cruz vehemently denied the rumors, which rippled through the Washington media establishment on Friday.",huffpost,0,37.82,-10.75
"Obama will meet with Sanders in Washington on Thursday, the same day the Vermont senator plans to hold a rally there.",huffpost,0,37.82,-10.75
"As part of its policy recommendations, the White House called on Congress to act on an old administration proposal to spend $4 billion to keep 15,000 cops on the streets.",huffpost,0,37.82,-10.75
"It is also quite obvious, from 223 years of legal and political debate on the topic, that the text of the Constitution itself, including those portions that deal with legislative power, is susceptible to many different (and often evolving) views and interpretations, a practical reality that would likely render most “Constitutional Authority Statements” controversial and contentious.”",huffpost,0,37.82,-10.75
These changes are reflected in the bills.,huffpost,0,37.82,-10.75
"Pelosi reasoned that while Trump’s comments have the power to “impact people’s lives,” the new congresswoman’s comments do not.",huffpost,0,37.82,-10.75
"The world laughs at us. They won't be laughing if I'm elected president.""",huffpost,0,37.82,-10.75
Trump noted so helpfully in a tweet Wednesday morning.,huffpost,1,37.82,-10.75
"“I don’t think they have American citizenship and if you speak to some very, very good lawyers — and I know some will disagree — but many of them agree with me and you’re going to find they do not have American citizenship.",huffpost,0,37.82,-10.75
"After 2036, the program will only be able to pay 77 percent of promised benefits.",huffpost,0,37.82,-10.75
"Obama adviser David Axelrod said ""Andrew is a unique thinker, and I can't speak for how he might react to this.",huffpost,0,37.82,-10.75
"The FWS concluded that Zimbabwe has made strides to improve elephant management and anti-poaching efforts, according to a notice published Friday in the Federal Register.",huffpost,0,37.82,-10.75
"“Put big game trophy decision on hold until such time as I review all conservation facts,” he posted to Twitter.",huffpost,0,37.82,-10.75
The election is Thursday -- leaving little time for Labrador to build momentum and peel off votes from McCarthy.,huffpost,1,37.82,-10.75
"UPDATE - May 30, 10 p.m.: Kathy Griffin issued a formal apology for the controversial images on Twitter.",huffpost,0,37.82,-10.75
Neither was elected -- Sen. Tim Scott (R-S.C.) was appointed in December after former Sen. Jim DeMint (R-S.C.) left the chamber in the middle of his term.,huffpost,0,37.82,-10.75
"McConnell is perhaps the nation’s biggest opponent of campaign finance reforms, and the Republican Party has enacted measures across the country in the last decade to restrict voter access.",huffpost,0,37.82,-10.75
"Will it be a big story? Probably not, but apparently being prepared for ambush interviews from eager college kids is the next phase of media training for many on Capitol Hill.”",huffpost,0,37.82,-10.75
Akin had also vowed to remain in the race earlier Tuesday on the radio show of former Republican presidential candidate Mike Huckabee.,huffpost,0,37.82,-10.75
Obama came out in support of same-sex marriage on Wednesday in an interview with ABC.,huffpost,0,37.82,-10.75
White House Press Secretary Jay Carney wouldn’t say whether Obama is also bracing for dragged out negotiations,huffpost,0,37.82,-10.75
"When he had finished introducing the report, Hutchinson called up Mark Mattioli, whose 6-year-old son, James Mattioli, was killed in December along with 19 other children at Sandy Hook Elementary School.",huffpost,0,37.82,-10.75
"""Everybody knows we need to look at a package of different changes to Social Security to make it strong for the long term,"" he said.",huffpost,0,37.82,-10.75
"""Freedom means freedom for everyone,"" she continued.",huffpost,0,37.82,-10.75
Newsweek's latest issue features a Michele Bachmann cover that's sure to stir up controversy.,huffpost,0,37.82,-10.75
Wray said at at a press conference in June that the bureau wouldn’t “hesitate to hold people accountable for their actions” after the disciplinary process.,huffpost,0,37.82,-10.75
"“It would’ve been a massacre without them,” he said.",huffpost,0,37.82,-10.75
"Weiner failed in a 2005 bid for the Democratic nomination for mayor of New York City, but he is still is widely considered a future contender for the office.",huffpost,0,37.82,-10.75
"In a statement to The Atlantic, Trump Jr.’s attorney, Alan Futerfas, said, “We can say with confidence that we have no concerns about these documents and any questions raised about them have been easily answered in the appropriate forum.”",huffpost,0,37.82,-10.75
He was one of several members of the House Foreign Affairs Committee who signed a letter calling on Trump to cancel.,huffpost,0,37.82,-10.75
"“I don’t believe he made any commitment whatsoever and I think it would be foolhardy to believe that he made a commitment,” Harris said.",huffpost,0,37.82,-10.75
"Christie, a tough-talking former federal prosecutor whose reputation for political bullying was reinforced by a George Washington Bridge lane-closing scandal last year, has served as New Jersey governor since January 2010, winning election twice in a state where Democrats greatly outnumber Republicans.",huffpost,0,37.82,-10.75
"""This is our first task as a society: keeping our children safe.",huffpost,0,37.82,-10.75
"An interview, Gowdy argued, would provide protection for the likely 2016 presidential candidate’s privacy and security for sensitive information.",huffpost,0,37.82,-10.75
I have nothing to do with the National Enquirer and unlike Lyin' Ted Cruz I do not surround myself with political hacks and henchman (sic) and then pretend total innocence.,huffpost,1,37.82,-10.75
He also expressed his displeasure that the domestic spying programs' existence was leaked to the press.,huffpost,0,37.82,-10.75
"“At that point, we were able to calm the situation, and victims were transported to the hospital,” Verderosa said.",huffpost,0,37.82,-10.75
"Roger Stone, an eccentric longtime Republican strategist with a tattoo of Richard Nixon’s face on his back, was arrested early Friday on criminal charges that include obstruction of an official proceeding, false statements and witness tampering.",huffpost,1,37.82,-10.75
“Trump says he wants to run the nation like he’s running his business? God help us.,huffpost,0,37.82,-10.75
"“We always hear members of Congress talking about swearing an oath to represent their constituents, when in reality the only oath we take is to the Constitution,” explained newly-minted Speaker John Boehner to the Post.",huffpost,0,37.82,-10.75
"Strzok subsequently joined the Mueller team, but left the team as soon as Mueller became aware of his anti-Trump texts.",huffpost,0,37.82,-10.75
The bill originally passed the House and Senate without a single “no” vote.,huffpost,0,37.82,-10.75
"""There's a reason these programs are classified.""",huffpost,0,37.82,-10.75
"“[B]y tilting the political playing field so heavily toward corporations and against individuals, hasn’t the court impacted the composition of who is in Congress and made it therefore even harder for Congress to taking meaningful,” Hirono said.",huffpost,0,37.82,-10.75
"""I have got a job to do here in New Jersey that is much bigger than presidential politics.",huffpost,0,37.82,-10.75
"Rennie's article was initially re-posted on Linda McMahon's website, but the story has since been removed.",huffpost,0,37.82,-10.75
"The proposal, which comes at the end of a month-long review process spearheaded by Vice President Joe Biden, is broken down into four key subsections: law enforcement, the availability of dangerous firearms and ammunition, school safety and mental health.",huffpost,0,37.82,-10.75
Talk-show host Ellen DeGeneres launched a campaign called #BeKindToElephants.,huffpost,0,37.82,-10.75
"As of April, 35 million seniors received Social Security retirement benefits averaging $1,179 a month, according to the program's latest monthly snapshot.",huffpost,0,37.82,-10.75
"Moments later, Trump tweeted about the organization.",huffpost,0,37.82,-10.75
"“I am afraid that Chairman Ryan’s budget reflects the values of his favorite philosopher Ayn Rand rather than the gospel of Jesus Christ,” said Father Reese.",huffpost,0,37.82,-10.75
"Sen. Rand Paul (R-Ky.), who was also at the practice, told MSNBC that Scalise crawled through the dirt, bleeding, to get away from the shooter.",huffpost,0,37.82,-10.75
The Trump administration also plans to take executive action to move about $200 million from the Department of Homeland Security and another $600 million from the Treasury Department’s asset forfeiture account.,huffpost,0,37.82,-10.75
"Passion was the thing Obama lacked last week, and Romney surprised the president and Democrats by talking constantly about how his policies would help the middle class.",huffpost,0,37.82,-10.75
He is in Idaho this weekend chairing the state GOP convention.,huffpost,0,37.82,-10.75
"He worked within that role to raise money and contribute to the campaigns of Republican governors across the U.S., many of whom won in the 2014 midterm elections.",huffpost,0,37.82,-10.75
"""You can address assault weapons, but it doesn't stop violence in schools.",huffpost,0,37.82,-10.75
That split among the justices raised the prospect of an ideologically divided ruling by the court this summer.,huffpost,0,37.82,-10.75
"His image suffered a major blow in 2014, when it was revealed members of his administration, including his deputy chief of staff, were involved in a plot to cause traffic jams near the George Washington Bridge to retaliate against a mayor who hadn't supported Christie's 2013 re-election.",huffpost,0,37.82,-10.75
"He added later, ""That's a decision that every Republican will have to make in laying out the principles, but that's my personal position.""",huffpost,0,37.82,-10.75
"Hodgkinson was member of the YMCA, Rucker said in a statement.",huffpost,0,37.82,-10.75
"In recent months, he has at times said the wall could just be steel slats, which would be like the “bollard fencing” developed during President Barack Obama’s administration.",huffpost,0,37.82,-10.75
The same kid who got stopped on the New Jersey freeway is now the attorney general of the United States.,huffpost,0,37.82,-10.75
"""It was a private fact, but now known publicly thanks to the lieutenant governor, that he also brought cool,"" Patrick said to laughs.",huffpost,0,37.82,-10.75
"The tweet of the lewd photo first was reported Saturday by BigGovernment.com, a website run by conservative commentator Andrew Breitbart.",huffpost,0,37.82,-10.75
"He added that the report found that ""local school authorities are in the best position"" to determine their own school security measures, ""specifically whether an armed security guard is necessary and supported by the education and citizen community.""",huffpost,0,37.82,-10.75
"Braley's remarks were released Tuesday by America Rising, a conservative political action committee which conducts opposition research on Democrats.",huffpost,0,37.82,-10.75
"""It can't just be the usual suspects,"" he continued.",huffpost,0,37.82,-10.75
Republicans have consistently supported the effort.,huffpost,0,37.82,-10.75
"If it happens tonight, any of the bills could come before the Senate for a vote on proceeding to full debate as soon as Friday or possibly early next week.",huffpost,0,37.82,-10.75
"""These guys discovered the phrase 'middle class' during the last six months on the campaign trail,"" said Rep. Chris Van Hollen (D-Md.), who has sparred with Ryan on the House Budget Committee for years and who played Ryan in debate preparation with Biden.",huffpost,0,37.82,-10.75
We tried to be as comprehensive as possible.,huffpost,0,37.82,-10.75
"With a majority of Americans now supporting marijuana legalization, and with states continuing to pass legalization laws, it seems unlikely that the federal government would push back against the legalizations.",huffpost,0,37.82,-10.75
"This mission was driven not just by party leaders, but also by the candidates who would ultimately deliver Democrats their first majority in the House in eight years.",huffpost,0,37.82,-10.75
"And on Wednesday, the White House began a robust process of selling the deal to Democrats -- skeptical, as they are, about an extension of Bush tax cuts for the wealthy and a generous revision of the estate tax.",huffpost,0,37.82,-10.75
"“The president cannot erase the Constitution with an executive order, and the 14th Amendment’s citizenship guarantee is clear,” said Omar Jadwat, director of the ACLU’s Immigrants’ Rights Project.",huffpost,0,37.82,-10.75
"Since then, he has continued to influence the conservative movement as a charismatic public speaker and radio and television host.",huffpost,1,37.82,-10.75
News outlets revealed this week that vast spying programs began under President George W. Bush and have continued under Obama.,huffpost,0,37.82,-10.75
"""After many hours of prayer, talking to my parents and re-reading my words online, I can see more clearly how hurtful my words were.",huffpost,0,37.82,-10.75
"He said the California progressive has lost the connection with working-class people in the Midwest ― the same people who make up his district, and the same people who turned out in droves to vote for Trump and help defeat Democratic presidential nominee Hillary Clinton weeks ago.",huffpost,0,37.82,-10.75
"In particular, they pointed to the fact that references to al Qaeda and previous security warnings were removed.",huffpost,0,37.82,-10.75
"Trump, however, did not mention them during extended remarks he offered shortly before his meeting with the eight top Democratic and Republican congressional leaders.",huffpost,0,37.82,-10.75
"""We’ve come a long way from my days going door to door for the Children’s Defense Fund and earning $16,450 as a young law professor in Arkansas—and we owe it to the opportunities America provides,"" Clinton said in a statement accompanying the returns.",huffpost,0,37.82,-10.75
The July 2018 indictment of 12 Russian intelligence officers in connection with the hack of a Democratic National Committee server during the 2016 election referred to Stone as “a person who was in regular contact with senior members of the presidential campaign of Donald J. Trump.”,huffpost,0,37.82,-10.75
Politico was first to report the news of the expected indictment.,huffpost,0,37.82,-10.75
Clinton had counted on winning all three.,huffpost,0,37.82,-10.75
"But I tell you, the only way we can change is if the American people demand it,"" said Obama.",huffpost,0,37.82,-10.75
"""We are going to limit it to the manufacturing of assault weapons and clips going forward.""",huffpost,0,37.82,-10.75
"But there was no sign the story, or the speculation about who may have been responsible for tweeting the photo, was fading.",huffpost,0,37.82,-10.75
"Grassley, who owns a farm, often notes in Senate Judiciary Committee hearings that he is the only non-lawyer on the panel, which oversees the judicial nominations process.",huffpost,0,37.82,-10.75
Feinstein is a ranking member of the Senate Judiciary Committee.,huffpost,0,37.82,-10.75
