text,source,label,reliability,bias
"UPDATE: Commenting on the Treasury Department's new policy, Edie Windsor hailed the decision as the precise remedy that she sought when she challenged the constitutionality of DOMA.",huffpost,0,37.82,-10.75
"In his video, flanked by an American flag and a Texas state flag, he added: “You know, I look forward to staying in touch with everyone.",huffpost,0,37.82,-10.75
Hutchinson also encouraged the NRA to continue funding pilot programs to train school employees to carry weapons.,huffpost,0,37.82,-10.75
“Violence of any kind is unacceptable in our society and I condemn this action in the strongest possible terms.”,huffpost,0,37.82,-10.75
"The national emergency declaration will allow the Trump administration to use about $3.6 billion from Defense Department construction projects to build the wall, along with another $2.5 billion the department had allocated for counter-drug activities, acting White House chief of staff Mick Mulvaney told reporters.",huffpost,0,37.82,-10.75
He said polling had him safely above his opponent — “We’re looking good” — and he indicated he wasn’t really afraid of losing.,huffpost,0,37.82,-10.75
"The bill's sponsor, Rep. Randy Forbes (R-Va.) had argued that some people, including Obama, needed to be reminded of the motto.",huffpost,0,37.82,-10.75
"Throughout the week, more than 10 packages containing potential explosive devices have been mailed to lawmakers and other public figures critical of Trump, including former President Barack Obama, former President Bill Clinton, Trump’s 2016 presidential opponent Hillary Clinton, Rep. Maxine Waters (D-Calif.), actor Robert De Niro and former CIA Director John Brennan.",huffpost,0,37.82,-10.75
"In the next shot, Etheridge grabs the reporter’s wrist and continually asks him to identify himself.",huffpost,0,37.82,-10.75
The president has said he plans to meet with the Russian leader alone.,huffpost,0,37.82,-10.75
"Members of LePage’s own party have been trying to deal with the headaches he’s caused as well, with one GOP state senator even talking about censuring him.",huffpost,1,37.82,-10.75
"AARP legislative policy director David Certner said on CNN Friday that ""there was some miscommunication with the Wall Street Journal story.""",huffpost,0,37.82,-10.75
"""Today, his fellow Missourians urged him to step aside, and I think he should accept their counsel and exit the Senate race.""",huffpost,0,37.82,-10.75
Both sides have painted the case as extremely consequential.,huffpost,0,37.82,-10.75
"“But I don’t think it’s any worse than what the president has said,” she concluded.",huffpost,0,37.82,-10.75
"Republican presidential candidate Rick Perry pledges to end ""[President Barack] Obama's war on religion"" in a new television ad airing in Iowa, railing against open service of gays and lesbians in the military and the prohibition against prayer in public schools.",huffpost,1,37.82,-10.75
"I love this country, but this country is going to hell. ...",huffpost,0,37.82,-10.75
