text,source,label,reliability,bias
"I think there should be some punishment, but the punishment ought to be on the rapist.""",huffpost,0,37.82,-10.75
House passage of the legislation is the result of a long collaborative process by the Democratic Party to prioritize campaign finance and voting rights reforms.,huffpost,0,37.82,-10.75
News outlets revealed this week that vast spying programs began under President George W. Bush and have continued under Obama.,huffpost,0,37.82,-10.75
Trump said he’s prepared to sign a bill to open the government through Feb. 15.,huffpost,0,37.82,-10.75
"Thursday night’s meeting marks the second time in a week the president and House speaker have met in person, and comes after at least two phone calls in recent days.",huffpost,0,37.82,-10.75
Why would he not do that?”,huffpost,0,37.82,-10.75
"Rep. Carlos Curbelo (R-Fla.) criticized the president’s statement, calling instead for immigration reform “that makes our country more secure and reaffirms our wonderful tradition as a nation of immigrants.”",huffpost,1,37.82,-10.75
"If it happens tonight, any of the bills could come before the Senate for a vote on proceeding to full debate as soon as Friday or possibly early next week.",huffpost,0,37.82,-10.75
"Mr. Cruz has no affiliation with the super PAC, and he has denounced the ad.",the-new-york-times,0,40.94,-7.94
"Mrs. Clinton called Ms. Pelosi “as strong a supporter” as Mr. Obama has, and said she hoped Mr. Obama would “seize” the chance to work with Democrats to improve the trade pact.",the-new-york-times,0,40.94,-7.94
"On Wednesday, Mr. Sanders sent out a fund-raising email asking for contributions of $2.70, and at 7 p.m. he will hold a rally outside of R.F.K. Stadium in Washington, where he will discuss his plans for getting big money out of politics and making public universities tuition free.",the-new-york-times,0,40.94,-7.94
"Yet hours before the meeting began, what was billed as a somber security briefing had already taken on the sharp tone of a political showdown, as Mr. Trump charged that Democrats were sacrificing border security for a partisan advantage in the 2020 elections.",the-new-york-times,0,40.94,-7.94
"WASHINGTON — Representative Raúl R. Labrador, a Republican of Idaho who has barely served two terms in Congress, jumped into the race for House majority leader on Friday, offering himself as the more conservative alternative who could pull the House rightward in the wake of Representative Eric Cantor’s loss in a primary.",the-new-york-times,0,40.94,-7.94
"Pacing the stage without a prepared text and raising his voice to a shout at times, he vowed to campaign and govern as a colorful teller of difficult truths, even if “it makes you cringe every once in a while.”",the-new-york-times,0,40.94,-7.94
"It was going to Mr. Scalise’s office, they decided, until he gets back.",the-new-york-times,0,40.94,-7.94
"From Washington on Monday, Gov. Jack Markell of Delaware, a Democrat, told Ronan Farrow of MSNBC that if Ms. Brewer signs the measure, “the N.F.L. may be looking, or maybe should be looking, to move the Super Bowl out of the state.”",the-new-york-times,0,40.94,-7.94
"It was on vivid display Tuesday before hundreds of supporters, including many of Mr. Christie’s oldest friends and most loyal aides.",the-new-york-times,0,40.94,-7.94
"In the hours before a midnight deadline to avert a shutdown before Christmas, the vice president had broached that number, which his team has quietly continued to push in the days after parts of the government ran out of money.",the-new-york-times,0,40.94,-7.94
"Mr. Sestak, a retired admiral and two-term House member, was already planning a run.",the-new-york-times,0,40.94,-7.94
"He was also one of the wealthiest presidents ever to enter the White House, with far-reaching business connections that have already raised questions about where his interests end and the country’s begin.",the-new-york-times,0,40.94,-7.94
"Indeed, Public Citizen, an advocacy group, filed suit by the end of the day on behalf of three Texas landowners whose property might be taken for a barrier.",the-new-york-times,0,40.94,-7.94
"The latest criticism comes in a letter released Tuesday and signed by nearly 90 faculty members and priests at Georgetown, the Jesuit university in Washington, in advance of Mr. Ryan’s visit there on Thursday.",the-new-york-times,0,40.94,-7.94
“Let us do better by this generation of men and women.”,the-new-york-times,0,40.94,-7.94
"Neither the White House nor the Pentagon had yet identified which projects may be shelved as a result, but Pentagon lawyers and other officials planned to work over the weekend to identify which construction funds would be diverted.",the-new-york-times,0,40.94,-7.94
“Who’s gonna pay?” he asks.,the-new-york-times,0,40.94,-7.94
