text,source_party,source_name,label,sentence_id,source,reliability,bias
Be sure to book a table at its smart Parisian-style bistro before heading upstairs to one of 49 stunning bedrooms.,Lean Left,the-independent,1,ded091e2-6cbc-4116-91a8-c5b1597132d3,the-independent,38.37,-6.99
"So when an asset with information that could save the west from a terrorist attack on the scale of 9/11 needs exfiltrating from the wilds of Iran, he is sent in.",Lean Left,the-guardian,1,2f5d0eb1-6f71-43a8-887e-04e61d497a35,the-guardian,40.67,-7.97
"Yet the second stage is abrupt: the Silver Arrows’ shock turns to anger as the post-race interviews are conducted and Hamilton, most sportingly, shakes Verstappen’s hand.",Lean Left,the-independent,0,8e99a7c9-0293-4598-b5b9-11c1435182d0,the-independent,38.37,-6.99
But does all that mean that HelloFresh is also the best meal kit service out there?,Lean Left,cbs-news,0,ac2d8cd2-9ed8-4de9-ac1e-cd673b375cd3,cbs-news,41.76,-2.84
"Rather than a blanket screen time limit, be strategic and limit the stuff that sucks you in.",Lean Left,usa-today,0,9c0e1a66-42da-4e00-b10e-9a887dfe19a4,usa-today,40.78,-4.12
What immediately strikes the observer is the abundance of hair possessed by these two middle-aged men of the radical right.,Lean Left,the-guardian,1,a60e1bbb-3391-479e-98b3-4b728c2c552c,the-guardian,40.67,-7.97
"Regime heavyweights, meanwhile, have declared the whole primary as fraudulent and have threatened to prosecute those who organised it.",Lean Left,the-economist,1,88aef784-e86e-4d54-8290-b686116a0099,the-economist,42.4,-1.43
The ubiquitous noise and light pollution of an anthropogenic planet is taking an increasing toll on animal populations.,Lean Left,the-guardian,0,60c765af-23a4-49c5-9fa9-781862c0719a,the-guardian,40.67,-7.97
"Even as it asserted the need for a more pluralistic world and a fairer distribution of resources and wealth, it affirmed support for democratic values, state sovereignty and non-aggression, seeming to offer a critique not only of the Western-led order, but also of the Chinese political system and Russian bellicosity.",Lean Left,al-jazeera,0,d123d897-70b9-48ee-9ecc-d5293296b48e,al-jazeera,41.34,-7.05
The first time she has sex she is on her period and having sex on your period is forbidden in Islam.,Lean Left,the-guardian,1,72c93ea4-1499-4322-b380-3597334f5afa,the-guardian,40.67,-7.97
They package pills with two pregnancy tests and some pads and liners in case of bleeding and hand off the kits to students either on campus or nearby.,Lean Left,cbs-news,0,ebde4111-38ce-4670-ab90-0d7e1040b76b,cbs-news,41.76,-2.84
Their main task has centred on collecting and documenting evidence of attacks and other suspected crimes on Ukrainian educational facilities.,Lean Left,the-conversation,0,45d833be-2a78-4260-a4bb-d6f68f7f6e6f,the-conversation,40.75,-4.86
"The importance of this book is that it addresses a highly significant phenomenon in Qatari society, namely the contribution of working women in the small and medium-sized enterprises sector and the active role their projects play in strengthening the economy and promoting development.",Lean Left,al-jazeera,0,4649e4ab-a390-4f2f-a15f-be0d8322a30e,al-jazeera,41.34,-7.05
Opposition leader Kondwani Nankhumwa questions the secrecy of the deal and describes it as ‘an evil transaction’.,Lean Left,al-jazeera,1,ee07e402-4f8e-483b-8525-e3838bd792fa,al-jazeera,41.34,-7.05
"Q: This is the time of year when a lot of people are focused on the story of Thanksgiving - a myth, really, that imagines a largely benign interaction between the Wampanoag people and the early English settlers in 1621.",Lean Left,san-diego-uniontribune,1,4f6e4952-c175-4898-b61f-c726ff864ac6,san-diego-uniontribune,45.68,-1.76
"He was then effusive in his praise for the sport’s traditional European venues in Monaco, Monza and Spa.",Lean Left,the-independent,0,17d3b62a-beeb-4a8f-9703-e1e4124cdd79,the-independent,38.37,-6.99
"Place chicken breast on top and sprinkle with fresh basil leaves, if desired.",Lean Left,detroit-free-press,0,afafca14-c358-4e1f-a9de-b6a2b766ba55,detroit-free-press,43.46,-5.43
"Murder Fantastical by Patricia Moyes Our next book Agreed, and many thanks to Boatman.",Lean Left,the-guardian,0,494282e8-9fd8-4f57-8a89-54b4c4db28ae,the-guardian,40.67,-7.97
On termination of this Agreement all rights and obligations of the parties shall terminate.,Lean Left,the-guardian,0,00ee7e8e-3ce5-4da2-8eb6-2b2079054c96,the-guardian,40.67,-7.97
"Agnes Chow, a former student activist and politician, broke more than two years of public silence in a social media post on her 27th birthday, announcing she had left Hong Kong for studies in Canada in September - and that she will not return to Hong Kong later this month to report to police as required.",Lean Left,cnn,0,f4070ec6-ef7c-4e47-a942-7caee928197f,cnn,42.06,-6.28
"Whatever the precise inspiration, the resulting performance of Wagnerian apocalypticism has now reached its culminating acts of fire and purification.",Lean Left,the-economist,0,b0dae960-b840-4083-aed9-5129b48c7959,the-economist,42.4,-1.43
"Baku is exactly the same latitude as Madrid, but further east than Baghdad.",Lean Left,the-independent,0,072f7e94-be21-4cc0-b4ee-3be21b8de7ff,the-independent,38.37,-6.99
"The country’s civilian infrastructure and services, including healthcare and education, have been devastated.",Lean Left,al-jazeera,1,53da477f-dc5e-45ee-8de6-753ae72ecb44,al-jazeera,41.34,-7.05
"It can be a little slow if you have a lot of footage, but even then, it’s not too bad.",Lean Left,the-verge,0,ac5ec999-ef1a-433e-95ad-04a775be5810,the-verge,39.43,-4.75
"In one of the most notable jabs of the night, Newsom invoked DeSantis' struggling campaign.",Lean Left,abc-news,1,2e5f6ff3-4f7c-4112-b055-428537da51a2,abc-news,45.25,-2.91
"The public was fed up with the constant testing, the brutal lockdowns and the restrictions on movement.",Lean Left,the-economist,1,46801785-d80c-46e2-8847-ca6d2c160a6b,the-economist,42.4,-1.43
"Or are you sad because you're married to my sister, you have a baby with Lois, oh, and you think you can keep it secret, but everybody knows?",Lean Left,pbs-newshour,1,e755b620-4586-4bad-8dd7-b50875e19d88,pbs-newshour,43.07,-9.07
"Brazil’s previous president, Jair Bolsonaro, the son of a wildcat miner, made little effort to stop garimpeiros from polluting the Amazonian ecosystem.",Lean Left,the-economist,1,7b359e3d-3a94-4486-9200-2fcff4fe5de7,the-economist,42.4,-1.43
"This time round, Tim (played by Renkow) dips his toe into the water of romance, bringing a more touching side to the usual brutality of the humour.",Lean Left,the-guardian,1,bee63480-be9a-40d4-9b99-46d049577013,the-guardian,40.67,-7.97
"But as its focus turns toward Mollie - a taciturn yet loving Osage woman who feels a deep responsibility to look out for her sisters Minnie (Jillian Dion), Anna (Cara Jade Myers), and Rita (JaNae Collins) and their elderly mother Lizzie Q (Tantoo Cardinal) - the movie’s approach to humanizing its characters becomes far thornier in ways that are both admirable and deeply questionable by design.",Lean Left,the-verge,1,875a1762-5c78-4629-815a-84fcffb4d390,the-verge,39.43,-4.75
"Where good rail links exist, long-distance travel between major cities is booming again after the Covid-19 pandemic, and for longer journeys overnight trains can offer a compelling alternative to the unpleasant experience of early morning flights.",Lean Left,cnn,0,2719aa2c-ab08-4989-bad7-f8e91f56cad0,cnn,42.06,-6.28
"Scientists still know very little about that rare phenomenon, and how it might affect things such as satellites and communications.",Lean Left,the-independent,0,068f8530-b74c-4535-b00d-4b3f9cae9ac5,the-independent,38.37,-6.99
Stoking social anxieties and fuelling tribalism is also how conspiracy theories circulate.,Lean Left,the-conversation,1,9b56d2b0-c104-46de-91b3-4f607a137689,the-conversation,40.75,-4.86
