text,source_party,source_name,label,sentence_id,source,reliability,bias
"But he feared, rightly, that Democrats’ indifference to bureaucratic bloat would erode support for programmes to help poor and working-class Americans.",Lean Left,the-economist,1,d2066fe0-f698-438c-b268-d8d9ae665ee6,the-economist,42.4,-1.43
"Fossil fuel employees and representatives received more passes to COP28 than all the delegates from the 10 most climate-vulnerable countries combined, according to the research.",Lean Left,cnn,0,c5e2abb3-6778-45ff-a192-0aa572689b4c,cnn,42.06,-6.28
"More than 1,400 Israelis have been killed, the vast majority of that number during the unprecedented Hamas attack on Oct. 7 that included the taking of almost 200 hostages.",Lean Left,npr,1,9c9762fb-4f70-4a94-acc4-d8d990503288,npr,42.99,-4.27
So where will the resources come from to fulfil Labour’s ambition?,Lean Left,the-conversation,0,a4e26af1-7b46-4012-ae6f-2381baf93d1e,the-conversation,40.75,-4.86
"What started with a glitzy car launch in London with the likes of Zinedine Zidane presented as an ambassador ended in nothingness, neither here nor there in sixth place.",Lean Left,the-independent,1,62b4f88e-29b4-4330-bc16-71528e2616b7,the-independent,38.37,-6.99
"Without tangible progress toward a resolution, the hawks in Baku seeking a return to arms may prevail.",Lean Left,al-jazeera,1,bf46a50a-321a-4cf7-8683-c8c8d5a044e0,al-jazeera,41.34,-7.05
"From the harrowing shot of Cillian Murphy waking from a coma to find a bizarrely deserted London to the rage-filled creatures who run instead of lumber, it bleakly captures post-apocalyptic life in a brutally realistic fashion that other films strive to but just can't.",Lean Left,usa-today,1,22f194de-11a5-4fe9-b2a4-7d784a9661c6,usa-today,40.78,-4.12
It’s just shame it lacks the 5x optical zoom camera of the Pro Max.,Lean Left,the-guardian,1,8a042c3f-a109-417c-8061-82fbc6b39201,the-guardian,40.67,-7.97
"The Big Easy is a mind-boggling mix of European, Caribbean and African influences and it has the wholly unique cuisine to prove it.",Lean Left,the-independent,1,64d81e75-6bf1-4495-8dc2-fddb50c97767,the-independent,38.37,-6.99
Share this - Copied That DeSantis dig at Haley has been weeks in the making.,Lean Left,nbc-news,1,4ff1fa03-3bda-40c3-89ed-76cdec61eceb,nbc-news,43.21,-5.79
"This news, reported by the Florida Center for Government Accountability, adds a layer of controversy to the Zieglers, who are prominent in GOP politics.",Lean Left,the-advocate,1,3902d41c-b166-4687-9f49-e33c51a98dcd,the-advocate,45.85,-4.0
"We’ll find out next week, and about whatever Gravik is planning as the main event since he confessed the submarine plot was merely a decoy.",Lean Left,the-guardian,1,c37fa1d3-d77f-4d86-ab52-e4f34d6b03a9,the-guardian,40.67,-7.97
"Yet, now, we frequently see all sorts of outlandish prices slapped all over social media.",Lean Left,detroit-free-press,0,18a27098-2a1f-4869-8442-01ba990ced72,detroit-free-press,43.46,-5.43
"And mass arrests have swelled the number of political prisoners who face worsening, torturous conditions.",Lean Left,truthout,1,80f62679-57d0-43a6-a30c-50718dffb6b2,truthout,34.51,-16.87
But ordering a glass of wine from Georgia can be a bit more complicated.,Lean Left,cbs-news,0,2121c27d-c3c7-401d-93a1-94f542664616,cbs-news,41.76,-2.84
Ron DeSantis (R) talk over each other as former South Carolina Gov.,Lean Left,usa-today,0,9732ff65-69e5-4151-a773-10b4996dc755,usa-today,40.78,-4.12
"UK customers will be sent an email notifying them that the price of their plan is rising, and will be given the option to downgrade their plan for free until the date the higher price is implemented, the firm said.",Lean Left,the-independent,0,84dbfdc0-63b9-4f3c-8770-ee0386e4f568,the-independent,38.37,-6.99
"His ability to portray both the hilarity and the pain of grief, of life as a young queer person finding themselves, of mental illness, is unparalleled.",Lean Left,the-guardian,1,5821191a-9f4a-4c81-9dea-64e0bce84d00,the-guardian,40.67,-7.97
Working with your doctor to find the right routine and medication can help you feel confident in managing your bad cholesterol and allow you to focus on the things you love most.,Lean Left,sfgate,0,a0d3413a-6c31-40d0-81b1-5e3cfe4b7bdd,sfgate,43.52,-1.26
Meanwhile the army’s Orwellian QR code phone system for evacuating civilians to supposedly safe areas - apparently the best it can do in response to American pressure - is plainly unworkable amid telecoms blackouts.,Lean Left,the-guardian,1,af0c2ccb-c31a-49c7-ae19-a149b9049b4c,the-guardian,40.67,-7.97
"That means less content flowing through the pipeline - the days of 600 scripted shows a year aren’t coming back anytime soon, and the theatrical business, already shrunk by COVID, will likely remain diminished - and therefore fewer jobs to go around in the industry.",Lean Left,variety,0,247b75e9-fc05-4c1a-8319-afb0936b0909,variety,41.29,-3.85
"Fibre-optic cables to the strip pass through Israel, and mobile-internet providers in Gaza are limited to the outdated 2G standard.",Lean Left,the-economist,0,5cdb133d-b338-4e39-984b-85e4e9874abf,the-economist,42.4,-1.43
"Taking the film crew through cherished childhood spots, Marlon blamed the excessive extraction of iron ore as the cause of the collapse, all while sounds of explosion can be heard in the background.",Lean Left,the-guardian,0,2c2512f9-eb44-4627-b16e-c7aea75d6607,the-guardian,40.67,-7.97
"Among Asian Americans and Pacific Islanders, Biden's approval rating started in the high 70s but steadily declined through his first year in office and into 2022.",Lean Left,abc-news,1,23741d94-29d7-446f-b3ed-853e68599dbe,abc-news,45.25,-2.91
The math to me is very much on the side of aliens existing.,Lean Left,npr,1,7228a387-3fd7-4357-b71b-4b5d48ca601f,npr,42.99,-4.27
It’s kind of how JFK got to power in a weird way.,Lean Left,the-guardian,1,ce7e9e64-158f-4c40-b3ce-ea0b823aca2d,the-guardian,40.67,-7.97
Professor Laurence Tribe of Harvard Law School commented convincingly that: The Colorado judge created a wall of findings too high for anyone to scale and then tossed Trump a lifeline too weak and frayed for anyone to use.,Lean Left,washington-monthly,1,34a5eb14-1cf9-4252-979c-1ce0f9c1ad66,washington-monthly,35.78,-12.08
"The party prioritised infiltrating departments like the police, customs and immigration to ensure it had control over the city, says Mr Ching.",Lean Left,the-economist,1,fc389bce-20f3-482f-a2de-226748d9176c,the-economist,42.4,-1.43
Publisher is not responsible for errors on copy received after deadline.,Lean Left,san-diego-uniontribune,0,ec95a414-0628-4b03-b2b1-993b1682ae55,san-diego-uniontribune,45.68,-1.76
"We like risk, wound up being, you know, a life-changing 15 years.",Lean Left,vanity-fair,1,80228c37-b7df-422d-8b59-23bb7ee79cbe,vanity-fair,33.19,-13.87
But the tension between Israel’s stated war aims-to destroy Hamas’s military capabilities and remove it from power in Gaza and and to rescue the hostages-is becoming ever more acute.,Lean Left,the-economist,0,2cf3d7a0-7369-4537-bab6-c8a9a76b9492,the-economist,42.4,-1.43
Donald Trump has been telling us exactly what he will do if he’s re-elected and tonight he said he will be a dictator on day one.,Lean Left,the-independent,1,1e55f647-38c5-4c39-aa66-637afde65fd3,the-independent,38.37,-6.99
"In service of their second goal, Chinese rulers will call their country an upholder of the status quo.",Lean Left,the-economist,1,64d54a0d-657f-41e7-a672-2ceba65cfc3c,the-economist,42.4,-1.43
"Joan Donovan says her funding was cut off, she could not hire assistants and she was made the target of a smear campaign by Harvard employees.",Lean Left,the-guardian,0,88882020-3576-43a1-8d61-13ef25c953a8,the-guardian,40.67,-7.97
"It may still be true that men don’t often talk about their feelings with each other, but we do talk about our symptoms, frankly and openly.",Lean Left,the-guardian,0,e26f2bd1-c2c9-4f84-9d10-b69b451bb8a4,the-guardian,40.67,-7.97
"Peter Frankopan Author of The Earth Transformed: An Untold History (Bloomsbury) Top of my list of gifts to give is Frank McDonough’s The Weimar Years: Rise and Fall 1918-1933 (Bloomsbury), a sparkling if unsettling account of the years after the end of the first world war, which were marked by economic desperation and repeated false dawns before the terrible reality of Hitler’s ascent to power.",Lean Left,the-guardian,0,41dfbd1c-4c66-4975-8144-16a4b8e1c318,the-guardian,40.67,-7.97
"Investors, like angels and venture capitalists, can use our study’s insights to make better decisions about which startups to support and invest in.",Lean Left,the-conversation,0,fadcff80-bdad-4450-ba06-70b533d74e24,the-conversation,40.75,-4.86
