text,source_party,source_name,label,sentence_id,source,reliability,bias
"House Republicans approved a bill Wednesday to block strict new tailpipe pollution limits proposed by the Biden administration, calling the plan a back-door mandate for electric vehicles.",Right,newsmax,1,84748289-b18b-4219-ab70-a0555b75d5df,newsmax,28.9,13.54
"Earlier this month, the Biden administration finalized a rule strengthening and expanding those requirements.",Right,newsmax,0,a03e6437-ae23-47c7-9172-ba8ba426c648,newsmax,28.9,13.54
Trading in such volatile currency can be immensely profitable but also precarious at the same time.,Right,newsmax,0,ef502e65-2886-4d54-9f54-93988c402a9b,newsmax,28.9,13.54
"The pro-life pregnancy center is about a four-minute drive from the Supreme Court and offers baby clothing, baby food, and other resources to needy D.C.-area parents who come to the center hoping they can find help rather than resort to abortion.",Right,newsbusters,0,c520535a-7cc4-4dd8-9211-8f86de1b4b63,newsbusters,19.99,20.48
"Harper’s play as a 6-foot-5 combo guard is one of explosiveness, where he can score from virtually anywhere.",Right,fox-news,0,bb9d1af5-6682-4a53-ab8a-ffe3f59d2014,fox-news,35.44,11.06
Centering transitioning gender as damaging does not align with the EWSD Equity Policy's requirement of being LGBTQIA+ affirming.,Right,newsbusters,1,4c313890-bfed-4a63-a3dd-3b81d77912fc,newsbusters,19.99,20.48
"In his best outer-borough manner, President Trump made this point with Chancellor Merkel for four years.",Right,the-american-conservative,1,3e053c1a-d15c-4fec-9c5a-897c463d1b52,the-american-conservative,31.63,14.44
Obama made war safe for progressives -- or so he hoped.,Right,newsbusters,1,aaf225b0-1038-4a7c-8a1a-d0cf829a1bff,newsbusters,19.99,20.48
"If Israel follows through with its promise to wipe out Hamas and its leaders worldwide, the event may be a turning point for Israel in destroying its non-state enemies who have attacked her from well before the founding of the country in 1948.",Right,townhall,1,395681db-68da-40cf-baab-f03bd880ca8f,townhall,24.95,19.79
"From the highest-in-the-nation gas prices to expensive groceries and housing, cost of living ranks high on reasons why people move away.",Right,townhall,0,44e6640e-b475-45ef-83f3-8e4640148e66,townhall,24.95,19.79
"Fred Fleitz shined a little light on that issue on Friday: Incredibly, after the horrific October 7 attack against Israel by Hamas (Iranian terrorist proxy), new aggression against Israel by Yemen’s Houthi rebels (also an Iranian terrorist proxy), and a surge in attacks against U.S. forces in Iraq and Syria by Iran-backed militias, the Biden Administration last week approved a $10 billion sanctions waiver for Iran.",Right,the-american-spectator,1,de60329c-ed98-433a-acab-f15dd07aff83,the-american-spectator,17.46,22.97
Conrad's wife and daughter planned to talk to the authorities a year after his death in March 2021.,Right,newsmax,0,4a2cf6b6-4eac-4af5-a9dd-8c20876241da,newsmax,28.9,13.54
The site runs lots of exciting promotions which are open to all registered members.,Right,newsmax,0,27fbebb1-83f6-4775-9a93-03efc3a7ed09,newsmax,28.9,13.54
"The Washington Post had more details on the absurd exchange between Vermillion and another rabbi involved, Rabbi Mendy Heber: Heber had hoped a menorah lighting this coming Sunday, the fourth night of the Jewish holiday Hanukkah, during an arts and music festival in Williamsburg, Va., would be a chance to highlight the message of light amid darkness, without emphasizing religion.",Right,townhall,0,28cbd242-b2bd-422d-879b-c0808a1f5185,townhall,24.95,19.79
"In it, Trump used a word - one word - that all of the media has attached to, running to the cameras and laptops to wail about his Hitlerian desires.",Right,townhall,1,eaefc4ba-f572-4e09-83f1-f9941bcfdafd,townhall,24.95,19.79
"Rather than get frustrated by our failures, he suggests we have to learn from them and go on.",Right,newsmax,0,e6fdbc18-d1a1-4ef1-b5f9-9f49bf8dcb8c,newsmax,28.9,13.54
"Yes: 100% (7 Votes) No: 0% (0 Votes) The resume of fighting comes a day after two Hamas gunmen opened fire on people at a bus stop in Jerusalem, leaving three people dead and six others injured.",Right,independent-journal-review,0,3b5dd115-464f-4c6a-991b-90a4410ef5a4,independent-journal-review,25.81,12.82
It sticks out like a sore thumb on the world stage.,Right,american-thinker,1,0be9807b-f490-4637-ba36-652a21838b3a,american-thinker,13.67,24.85
"To state the obvious here, using small words so that even the absolutely feckless and embarrassingly lame Senate Republicans can understand, praising Mayorkas, failing to correct lies about Republicans, and mumbling about how you’ll vote Republican if you are forced to is not a way to win elections.",Right,the-federalist,1,6f8078bc-a1e2-490e-8dd4-13499ea1c876,the-federalist,21.77,18.67
TWA international flight 800 exploded and crashed in 1996 shortly after takeoff from JFK Airport.,Right,newsmax,0,8a621a2c-6efd-4f5a-b700-c610417e212e,newsmax,28.9,13.54
Is an open border more important to Dems than Ukraine and Israel?,Right,independent-journal-review,1,32669b7e-581d-401d-9238-9cd4d93ec285,independent-journal-review,25.81,12.82
