text,source_party,source_name,label,sentence_id,source,reliability,bias
"A devalued euro is not just a pain for those holidaying around the world: it is a signal policymakers should heed, too.",Lean Left,the-economist,1,a01a2bea-ea89-49b8-be45-8fdb15c493b2,the-economist,42.4,-1.43
Mocking these conditions has become a grotesque viral TikTok trend among the Israeli right wing.,Lean Left,truthout,1,91b8ef62-dae6-4faf-9f4e-00cffb827916,truthout,34.51,-16.87
Doctors’ historical unwillingness to provide abortions is central to the access problem - and it’s underwritten by the failure of medical schools to adequately train them in this essential aspect of health care.,Lean Left,the-conversation,1,e31756b2-f41f-4a09-a28a-e3a06e52acae,the-conversation,40.75,-4.86
"Peter Frankopan Author of The Earth Transformed: An Untold History (Bloomsbury) Top of my list of gifts to give is Frank McDonough’s The Weimar Years: Rise and Fall 1918-1933 (Bloomsbury), a sparkling if unsettling account of the years after the end of the first world war, which were marked by economic desperation and repeated false dawns before the terrible reality of Hitler’s ascent to power.",Lean Left,the-guardian,0,41dfbd1c-4c66-4975-8144-16a4b8e1c318,the-guardian,40.67,-7.97
"Asked about what she looks for in pre-loved designer items, Goklani’s appreciation for minimalism comes through.",Lean Left,the-guardian,0,7040852b-c0f1-43bb-acc9-ee6ed9bbbf77,the-guardian,40.67,-7.97
"Hamas is at the same time a religious idea, a social movement, a political party, a government and a hybrid militia wedded to terrorism.",Lean Left,the-economist,1,0381a3fd-6d33-4837-bfb4-95d856368e43,the-economist,42.4,-1.43
The university confirmed shortly after noon local time that there was an active shooter at Frank and Estella Beam Hall.,Lean Left,usa-today,0,f8fcfc47-66f9-41c2-a214-dd7618be367d,usa-today,40.78,-4.12
Get in the holiday spirit with these other USA TODAY reads Just Curious for more?,Lean Left,usa-today,0,558a79eb-bbf2-4f7b-a4a4-01aceb15c761,usa-today,40.78,-4.12
What ensues is a perfectly written and performed ode to gay-straight male friendship.,Lean Left,the-guardian,1,684d0b25-3208-4f19-b9fd-412a2e8d522d,the-guardian,40.67,-7.97
"Instead, Biden has presided over a record year for U.S. oil production and natural gas exports, and his administration has greenlit an array of fossil fuel projects, including oil drilling in Alaska and an Appalachian gas pipeline.",Lean Left,politico,1,fc420f90-2a16-4595-aeb5-ab1e39837b04,politico,42.32,-5.58
"As a longtime Republican, she approved of small government, remembering how her father had been driven mad by far-off paper-pushers in Washington.",Lean Left,the-economist,1,059687e8-45d7-43fe-b21a-f078ba9f3a15,the-economist,42.4,-1.43
The Emiratis took advantage of this period of instability to weave patronage networks.,Lean Left,the-conversation,1,425615b7-7747-4dc8-b956-2fef8d3dd89e,the-conversation,40.75,-4.86
The latest Adaptation Gap Report estimates that international adaptation finance is 10-18 times below need.,Lean Left,the-conversation,0,7fcb3828-b155-4eda-825c-546511d62d79,the-conversation,40.75,-4.86
This adds up to an agenda for reform much bigger than the tax-and-welfare tinkering seen over recent decades.,Lean Left,the-economist,1,050ea68c-7e6e-4630-bb82-d96724e59f5e,the-economist,42.4,-1.43
