text,source_party,source_name,label,sentence_id,source,reliability,bias
"On the heels of his high-profile divorce announcement, Bezos went on a $45 million homebuying bonanza - snatching up not one, not two, but four previously unreported properties in the ultra-exclusive Hunts Point enclave.",Lean Left,insider,1,1e18c98d-1118-45c9-8ea4-be6151f2058d,insider,40.58,-4.19
"How come nobody on the American team, not one, speaks a word of Russian?",Lean Left,vanity-fair,1,3685d6af-0b8c-4f7a-ad7a-302858d20a64,vanity-fair,33.19,-13.87
"Perhaps, then, Christopher Nolan would do well to recalibrate his worldview for this new audience, maybe by making a hard-hitting biopic about a plastic gonk that squeaks when you bite it.",Lean Left,the-guardian,1,3ad2b983-8ffa-4b99-b2c0-ce98703b3c29,the-guardian,40.67,-7.97
"Share this - Copied It’s wild how much this Israel section sounds identical to the part of the NBC News debate on Israel, both in terms of line of questioning and answers.",Lean Left,nbc-news,1,70b9db87-da7d-4ea1-b185-513cdfccaf19,nbc-news,43.21,-5.79
"Luckily for me and the rest of New York City, Snapchat’s opened a store in the Big Apple for the holidays.",Lean Left,fair,1,5b7f598c-3930-41f8-98d7-33725e36ae5b,fair,32.6,-19.36
"True, to dismiss the risk of escalation because it would not serve the alleged interests of Hizbullah or Iran could be just another example of the mirror-imaging and wishful thinking that plague policymakers of all stripes-and which contributed to the Israeli blunders that opened the door to Hamas on October 7th.",Lean Left,the-economist,0,0bedc43d-ae1c-4eda-a45e-02ab8b881128,the-economist,42.4,-1.43
"But, as you indicated, in some cases, he was blind to human rights abuses, too much Machiavelli, too much realpolitik.",Lean Left,pbs-newshour,1,2cbe14e7-c6b9-4749-bc4f-9b253c5373e5,pbs-newshour,43.07,-9.07
"Often described as Biden’s closest friend in Washington, Kaufman was appointed to serve out the last two years of his boss’s Senate term when Biden became vice president.",Lean Left,washington-monthly,0,7543e97d-0ef9-484f-9f57-920619d6557e,washington-monthly,35.78,-12.08
"But no, she was dreadfully sorry, but she couldn’t write anything because she was deep in a novel of her own.",Lean Left,the-guardian,0,8035621d-d1ef-444b-bfb8-a08138c5fc7a,the-guardian,40.67,-7.97
"They explored the backgrounds of these conflicts, and analysed the reasons behind the challenges encountered in reaching solutions for them.",Lean Left,al-jazeera,0,12091297-b6c7-47b8-bb29-6341678eb94c,al-jazeera,41.34,-7.05
