text,source_party,source_name,label,sentence_id,source,reliability,bias
"Greater backing among college-educated whites, who are repelled by Mr Trump’s inflammatory outbursts about race, gender and immigrants, is the main way the Democratic Party has stayed competitive.",Lean Left,the-economist,1,0acbd54d-90e5-4179-8478-5a5144548b0a,the-economist,42.4,-1.43
"Plopped in the pillowy seats of a climate-controlled movie theater, we do not sweat.",Lean Left,washington-post,1,ecb0e13e-03f3-41a3-a715-9dbd3a5827ba,washington-post,38.8,-6.85
"The NIA found that while most older Canadians report they have a network of family and friends they can count on, more than four in 10 are considered to be socially isolated.",Lean Left,global-news,0,771fc648-6a08-4e49-b4a4-b343f30bab86,global-news,44.54,-4.26
"Since the NSC ’s formation in August, the BBB has dropped from the top of the polls to a distant fourth or fifth, threatening to leave it exactly where it wanted to avoid ending up - as a party just for farmers.",Lean Left,the-economist,1,99045b0f-51a2-4e2e-bae4-845543de1670,the-economist,42.4,-1.43
"From there, without breaking format, the song gets weirder and more visceral.",Lean Left,npr,0,61012ecd-30fc-416b-90db-05b710a96ad9,npr,42.99,-4.27
"Those scientists had been by looking for a particular kind of stellar explosion - known as a luminous fast blue optical transient, or LFBOT - but found something else in its wake.",Lean Left,the-independent,0,eb9c96d5-9680-45ae-b708-f199e1422f36,the-independent,38.37,-6.99
Behind them is a wasteland of weeds and piles of rusting building materials.,Lean Left,the-economist,0,c21f20dd-4545-4bbc-9828-2f30c316e69e,the-economist,42.4,-1.43
"That coverage has systematically underplayed the story of the right-wing assault on trans people, and centered anti-trans framings and perspectives.",Lean Left,fair,1,01a956db-9fc3-488c-a451-0f94a2de556b,fair,32.6,-19.36
They are barred from certain jobs and their children are sidelined in the schooling system.,Lean Left,the-economist,1,03fe74af-4880-453f-a820-57e402328a88,the-economist,42.4,-1.43
"Israeli attacks in Gaza have killed about 15,200 Palestinians, including 6,000 children, since October 7, according to the Palestinian Ministry of Health in Ramallah, which draws its figures from the Hamas-controlled Ministry of Health in Gaza.",Lean Left,cnn,0,43019d79-0b00-4fac-be29-9cb3214ca638,cnn,42.06,-6.28
"If we want to talk about courage under fire, the fact that 11 seconds into this performance, you are buck naked and going for it in a way that, again, wasn’t gratuitous, but it was very... Ruffalo: ...raw.",Lean Left,variety,1,3281a0c6-8ac9-400e-9cc7-d1ffd103fa1b,variety,41.29,-3.85
"Symbolically, this marks the end of the UN’s 20-year mixed-bag experiment with protecting civilians notably in Darfur.",Lean Left,al-jazeera,0,298bacfd-e34d-47ed-91e9-3cea719354e3,al-jazeera,41.34,-7.05
So there is little certainty about whether the residents of the Lower Volta will receive compensation.,Lean Left,the-conversation,0,0bb8cd9d-8cab-42d3-a7fc-961b40d3c1ba,the-conversation,40.75,-4.86
"Please try again later {{ /verifyErrors }} House prices have fallen in every local property market in South and East England this year, as higher mortgage rates have weakened demand for new homes, figures have shown.",Lean Left,the-independent,0,f31616bd-0a00-4848-94e0-d59ea5b8d9c1,the-independent,38.37,-6.99
Why would destroying biological-you magically elevate your mental clone to the status of the real you?,Lean Left,the-conversation,1,73f1fb13-eb59-4036-9053-6e73792cc7ad,the-conversation,40.75,-4.86
But what is the point if children are still condemned to suffer and die prematurely because nobody can afford to buy the drugs?,Lean Left,the-guardian,1,5ff7a668-f8d1-4fde-bcde-187d10746af3,the-guardian,40.67,-7.97
Houston's defense that allows almost nothing to opposing teams will be what forces this game Under 140.5 total points.,Lean Left,detroit-free-press,0,b6481c25-c167-43ff-a19b-e1eca957473b,detroit-free-press,43.46,-5.43
"Because suddenly, storytellers must account for slavery, racism, oppression and the way in which many average white people back then simply assumed that Black people were not fully people - a decidedly non-heroic posture for 21st century audiences.",Lean Left,npr,1,2dbb9281-fb87-4922-9908-642dcb48650f,npr,42.99,-4.27
"The PlayStation account bans were as swift as they were unexpected, and while resolution for most arrived within a few hours, Sony still hasn’t shared any public communication about what happened or why users should continue to trust the platform.",Lean Left,the-verge,0,d13b09e9-76bd-4e71-b6e3-3e487321e5c7,the-verge,39.43,-4.75
"Sivananda Ashram Yoga Retreat, Paradise Island Sivananda Ashram yoga Retreat Oyster.com Pay no mind to the cruise ships tooting Disney horn songs in the harbor and the Atlantis resort mini-city down the beach.",Lean Left,abc-news,1,ee3acce8-c375-4399-8117-b87d6a2e3fb2,abc-news,45.25,-2.91
"Courtesy Marc Klaas Looking back three decades later, investigators said Polly's death has left an indelible impact on them.",Lean Left,abc-news,0,5a5bd679-dffc-4a3c-87dd-bf55053fc062,abc-news,45.25,-2.91
"New York Knicks center Mitchell Robinson’s primarily known for his passionate play at center, grabbing boards and blocking shots.",Lean Left,nowthis-news,0,87b8ea38-2007-4a93-af65-53f94df6543e,nowthis-news,41.47,-7.95
"But she pushed ahead anyway to shake up the status quo, which she said was being defended by the pesticide industry.",Lean Left,politico,1,a4d333e0-826b-4b92-ba13-c0accf1ee6a1,politico,42.32,-5.58
Judges are known to reject divorce requests even when violence is involved (divorced men are viewed by the state as potential troublemakers).,Lean Left,the-economist,1,933d2677-7b22-4581-a9f8-4a1ead69c918,the-economist,42.4,-1.43
"It’s a kind of Ponzi scheme, in the sense that it takes a lot of us mugs to buy into it, to assure her as the only real winner.",Lean Left,the-guardian,1,9ad400bc-40b3-4109-8fb0-a00aaef58cd6,the-guardian,40.67,-7.97
Write down what you need to get done the rest of the week in order to fall asleep more quickly.,Lean Left,usa-today,0,2f0bf2e9-5803-4ef0-bd32-0f86519b20f6,usa-today,40.78,-4.12
