text,source_party,source_name,label,sentence_id,source,reliability,bias
"One such seedling was determined enough to drive its taproot through thin marshy topsoil into the dark, crystalline dolerite of Whin Sill, the cliff-like ridge in Northumberland which carries Hadrian’s Wall.",Lean Left,the-economist,0,3342336d-4bdc-4e9b-a485-07283b99dfea,the-economist,42.4,-1.43
The screen also seems brighter and sharper than the original Sense.,Lean Left,usa-today,0,37210529-0ed2-43a9-b1ee-030504d748bd,usa-today,40.78,-4.12
The thick and heavy material is handsomely stitched - almost as if the clothes were made from actual leather.,Lean Left,the-guardian,0,061f0b79-7094-4cf8-af8e-da468f41a563,the-guardian,40.67,-7.97
But Cohen joined other public health experts in describing the situation as the usual fluctuations of any respiratory virus season.,Lean Left,washington-post,0,4666dcc0-b60d-406e-beb0-e54c3257862f,washington-post,38.8,-6.85
"Mike Darnell and Next Entertainment's Mike Fleiss have produced a monster run of reality-TV hits: Who Wants to Marry a Multi-millionaire?, The Bachelor, American Idol, and Joe Millionaire among them.",Lean Left,vanity-fair,0,f4546a8a-ac33-46ab-baaf-511f60771f84,vanity-fair,33.19,-13.87
And then there is the story of the system that had to make sense of all of this: how much Donovan was truly to blame and what should be done with him as a result.,Lean Left,abc-news,0,7d7e5378-521d-4bc3-9638-36f7b707eee5,abc-news,45.25,-2.91
"Tren de Aragua’s expansion was only possible because of the Venezuelan exodus, the largest in Latin America’s history.",Lean Left,the-economist,1,0ddeb7ba-bfd7-42a4-b4fd-af4de2bf07ed,the-economist,42.4,-1.43
"We have, for example, a growing list of scientific celebrities who have committed major stem cell fraud.",Lean Left,the-guardian,1,dc3fe7b3-76ca-4c4b-81e4-38b669a61c67,the-guardian,40.67,-7.97
Two months ago Canada claimed that Indian agents had murdered a Sikh separatist in Vancouver.,Lean Left,the-economist,0,d21503fb-c80e-4450-8e5f-787ec1d53f80,the-economist,42.4,-1.43
Because it’s on the myth more than the man that we must focus.,Lean Left,politico,1,beced633-7cb8-4c3f-8226-a72918b0dc65,politico,42.32,-5.58
One way this intimacy is achieved safely is through the creation of a tissue in which the membranes between cells are broken down to form a continuous sheet of cellular material.,Lean Left,the-economist,0,dd1b5e59-edff-4726-b4f0-62923a8ef229,the-economist,42.4,-1.43
"It’s also not known whether collagen supplements can boost the benefits of exercise in women and older people, so further studies are needed.",Lean Left,the-conversation,0,1e85ed7f-643b-4295-8cee-61dd896fa84d,the-conversation,40.75,-4.86
And the media coverage continues to focus on such dysfunction as the ethics case against Republican freshman George Santos of New York.,Lean Left,npr,1,bc03c651-d212-4b50-ac62-ced617a6bc98,npr,42.99,-4.27
"The usual problem-solving techniques won’t work, which is a blessing and an invitation.",Lean Left,nj,0,28db2636-8419-4e17-84a3-c0ff42a3ca0b,nj,43.92,-2.88
"Former Spalding County sheriff’s deputy Oscar Jordan, another one of the few Black officers on the force at the time, said he was called into the coroner’s office and asked to identify the body.",Lean Left,abc-news,0,8505f24f-dcd1-497d-9db1-b50fa14aab5e,abc-news,45.25,-2.91
