text,source_party,source_name,label,sentence_id,source,reliability,bias
"It’s a slippery slope that lends toward a culture of abuse, misogyny, and miseducation, survivors of the institute share.",Lean Left,variety,1,ae11df41-242b-4d60-b9bd-2240204221a1,variety,41.29,-3.85
"More promising news for England is the likely return of Sophie Ecclestone to international action after the world No 1’s shoulder injury, which kept her out of the series against Sri Lanka in September.",Lean Left,the-guardian,0,119278ad-3a4c-4a6d-a8ae-d8d73ea0a643,the-guardian,40.67,-7.97
"Gang members issued challenges to rivals outside of the party, according to the District Attorney’s Office.",Lean Left,san-diego-uniontribune,0,53b6ee0b-e212-4295-856e-6225352fd5cf,san-diego-uniontribune,45.68,-1.76
"Photograph: AJ Pics/Alamy One favourite example of bad old-age makeup online belongs to Bette Midler in 1991’s For the Boys, where her character reaches an age that is supposed to represent all sorts of battle-earned dignity.",Lean Left,the-guardian,1,93fdb1dc-d060-481f-a956-fcc111ad7aaa,the-guardian,40.67,-7.97
"But Xuanzong fell under the spell of the beautiful Yang Guifei, who persuaded him to give jobs and vast amounts of money to her ravenous gang of relatives; and by 755 a leading general, An Lushan, staged an eight-year rebellion during which, according to the official census, up to 13 million out of a population of 50 million people died.",Lean Left,the-guardian,1,7b1df17b-249b-4f48-a628-acea29f81290,the-guardian,40.67,-7.97
"Once the golden boy of the regime, he has not been heard of since March, when he said on social media that he supported a corruption inquiry which revealed that PDVSA had not been paid for more than 80% of the oil it had shipped, to the tune of $21bn.",Lean Left,the-economist,1,17ce18e4-bdb5-4634-bf67-b3a8917b68b4,the-economist,42.4,-1.43
"Amy Parodi: She was artistic, she was creative, she was smart.",Lean Left,cbs-news,0,a89c0fd7-49ac-4873-b26b-980d08d6bbd7,cbs-news,41.76,-2.84
"Over the years, as other companies have pushed to become Apple’s preferred partner, Google has resisted anything Apple did that might lead to users doing fewer Google searches - including introducing new search-like features of its own.",Lean Left,the-verge,1,5a5d2bf4-01f6-49d7-a63a-fc0b6a9234ab,the-verge,39.43,-4.75
"It might have a (retired) judge and King’s Counsels and grieving relatives and serried ranks of serious people with laptops doing opaque, important things.",Lean Left,the-economist,1,a2bd30e6-5812-4d34-bb11-3680bd242188,the-economist,42.4,-1.43
"Fewer than a third identified as Shia, the ruling Muslim sect.",Lean Left,the-economist,0,81b037fd-c367-43ba-ace1-aff2c0851df2,the-economist,42.4,-1.43
"In one of the most notable jabs of the night, Newsom invoked DeSantis' struggling campaign.",Lean Left,abc-news,1,2e5f6ff3-4f7c-4112-b055-428537da51a2,abc-news,45.25,-2.91
"Especially since the 2023 elections, the state has been showing signs of deepening fragility.",Lean Left,al-jazeera,1,d90ec58e-7bc9-4cbe-919a-37d57cbadaf9,al-jazeera,41.34,-7.05
"It is a beta feature that can take up to 30 seconds to work, but when it gets it right it can be magical.",Lean Left,the-guardian,0,791b400f-a86a-4d3e-b3d6-a9fc34962ec5,the-guardian,40.67,-7.97
Taubes is a journalist who thinks like a scientist - this is what makes his work so compelling.,Lean Left,the-guardian,1,2c216b94-07fa-4584-9001-01266e81d348,the-guardian,40.67,-7.97
"Thrilled at the prospect of a naturally occurring case study, the two economists gathered information of employment at fast-food restaurants in both states before the April increase and again several months later.",Lean Left,the-economist,0,3597e6f2-6f8c-45f0-a884-01dce4a3d84b,the-economist,42.4,-1.43
