text,source_party,source_name,label,sentence_id,source,reliability,bias
"And several MMA fighters, including legendary heavyweight Fedor Emelianenko, have campaigned for Vladimir Putin, while other Russian fighters (including a handful in the UFC) have publicly supported their country’s invasion of Ukraine.",Lean Left,the-guardian,1,8771c754-9e12-422d-ba1f-132f917e1ca3,the-guardian,40.67,-7.97
"Sure, there’s the occasional red carpet event (for example, the London premiere of Renaissance: A Film By Beyoncé), as well as whatever role she plays in the war between her publicist and anonymous Instagram account Deuxmoi over Swift’s past relationships, but how much time does stuff like that kill?",Lean Left,vanity-fair,0,8f7ca941-51fb-4227-9812-83e96285d7b2,vanity-fair,33.19,-13.87
Some of this is related to changes in how doomed pregnancies are managed in the face of criminalized abortion.,Left,vox,1,4258ec17-f217-4f98-92c4-f260d1b1db5c,vox,39.59,-10.05
"It sets a host of spending policies and priorities for the military, including the annual military pay raise and a host of new program starts, and has passed annually for more than five decades.",Left,alternet,0,19fde2b2-f299-4e5b-bfd5-7faa4281daf0,alternet,32.71,-14.76
"Philip Ewell is a professor of music theory and the author of the new book On Music Theory, and Making Music More Welcoming for Everyone(University of Michigan Press).",Left,current-affairs,0,e38874fd-0474-461b-9a63-79d1d88f4970,current-affairs,34.3,-18.14
No judge in America has auditioned harder for a Supreme Court appointment in a Republican administration.,Left,vox,1,464cae73-79c4-4bde-80ec-e36773adc900,vox,39.59,-10.05
"For those with conscience, the ACLU has created a tool for advocates to contact federal officials over CBP’s disgraceful action and to demand this little girl be able to go home to her family.",Left,alternet,1,033eba9b-7487-41ee-9877-6ae4c402cc12,alternet,32.71,-14.76
Methane is a greenhouse gas that’s nearly 25 times more potent than carbon dioxide.,Left,vox,0,f53327d2-c277-46de-8cfa-e3f38f3093de,vox,39.59,-10.05
China’s communist government is using COVID as a pretext to lock down our people in their homes and continues its genocide.,Left,alternet,1,a88446d5-52cc-4fb5-a45d-6fb4eb4637f2,alternet,32.71,-14.76
It enables you to take risks and maximize life's wonderful possibilities.,Left,alternet,1,0baedcac-5a60-42cf-99aa-45f36e2d1de3,alternet,32.71,-14.76
