text,source_party,source_name,label,sentence_id,source,reliability,bias
"In a case last year, a mother of eight was found chained to an outhouse in Jiangsu province.",Lean Left,the-economist,0,92dbf451-e4fe-409e-b1ef-f6cd8fa2499e,the-economist,42.4,-1.43
Israel has never explained how it expects that the small area would accommodate such large numbers of displaced people.,Lean Left,pbs-newshour,0,0d2d76c5-7cd3-488d-a0f4-d01651751e8f,pbs-newshour,43.07,-9.07
"Still, Dans says Trump is the best embodiment of their movement.",Lean Left,npr,1,d87514fc-c2c4-4caf-b251-43f5732e613d,npr,42.99,-4.27
"Others have objected to the idiosyncrasies: a gong-fascination that includes not just a $2,000 gong, but also gong workshops with a personal gong trainer.",Lean Left,the-guardian,1,b362da17-b292-4fd5-befe-47f0384ec2ff,the-guardian,40.67,-7.97
"Photograph: Jeremy Sutton-Hibbert/Getty Images 14 Fingersmith by Sarah Waters (2002) Moving from the underworld dens of Victorian London to the boudoirs of country house gothic, and hingeing on the seduction of an heiress, Waters’s third novel is a drippingly atmospheric thriller, a smart study of innocence and experience, and a sensuous lesbian love story - with a plot twist to make the reader gasp.",Lean Left,the-guardian,0,fb706f03-621f-4594-9a69-149890208038,the-guardian,40.67,-7.97
Furthering authoritarianism On the surface it might appear that news of the U.S. indictment could fracture India’s muscular foreign policy.,Lean Left,the-conversation,1,f3c65484-c82b-4ce0-80f3-1bc4667e8ff0,the-conversation,40.75,-4.86
The desert soil was watered with a huge network of irrigation pipes.,Lean Left,the-economist,0,d8339497-2fb3-4eb7-8f0c-b02d7e162bed,the-economist,42.4,-1.43
"At 86 he has the nonchalant elegance of a spy in a cold war thriller, lean and mop-haired in a discreetly expensive-looking coat.",Lean Left,the-guardian,1,f1941f98-7b53-4917-96e2-d28dff457a4a,the-guardian,40.67,-7.97
"Millions of Masks Before the pandemic, N95 masks cost about $1 each.",Lean Left,propublica,0,f0086cc4-3244-4dbc-a770-3b6432452abf,propublica,47.17,-6.77
"Barrino’s art has always been her testimony, resounding with all the trials that she, I, you, and all our mamas have been through.",Lean Left,variety,0,6383c962-826e-48f5-945c-c5ffbb18d9bf,variety,41.29,-3.85
"This is not to criticise the many talented personnel in those areas, who valiantly swim against the labels their industry has alighted on to shift units as quickly and smoothly as possible.",Lean Left,the-guardian,1,a42d5924-0ef6-4b06-a5f5-adb9f47522f1,the-guardian,40.67,-7.97
And this is happening because all sorts of workers are set to go on strike.,Lean Left,npr,1,38bf2ee8-ecfd-4883-88ce-cf0922f6d828,npr,42.99,-4.27
"He borrowed the protectionist mindset of his predecessor, Donald Trump, and added large doses of subsidies and industrial policy to promote, among other things, green technology and the manufacture of semiconductors.",Lean Left,the-economist,0,767013d3-669b-48d8-a3e5-8fdda2c35c67,the-economist,42.4,-1.43
"Nixon he treated with craven flattery in his presence but scorn, even pity, behind his back.",Lean Left,politico,1,079400e8-b125-41b1-8e75-ee5a8bfa3bc9,politico,42.32,-5.58
Here are my picks for the best all-inclusive resorts for Christmas this year.,Lean Left,usa-today,1,5bb755bd-40f4-433d-8f63-ce9b9695ffba,usa-today,40.78,-4.12
"But in this instance, as Wang kept requesting more, Rubenstein kept layering in trombones and trumpets while Kaufman added saxophones.",Lean Left,propublica,0,9dc1b430-1b4b-4d83-8c16-f1b87e4f25c1,propublica,47.17,-6.77
"Unlike other changes to the climate such as hotter heatwaves and heavier rainfall, these systems do not slowly shift in line with greenhouse gas emissions but can instead flip from one state to an entirely different one.",Lean Left,the-guardian,1,05f5c345-a29b-446d-aaee-54239b9a77ac,the-guardian,40.67,-7.97
"And we’re going to bring those costs down, make it easier for people to pay their bills by allowing Medicare to negotiate their drug prices.",Lean Left,the-verge,0,69885753-e302-4694-a152-fc2561fae177,the-verge,39.43,-4.75
"If you’ve used a Meta Quest, just imagine the best possible Meta Quest running something very much like iPadOS, and you’ll get it.",Lean Left,the-verge,1,aa4024a8-7ac9-4ac9-bf8d-d3b6201094c2,the-verge,39.43,-4.75
"Nations should also invest more resources into the scientific research on the Earth’s tipping points, the report adds.",Lean Left,politico,0,715e4cbe-8ba5-4e53-bb23-a61d73e5cc78,politico,42.32,-5.58
"According to police, Miller threw the woman’s laptop on the couch and stomped on it.",Lean Left,nbc-news,0,c1635efa-73d9-4bd6-acf6-1ba10eb24678,nbc-news,43.21,-5.79
