,subsample,alpha,vs,normalized_vs,quintile,decile
0,alpha_0_001_idx_1,0.001,1.3328625475447355,0.019,1,1
1,alpha_0_001_idx_2,0.001,1.15459551187899,0.016,1,1
2,alpha_0_001_idx_3,0.001,2.185034257273912,0.031,1,1
3,alpha_0_01_idx_1,0.01,5.239871832241895,0.074,1,1
4,alpha_0_01_idx_2,0.01,2.8848601797643396,0.041,1,1
5,alpha_0_01_idx_3,0.01,4.088349078464105,0.058,1,1
6,alpha_0_1_idx_1,0.1,9.694825184932588,0.137,2,2
7,alpha_0_1_idx_2,0.1,7.985646337946201,0.113,1,2
8,alpha_0_1_idx_3,0.1,12.184693780981188,0.173,2,2
9,alpha_0_5_idx_1,0.5,41.187547855797106,0.584,2,6
10,alpha_0_5_idx_2,0.5,30.98347106122755,0.439,2,5
11,alpha_0_5_idx_3,0.5,39.58332472609426,0.561,2,6
12,alpha_1_idx_1,1.0,44.453210066076984,0.63,2,7
13,alpha_1_idx_2,1.0,47.773792661107535,0.677,3,7
14,alpha_1_idx_3,1.0,45.616352749676054,0.646,3,7
15,alpha_1_5_idx_1,1.5,47.93132490332179,0.679,3,7
16,alpha_1_5_idx_2,1.5,51.27799341881966,0.726,3,8
17,alpha_1_5_idx_3,1.5,54.30703744221989,0.769,3,8
18,alpha_2_idx_1,2.0,47.39548822494978,0.671,3,7
19,alpha_2_idx_2,2.0,54.52886121666552,0.773,4,8
20,alpha_2_idx_3,2.0,51.69922211661009,0.732,3,8
21,alpha_5_idx_1,5.0,58.06589283878097,0.823,4,9
22,alpha_5_idx_2,5.0,62.93679230074423,0.892,5,9
23,alpha_5_idx_3,5.0,59.39761270955293,0.842,4,9
24,alpha_10_idx_1,10.0,62.160338666110405,0.881,4,9
25,alpha_10_idx_2,10.0,60.84374044343661,0.862,4,9
26,alpha_10_idx_3,10.0,60.26348415459013,0.854,4,9
27,alpha_100_idx_1,100.0,63.80903582400541,0.904,5,10
28,alpha_100_idx_2,100.0,63.60342074504366,0.901,5,10
29,alpha_100_idx_3,100.0,63.9839051717264,0.907,5,10
30,alpha_inf_idx_1,inf,70.583,1.0,5,10
31,alpha_inf_idx_2,inf,70.583,1.0,5,10
32,alpha_inf_idx_3,inf,70.583,1.0,5,10
