,subsample,alpha,vs,normalized_vs,quintile,decile
0,alpha_0_001_idx_1,0.001,3.068534249947824,0.043,1,1
1,alpha_0_001_idx_2,0.001,1.9272171105045812,0.027,1,1
2,alpha_0_001_idx_3,0.001,1.6137633735825756,0.023,1,1
3,alpha_0_01_idx_1,0.01,4.645955312792272,0.065,1,1
4,alpha_0_01_idx_2,0.01,3.1533375886418726,0.044,1,1
5,alpha_0_01_idx_3,0.01,5.352122346384542,0.075,1,1
6,alpha_0_1_idx_1,0.1,14.13407791241767,0.198,2,2
7,alpha_0_1_idx_2,0.1,11.308796056045598,0.159,1,2
8,alpha_0_1_idx_3,0.1,14.312365996005493,0.201,2,3
9,alpha_0_5_idx_1,0.5,19.07091059023789,0.268,2,3
10,alpha_0_5_idx_2,0.5,22.90526642800277,0.321,2,4
11,alpha_0_5_idx_3,0.5,19.66542270265685,0.276,2,3
12,alpha_1_idx_1,1.0,19.418321944036563,0.273,2,3
13,alpha_1_idx_2,1.0,24.04223542959323,0.337,3,4
14,alpha_1_idx_3,1.0,26.76887256666791,0.376,4,4
15,alpha_1_5_idx_1,1.5,25.28855396598703,0.355,3,4
16,alpha_1_5_idx_2,1.5,23.425927410899767,0.329,3,4
17,alpha_1_5_idx_3,1.5,26.432227012056405,0.371,4,4
18,alpha_2_idx_1,2.0,24.92305632546121,0.35,3,4
19,alpha_2_idx_2,2.0,25.087403300251307,0.352,3,4
20,alpha_2_idx_3,2.0,23.679962311334812,0.332,3,4
21,alpha_5_idx_1,5.0,28.76857083606733,0.404,4,5
22,alpha_5_idx_2,5.0,31.42412656851831,0.441,5,5
23,alpha_5_idx_3,5.0,28.840925306247627,0.405,5,5
24,alpha_10_idx_1,10.0,34.77874931363856,0.488,5,5
25,alpha_10_idx_2,10.0,28.080791204620713,0.394,4,4
26,alpha_10_idx_3,10.0,31.844927354194887,0.447,5,5
27,alpha_100_idx_1,100.0,25.908608845985928,0.364,4,4
28,alpha_100_idx_2,100.0,25.440024603879614,0.357,4,4
29,alpha_100_idx_3,100.0,25.107246178400864,0.352,3,4
30,alpha_inf_idx_1,inf,71.255,1.0,5,10
31,alpha_inf_idx_2,inf,71.255,1.0,5,10
32,alpha_inf_idx_3,inf,71.255,1.0,5,10
