text,source,label,reliability,bias
"Elizabeth Warren has recalibrated her rhetoric on Medicare for All, as concerns about her support for replacing private insurance with a government-run plan continue to buffet her once-surging Democratic presidential campaign.",reuters,0,45.18,-1.17
"The legislation, worked out between leading lawmakers and the Trump administration, denies President Donald Trump the full $5 billion he requested to help build his signature wall along the U.S.-Mexico border, keeping funding static at $1.37 billion for border barriers.",reuters,0,45.18,-1.17
"The community leaders at Wilmington’s Bethel AME Church urged Biden to pick a black vice presidential running mate, and said the protests were a reflection of frustration about the lack of attention and resources for African-American communities.",reuters,0,45.18,-1.17
"Democratic presidential candidate Joe Biden promised black community leaders in Delaware on Monday he would earn their support amid nationwide police brutality protests, saying he would create a police oversight board within his first 100 days in the White House.",reuters,0,45.18,-1.17
"U.S. health insurer Anthem Inc is pulling back from 16 of 19 pricing regions in California where it offered Obamacare options this year, state officials said on Tuesday.",reuters,0,45.18,-1.17
Durkan is among Democratic mayors who have called for an end to violence at protests against racism and police brutality after Republican President Donald Trump used images of the destruction for his re-election campaign.,reuters,0,45.18,-1.17
"But the top risk by likelihood highlighted in the annual Global Risks Report was extreme weather, in a survey of 1,000 experts from government, business, academia and non-governmental organizations.",reuters,0,45.18,-1.17
"The U.S. Senate voted 90-7 on Thursday to debate the annual National Defense Authorization Act, or NDAA, setting the stage for a battle between Democrats and President Donald Trump’s Republicans over changing the names of military bases named after Confederate generals.",reuters,0,45.18,-1.17
The defendants did not admit or deny wrongdoing. Their lawyer did not immediately respond to a request for comment. The settlement requires court approval.,reuters,0,45.18,-1.17
"Instagram and TikTok influencer Haneen Hossam, 20, is under 15 days detention for a post encouraging women to broadcast videos in exchange for money, while dancer Sama el-Masry faces 15 days detention for posting “indecent” photos and videos.",reuters,0,45.18,-1.17
"Despite a clear margin of victory for Biden, Trump has refused to concede.",reuters,0,45.18,-1.17
"Trump lags behind Biden in national opinion polls on the question of who would better handle healthcare, and the protections for people with pre-existing conditions are one of the most popular measures in the law, known as Obamacare.",reuters,0,45.18,-1.17
"One person was killed when several shots were fired amid a Black Lives Matter protest in downtown Austin, Texas, on Saturday, authorities said.",reuters,0,45.18,-1.17
"An attorney for President Donald Trump on Friday blasted U.S. House Democrats’ request for six years of Trump’s tax returns as “a misguided attempt” to politicize the tax laws, accusing lawmakers of harassment and interference in IRS audits.",reuters,1,45.18,-1.17
